Date,Renaissance IPO_Open_average,Renaissance IPO_Open_max,Renaissance IPO_Open_min,Renaissance IPO_Open_volatility,Renaissance IPO_Open_change,Renaissance IPO_High_average,Renaissance IPO_High_max,Renaissance IPO_High_min,Renaissance IPO_High_volatility,Renaissance IPO_High_change,Renaissance IPO_Low_average,Renaissance IPO_Low_max,Renaissance IPO_Low_min,Renaissance IPO_Low_volatility,Renaissance IPO_Low_change,Renaissance IPO_Close_average,Renaissance IPO_Close_max,Renaissance IPO_Close_min,Renaissance IPO_Close_volatility,Renaissance IPO_Close_change
2018-01-14,28.73,28.73,28.73,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.75,28.75,28.75,0.0,0.0
2018-01-21,28.91,28.91,28.91,0.0,0.0,28.91,28.91,28.91,0.0,0.0,28.8,28.8,28.8,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-01-28,28.61,28.61,28.61,0.0,0.0,28.61,28.61,28.61,0.0,0.0,27.89,27.89,27.89,0.0,0.0,27.99,27.99,27.99,0.0,0.0
2018-02-04,27.49,27.49,27.49,0.0,0.0,27.56,27.56,27.56,0.0,0.0,26.68,26.68,26.68,0.0,0.0,27.28,27.28,27.28,0.0,0.0
2018-02-11,29.15,29.15,29.15,0.0,0.0,29.2,29.2,29.2,0.0,0.0,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0
2018-02-18,28.51,28.51,28.51,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.74,28.74,28.74,0.0,0.0
2018-02-25,28.47,28.47,28.47,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.47,28.47,28.47,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-03-04,29.92,29.92,29.92,0.0,0.0,29.92,29.92,29.92,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.81,29.81,29.81,0.0,0.0
2018-03-11,29.57,29.57,29.57,0.0,0.0,29.57,29.57,29.57,0.0,0.0,29.5,29.5,29.5,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-03-18,28.95,28.95,28.95,0.0,0.0,29.04,29.04,29.04,0.0,0.0,28.56,28.56,28.56,0.0,0.0,28.56,28.56,28.56,0.0,0.0
2018-03-25,27.94,27.94,27.94,0.0,0.0,28.75,28.75,28.75,0.0,0.0,27.94,27.94,27.94,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-04-01,28.2,28.2,28.2,0.0,0.0,28.21,28.21,28.21,0.0,0.0,28.14,28.14,28.14,0.0,0.0,28.21,28.21,28.21,0.0,0.0
2018-04-08,28.37,28.37,28.37,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.32,28.32,28.32,0.0,0.0,28.43,28.43,28.43,0.0,0.0
2018-04-15,28.88,28.88,28.88,0.0,0.0,29.03,29.03,29.03,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.91,28.91,28.91,0.0,0.0
2018-04-22,28.72,28.72,28.72,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.54,28.54,28.54,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-04-29,27.9,27.9,27.9,0.0,0.0,28.18,28.18,28.18,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.16,28.16,28.16,0.0,0.0
2018-05-06,28.98,28.98,28.98,0.0,0.0,28.98,28.98,28.98,0.0,0.0,28.74,28.74,28.74,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-05-13,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0,28.85,28.85,28.85,0.0,0.0
2018-05-20,28.87,28.87,28.87,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.0,29.0,29.0,0.0,0.0
2018-05-27,29.41,29.41,29.41,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.41,29.41,29.41,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-06-03,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0,30.04,30.04,30.04,0.0,0.0
2018-06-10,31.14,31.14,31.14,0.0,0.0,31.44,31.44,31.44,0.0,0.0,31.14,31.14,31.14,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-06-17,31.13,31.13,31.13,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.56,30.56,30.56,0.0,0.0
2018-06-24,30.11,30.11,30.11,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.75,29.75,29.75,0.0,0.0,29.76,29.76,29.76,0.0,0.0
2018-07-01,30.1,30.1,30.1,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.1,30.1,30.1,0.0,0.0,30.31,30.31,30.31,0.0,0.0
2018-07-08,30.79,30.79,30.79,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-07-15,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.81,30.81,30.81,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-07-22,31.11,31.11,31.11,0.0,0.0,31.11,31.11,31.11,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.7,30.7,30.7,0.0,0.0
2018-07-29,29.8,29.8,29.8,0.0,0.0,29.88,29.88,29.88,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-08-05,30.62,30.62,30.62,0.0,0.0,30.62,30.62,30.62,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-08-12,30.1,30.1,30.1,0.0,0.0,30.1,30.1,30.1,0.0,0.0,29.78,29.78,29.78,0.0,0.0,29.99,29.99,29.99,0.0,0.0
2018-08-19,30.6,30.6,30.6,0.0,0.0,30.65,30.65,30.65,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.65,30.65,30.65,0.0,0.0
2018-08-26,30.73,30.73,30.73,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-09-02,29.74,29.74,29.74,0.0,0.0,30.41,30.41,30.41,0.0,0.0,29.74,29.74,29.74,0.0,0.0,30.11,30.11,30.11,0.0,0.0
2018-09-09,30.8,30.8,30.8,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.56,30.56,30.56,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-09-16,30.76,30.76,30.76,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.51,30.51,30.51,0.0,0.0
2018-09-23,30.26,30.26,30.26,0.0,0.0,30.32,30.32,30.32,0.0,0.0,30.23,30.23,30.23,0.0,0.0,30.28,30.28,30.28,0.0,0.0
2018-09-30,29.15,29.15,29.15,0.0,0.0,29.15,29.15,29.15,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-10-07,27.16,27.16,27.16,0.0,0.0,27.3,27.3,27.3,0.0,0.0,26.91,26.91,26.91,0.0,0.0,27.3,27.3,27.3,0.0,0.0
