Date,SPDR Solactive CanadaEtf_Open_average,SPDR Solactive CanadaEtf_Open_max,SPDR Solactive CanadaEtf_Open_min,SPDR Solactive CanadaEtf_Open_volatility,SPDR Solactive CanadaEtf_Open_change,SPDR Solactive CanadaEtf_High_average,SPDR Solactive CanadaEtf_High_max,SPDR Solactive CanadaEtf_High_min,SPDR Solactive CanadaEtf_High_volatility,SPDR Solactive CanadaEtf_High_change,SPDR Solactive CanadaEtf_Low_average,SPDR Solactive CanadaEtf_Low_max,SPDR Solactive CanadaEtf_Low_min,SPDR Solactive CanadaEtf_Low_volatility,SPDR Solactive CanadaEtf_Low_change,SPDR Solactive CanadaEtf_Close_average,SPDR Solactive CanadaEtf_Close_max,SPDR Solactive CanadaEtf_Close_min,SPDR Solactive CanadaEtf_Close_volatility,SPDR Solactive CanadaEtf_Close_change
2018-01-14,62.26,62.26,62.26,0.0,0.0,62.27,62.27,62.27,0.0,0.0,62.13,62.13,62.13,0.0,0.0,62.13,62.13,62.13,0.0,0.0
2018-01-21,62.51,62.51,62.51,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.51,62.51,62.51,0.0,0.0,62.65,62.65,62.65,0.0,0.0
2018-01-28,61.66,61.66,61.66,0.0,0.0,61.69,61.69,61.69,0.0,0.0,61.66,61.66,61.66,0.0,0.0,61.69,61.69,61.69,0.0,0.0
2018-02-04,57.43,57.43,57.43,0.0,0.0,57.43,57.43,57.43,0.0,0.0,56.6,56.6,56.6,0.0,0.0,56.6,56.6,56.6,0.0,0.0
2018-02-11,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0,59.02,59.02,59.02,0.0,0.0
2018-02-18,58.8,58.8,58.8,0.0,0.0,59.27,59.27,59.27,0.0,0.0,58.8,58.8,58.8,0.0,0.0,59.27,59.27,59.27,0.0,0.0
2018-02-25,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0
2018-03-04,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.45,58.45,58.45,0.0,0.0
2018-03-11,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-03-18,56.9,56.9,56.9,0.0,0.0,56.9,56.9,56.9,0.0,0.0,56.68,56.68,56.68,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-03-25,57.08,57.08,57.08,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.69,56.69,56.69,0.0,0.0,56.69,56.69,56.69,0.0,0.0
2018-04-01,57.77,57.77,57.77,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.76,57.76,57.76,0.0,0.0,57.76,57.76,57.76,0.0,0.0
2018-04-08,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0,58.35,58.35,58.35,0.0,0.0
2018-04-15,58.34,58.34,58.34,0.0,0.0,58.34,58.34,58.34,0.0,0.0,58.22,58.22,58.22,0.0,0.0,58.27,58.27,58.27,0.0,0.0
