Date,PowerShares Dynamic Retail_Open_average,PowerShares Dynamic Retail_Open_max,PowerShares Dynamic Retail_Open_min,PowerShares Dynamic Retail_Open_volatility,PowerShares Dynamic Retail_Open_change,PowerShares Dynamic Retail_High_average,PowerShares Dynamic Retail_High_max,PowerShares Dynamic Retail_High_min,PowerShares Dynamic Retail_High_volatility,PowerShares Dynamic Retail_High_change,PowerShares Dynamic Retail_Low_average,PowerShares Dynamic Retail_Low_max,PowerShares Dynamic Retail_Low_min,PowerShares Dynamic Retail_Low_volatility,PowerShares Dynamic Retail_Low_change,PowerShares Dynamic Retail_Close_average,PowerShares Dynamic Retail_Close_max,PowerShares Dynamic Retail_Close_min,PowerShares Dynamic Retail_Close_volatility,PowerShares Dynamic Retail_Close_change
2018-01-14,39.61,39.61,39.61,0.0,0.0,40.14,40.14,40.14,0.0,0.0,39.61,39.61,39.61,0.0,0.0,40.14,40.14,40.14,0.0,0.0
2018-01-21,40.36,40.36,40.36,0.0,0.0,40.81,40.81,40.81,0.0,0.0,40.36,40.36,40.36,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-01-28,36.89,36.89,36.89,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.83,36.83,36.83,0.0,0.0,36.83,36.83,36.83,0.0,0.0
2018-02-04,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-02-11,38.06,38.06,38.06,0.0,0.0,38.09,38.09,38.09,0.0,0.0,38.06,38.06,38.06,0.0,0.0,38.09,38.09,38.09,0.0,0.0
2018-02-18,37.62,37.62,37.62,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.32,37.32,37.32,0.0,0.0,37.32,37.32,37.32,0.0,0.0
2018-02-25,36.71,36.71,36.71,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.71,36.71,36.71,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-03-04,36.66,36.66,36.66,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.66,36.66,36.66,0.0,0.0
2018-03-11,35.8,35.8,35.8,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.94,35.94,35.94,0.0,0.0
2018-03-18,35.45,35.45,35.45,0.0,0.0,35.45,35.45,35.45,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.9,34.9,34.9,0.0,0.0
2018-03-25,35.75,35.75,35.75,0.0,0.0,35.75,35.75,35.75,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.88,34.88,34.88,0.0,0.0
2018-04-01,35.98,35.98,35.98,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.95,35.95,35.95,0.0,0.0,35.95,35.95,35.95,0.0,0.0
2018-04-08,36.12,36.12,36.12,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.12,36.12,36.12,0.0,0.0,36.12,36.12,36.12,0.0,0.0
2018-04-15,35.77,35.77,35.77,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.77,35.77,35.77,0.0,0.0
2018-04-22,36.98,36.98,36.98,0.0,0.0,37.15,37.15,37.15,0.0,0.0,36.98,36.98,36.98,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-04-29,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-05-06,36.94,36.94,36.94,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.94,36.94,36.94,0.0,0.0,36.95,36.95,36.95,0.0,0.0
2018-05-13,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-05-20,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2018-05-27,36.53,36.53,36.53,0.0,0.0,38.0,38.0,38.0,0.0,0.0,36.53,36.53,36.53,0.0,0.0,38.0,38.0,38.0,0.0,0.0
2018-06-03,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.75,39.75,39.75,0.0,0.0
2018-06-10,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2018-06-17,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0,40.03,40.03,40.03,0.0,0.0
2018-06-24,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0,39.8,39.8,39.8,0.0,0.0
2018-07-01,40.12,40.12,40.12,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.12,40.12,40.12,0.0,0.0,40.12,40.12,40.12,0.0,0.0
2018-07-08,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2018-07-15,39.75,39.75,39.75,0.0,0.0,39.84,39.84,39.84,0.0,0.0,39.75,39.75,39.75,0.0,0.0,39.84,39.84,39.84,0.0,0.0
2018-07-22,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0,39.83,39.83,39.83,0.0,0.0
2018-07-29,39.49,39.49,39.49,0.0,0.0,39.52,39.52,39.52,0.0,0.0,39.49,39.49,39.49,0.0,0.0,39.52,39.52,39.52,0.0,0.0
2018-08-05,40.99,40.99,40.99,0.0,0.0,41.04,41.04,41.04,0.0,0.0,40.82,40.82,40.82,0.0,0.0,40.92,40.92,40.92,0.0,0.0
2018-08-12,41.8,41.8,41.8,0.0,0.0,42.08,42.08,42.08,0.0,0.0,41.8,41.8,41.8,0.0,0.0,42.08,42.08,42.08,0.0,0.0
2018-08-19,42.54,42.54,42.54,0.0,0.0,42.54,42.54,42.54,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.2,42.2,42.2,0.0,0.0
2018-08-26,42.25,42.25,42.25,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-09-02,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0,42.37,42.37,42.37,0.0,0.0
2018-09-09,41.87,41.87,41.87,0.0,0.0,41.87,41.87,41.87,0.0,0.0,41.53,41.53,41.53,0.0,0.0,41.53,41.53,41.53,0.0,0.0
2018-09-16,41.13,41.13,41.13,0.0,0.0,41.13,41.13,41.13,0.0,0.0,40.89,40.89,40.89,0.0,0.0,40.89,40.89,40.89,0.0,0.0
2018-09-23,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0,41.04,41.04,41.04,0.0,0.0
2018-09-30,38.57,38.57,38.57,0.0,0.0,38.99,38.99,38.99,0.0,0.0,38.57,38.57,38.57,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-10-07,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0,38.19,38.19,38.19,0.0,0.0
2018-10-14,37.62,37.62,37.62,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-10-21,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0,37.47,37.47,37.47,0.0,0.0
2018-10-28,38.84,38.84,38.84,0.0,0.0,38.92,38.92,38.92,0.0,0.0,38.84,38.84,38.84,0.0,0.0,38.92,38.92,38.92,0.0,0.0
2018-11-04,39.1,39.1,39.1,0.0,0.0,39.1,39.1,39.1,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2018-11-11,36.5,36.5,36.5,0.0,0.0,36.62,36.62,36.62,0.0,0.0,36.36,36.36,36.36,0.0,0.0,36.53,36.53,36.53,0.0,0.0
2018-11-18,36.05,36.05,36.05,0.0,0.0,36.33,36.33,36.33,0.0,0.0,36.05,36.05,36.05,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2018-11-25,37.38,37.38,37.38,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.28,37.28,37.28,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-12-02,34.64,34.64,34.64,0.0,0.0,34.99,34.99,34.99,0.0,0.0,34.64,34.64,34.64,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-12-09,33.55,33.55,33.55,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.4,33.4,33.4,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-12-16,31.75,31.75,31.75,0.0,0.0,31.98,31.98,31.98,0.0,0.0,31.73,31.73,31.73,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-12-23,33.51,33.51,33.51,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.46,33.46,33.46,0.0,0.0,33.73,33.73,33.73,0.0,0.0
2018-12-30,34.19,34.19,34.19,0.0,0.0,35.02,35.02,35.02,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.95,34.95,34.95,0.0,0.0
2019-01-06,34.97,34.97,34.97,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.76,34.76,34.76,0.0,0.0,34.76,34.76,34.76,0.0,0.0
2019-01-13,35.81,35.81,35.81,0.0,0.0,35.81,35.81,35.81,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2019-01-20,35.03,35.03,35.03,0.0,0.0,35.26,35.26,35.26,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.26,35.26,35.26,0.0,0.0
2019-01-27,35.68,35.68,35.68,0.0,0.0,35.84,35.84,35.84,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.84,35.84,35.84,0.0,0.0
2019-02-03,35.8,35.8,35.8,0.0,0.0,35.96,35.96,35.96,0.0,0.0,35.78,35.78,35.78,0.0,0.0,35.96,35.96,35.96,0.0,0.0
2019-02-10,37.02,37.02,37.02,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2019-02-17,37.58,37.58,37.58,0.0,0.0,37.58,37.58,37.58,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.05,37.05,37.05,0.0,0.0
2019-02-24,38.06,38.06,38.06,0.0,0.0,38.06,38.06,38.06,0.0,0.0,37.23,37.23,37.23,0.0,0.0,37.23,37.23,37.23,0.0,0.0
2019-03-03,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0,36.77,36.77,36.77,0.0,0.0
2019-03-10,36.45,36.45,36.45,0.0,0.0,36.59,36.59,36.59,0.0,0.0,36.44,36.44,36.44,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2019-03-17,36.55,36.55,36.55,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.35,36.35,36.35,0.0,0.0,36.48,36.48,36.48,0.0,0.0
2019-03-24,37.75,37.75,37.75,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.35,37.35,37.35,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2019-03-31,37.89,37.89,37.89,0.0,0.0,37.89,37.89,37.89,0.0,0.0,37.66,37.66,37.66,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2019-04-07,37.94,37.94,37.94,0.0,0.0,38.33,38.33,38.33,0.0,0.0,37.94,37.94,37.94,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2019-04-14,37.49,37.49,37.49,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2019-04-21,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0,38.51,38.51,38.51,0.0,0.0
2019-04-28,38.3,38.3,38.3,0.0,0.0,38.47,38.47,38.47,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.47,38.47,38.47,0.0,0.0
2019-05-05,36.1,36.1,36.1,0.0,0.0,36.1,36.1,36.1,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.09,36.09,36.09,0.0,0.0
2019-05-12,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0,36.27,36.27,36.27,0.0,0.0
2019-05-19,36.17,36.17,36.17,0.0,0.0,36.17,36.17,36.17,0.0,0.0,35.95,35.95,35.95,0.0,0.0,36.04,36.04,36.04,0.0,0.0
2019-05-26,35.0,35.0,35.0,0.0,0.0,35.15,35.15,35.15,0.0,0.0,34.94,34.94,34.94,0.0,0.0,34.94,34.94,34.94,0.0,0.0
