Date,SNMP_Open_average,SNMP_Open_max,SNMP_Open_min,SNMP_Open_volatility,SNMP_Open_change,SNMP_High_average,SNMP_High_max,SNMP_High_min,SNMP_High_volatility,SNMP_High_change,SNMP_Low_average,SNMP_Low_max,SNMP_Low_min,SNMP_Low_volatility,SNMP_Low_change,SNMP_Close_average,SNMP_Close_max,SNMP_Close_min,SNMP_Close_volatility,SNMP_Close_change,SNMP_Volume_average,SNMP_Volume_max,SNMP_Volume_min,SNMP_Volume_volatility,SNMP_Volume_change
2018-01-14,12.77,12.95,12.4,0.5499999999999989,0.14999999999999858,12.889999999999999,13.0,12.7,0.3000000000000007,0.15000000000000036,12.49,12.85,12.25,0.5999999999999996,0.29999999999999893,12.74,12.95,12.35,0.5999999999999996,0.09999999999999964,13443,25280,5119,20161,-1374
2018-01-21,12.92,12.95,12.8,0.14999999999999858,-0.14999999999999858,12.94,13.0,12.8,0.1999999999999993,-0.1999999999999993,12.73,12.85,12.5,0.34999999999999964,-0.3000000000000007,12.81,12.95,12.5,0.4499999999999993,-0.4499999999999993,9565,12686,3649,9037,-8385
2018-01-28,12.46,12.6,12.15,0.4499999999999993,0.0,12.66,12.8,12.55,0.25,0.09999999999999964,12.14,12.4,11.85,0.5500000000000007,0.15000000000000036,12.5,12.8,12.05,0.75,0.5,9069,19031,3356,15675,-6644
2018-02-04,12.33,12.6,12.0,0.5999999999999996,-0.05000000000000071,12.44,12.6,12.3,0.29999999999999893,-0.25,11.75,12.2,11.35,0.8499999999999996,-0.5,11.929,12.35,11.75,0.5999999999999996,-0.504999999999999,9066,14149,5333,8816,6880
2018-02-11,11.975,12.5,11.5,1.0,-0.15000000000000036,12.25,12.5,11.95,0.5500000000000007,-0.3500000000000014,11.7875,12.0,11.5,0.5,-0.15000000000000036,12.0125,12.3,11.7,0.6000000000000014,-0.6000000000000014,10755,18480,5826,12654,12654
2018-02-18,11.26,12.0,10.9,1.0999999999999996,-0.8000000000000007,11.32,12.0,10.9,1.0999999999999996,-0.5,10.8,11.0,10.55,0.4499999999999993,0.20000000000000107,11.05,11.5,10.8,0.6999999999999993,0.40000000000000036,13335,28418,3660,24758,4789
2018-02-25,11.280000000000001,11.55,11.05,0.5,-0.3500000000000014,11.43,11.6,11.3,0.29999999999999893,-0.25,11.049999999999999,11.15,10.95,0.20000000000000107,0.0,11.22,11.3,11.1,0.20000000000000107,-0.15000000000000036,8220,17086,1583,15503,-14649
2018-03-04,10.809999999999999,11.2,10.35,0.8499999999999996,0.09999999999999964,11.12,11.45,10.75,0.6999999999999993,0.34999999999999964,10.59,11.1,10.1,1.0,0.40000000000000036,10.83,11.45,10.25,1.1999999999999993,0.75,20056,36075,8133,27942,-2154
2018-03-11,11.94,12.3,11.5,0.8000000000000007,0.5500000000000007,12.29,12.7,11.7,1.0,0.5,11.59,12.1,10.85,1.25,0.40000000000000036,12.02,12.35,11.7,0.6500000000000004,0.3000000000000007,13618,19930,7903,12027,-7853
2018-03-18,11.48,11.95,10.8,1.1499999999999986,-0.29999999999999893,11.83,12.15,11.6,0.5500000000000007,-0.34999999999999964,11.16,11.45,10.8,0.6499999999999986,0.5999999999999996,11.41,11.65,10.9,0.75,0.5999999999999996,14660,39348,2678,36670,-36047
