Date,Vanguard S&P Mid Cap 400 Value_Open_average,Vanguard S&P Mid Cap 400 Value_Open_max,Vanguard S&P Mid Cap 400 Value_Open_min,Vanguard S&P Mid Cap 400 Value_Open_volatility,Vanguard S&P Mid Cap 400 Value_Open_change,Vanguard S&P Mid Cap 400 Value_High_average,Vanguard S&P Mid Cap 400 Value_High_max,Vanguard S&P Mid Cap 400 Value_High_min,Vanguard S&P Mid Cap 400 Value_High_volatility,Vanguard S&P Mid Cap 400 Value_High_change,Vanguard S&P Mid Cap 400 Value_Low_average,Vanguard S&P Mid Cap 400 Value_Low_max,Vanguard S&P Mid Cap 400 Value_Low_min,Vanguard S&P Mid Cap 400 Value_Low_volatility,Vanguard S&P Mid Cap 400 Value_Low_change,Vanguard S&P Mid Cap 400 Value_Close_average,Vanguard S&P Mid Cap 400 Value_Close_max,Vanguard S&P Mid Cap 400 Value_Close_min,Vanguard S&P Mid Cap 400 Value_Close_volatility,Vanguard S&P Mid Cap 400 Value_Close_change
2018-01-14,124.99,124.99,124.99,0.0,0.0,125.58,125.58,125.58,0.0,0.0,124.89,124.89,124.89,0.0,0.0,125.58,125.58,125.58,0.0,0.0
2018-01-21,125.32,125.32,125.32,0.0,0.0,125.5,125.5,125.5,0.0,0.0,124.71,124.71,124.71,0.0,0.0,124.71,124.71,124.71,0.0,0.0
2018-01-28,119.71,119.71,119.71,0.0,0.0,120.3,120.3,120.3,0.0,0.0,116.26,116.26,116.26,0.0,0.0,116.41,116.41,116.41,0.0,0.0
2018-02-04,115.23,115.23,115.23,0.0,0.0,116.37,116.37,116.37,0.0,0.0,114.52,114.52,114.52,0.0,0.0,115.98,115.98,115.98,0.0,0.0
2018-02-11,118.84,118.84,118.84,0.0,0.0,119.93,119.93,119.93,0.0,0.0,118.84,118.84,118.84,0.0,0.0,119.68,119.68,119.68,0.0,0.0
2018-02-18,120.0,120.0,120.0,0.0,0.0,120.24,120.24,120.24,0.0,0.0,119.51,119.51,119.51,0.0,0.0,120.22,120.22,120.22,0.0,0.0
2018-02-25,117.73,117.73,117.73,0.0,0.0,119.69,119.69,119.69,0.0,0.0,117.73,117.73,117.73,0.0,0.0,119.69,119.69,119.69,0.0,0.0
2018-03-04,122.08,122.08,122.08,0.0,0.0,122.53,122.53,122.53,0.0,0.0,121.84,121.84,121.84,0.0,0.0,122.28,122.28,122.28,0.0,0.0
2018-03-11,121.07,121.07,121.07,0.0,0.0,121.07,121.07,121.07,0.0,0.0,119.12,119.12,119.12,0.0,0.0,120.1,120.1,120.1,0.0,0.0
2018-03-18,116.01,116.01,116.01,0.0,0.0,117.19,117.19,117.19,0.0,0.0,115.4,115.4,115.4,0.0,0.0,117.19,117.19,117.19,0.0,0.0
