Date,USCF SummerHaven SHPEI_Open_average,USCF SummerHaven SHPEI_Open_max,USCF SummerHaven SHPEI_Open_min,USCF SummerHaven SHPEI_Open_volatility,USCF SummerHaven SHPEI_Open_change,USCF SummerHaven SHPEI_High_average,USCF SummerHaven SHPEI_High_max,USCF SummerHaven SHPEI_High_min,USCF SummerHaven SHPEI_High_volatility,USCF SummerHaven SHPEI_High_change,USCF SummerHaven SHPEI_Low_average,USCF SummerHaven SHPEI_Low_max,USCF SummerHaven SHPEI_Low_min,USCF SummerHaven SHPEI_Low_volatility,USCF SummerHaven SHPEI_Low_change,USCF SummerHaven SHPEI_Close_average,USCF SummerHaven SHPEI_Close_max,USCF SummerHaven SHPEI_Close_min,USCF SummerHaven SHPEI_Close_volatility,USCF SummerHaven SHPEI_Close_change
2018-01-14,26.13,26.13,26.13,0.0,0.0,26.13,26.13,26.13,0.0,0.0,26.05,26.05,26.05,0.0,0.0,26.13,26.13,26.13,0.0,0.0
2018-01-21,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0,26.21,26.21,26.21,0.0,0.0
2018-01-28,27.03,27.03,27.03,0.0,0.0,27.03,27.03,27.03,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-02-04,23.92,23.92,23.92,0.0,0.0,24.01,24.01,24.01,0.0,0.0,23.92,23.92,23.92,0.0,0.0,24.01,24.01,24.01,0.0,0.0
2018-02-11,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.99,23.99,23.99,0.0,0.0
2018-02-18,24.86,24.86,24.86,0.0,0.0,25.06,25.06,25.06,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.06,25.06,25.06,0.0,0.0
2018-02-25,24.24,24.24,24.24,0.0,0.0,24.28,24.28,24.28,0.0,0.0,24.19,24.19,24.19,0.0,0.0,24.19,24.19,24.19,0.0,0.0
2018-03-04,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0,24.92,24.92,24.92,0.0,0.0
2018-03-11,24.92,24.92,24.92,0.0,0.0,25.33,25.33,25.33,0.0,0.0,24.92,24.92,24.92,0.0,0.0,25.33,25.33,25.33,0.0,0.0
2018-03-18,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0,24.57,24.57,24.57,0.0,0.0
2018-03-25,24.38,24.38,24.38,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.38,24.38,24.38,0.0,0.0,24.43,24.43,24.43,0.0,0.0
2018-04-01,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-04-08,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.03,25.03,25.03,0.0,0.0
2018-04-15,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0,25.69,25.69,25.69,0.0,0.0
2018-04-22,25.9,25.9,25.9,0.0,0.0,25.9,25.9,25.9,0.0,0.0,25.68,25.68,25.68,0.0,0.0,25.68,25.68,25.68,0.0,0.0
2018-04-29,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0,26.04,26.04,26.04,0.0,0.0
2018-05-06,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0,26.25,26.25,26.25,0.0,0.0
2018-05-13,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0,27.04,27.04,27.04,0.0,0.0
2018-05-20,26.9,26.9,26.9,0.0,0.0,26.9,26.9,26.9,0.0,0.0,26.8,26.8,26.8,0.0,0.0,26.85,26.85,26.85,0.0,0.0
2018-05-27,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0,26.99,26.99,26.99,0.0,0.0
2018-06-03,27.72,27.72,27.72,0.0,0.0,27.74,27.74,27.74,0.0,0.0,27.72,27.72,27.72,0.0,0.0,27.74,27.74,27.74,0.0,0.0
