Date,SPDR S&P Metals & Mining_Open_average,SPDR S&P Metals & Mining_Open_max,SPDR S&P Metals & Mining_Open_min,SPDR S&P Metals & Mining_Open_volatility,SPDR S&P Metals & Mining_Open_change,SPDR S&P Metals & Mining_High_average,SPDR S&P Metals & Mining_High_max,SPDR S&P Metals & Mining_High_min,SPDR S&P Metals & Mining_High_volatility,SPDR S&P Metals & Mining_High_change,SPDR S&P Metals & Mining_Low_average,SPDR S&P Metals & Mining_Low_max,SPDR S&P Metals & Mining_Low_min,SPDR S&P Metals & Mining_Low_volatility,SPDR S&P Metals & Mining_Low_change,SPDR S&P Metals & Mining_Close_average,SPDR S&P Metals & Mining_Close_max,SPDR S&P Metals & Mining_Close_min,SPDR S&P Metals & Mining_Close_volatility,SPDR S&P Metals & Mining_Close_change
2018-01-14,38.56,38.56,38.56,0.0,0.0,38.89,38.89,38.89,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.89,38.89,38.89,0.0,0.0
2018-01-21,38.9,38.9,38.9,0.0,0.0,39.13,39.13,39.13,0.0,0.0,38.37,38.37,38.37,0.0,0.0,38.41,38.41,38.41,0.0,0.0
2018-01-28,35.14,35.14,35.14,0.0,0.0,36.29,36.29,36.29,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.81,34.81,34.81,0.0,0.0
2018-02-04,34.64,34.64,34.64,0.0,0.0,35.67,35.67,35.67,0.0,0.0,34.51,34.51,34.51,0.0,0.0,35.41,35.41,35.41,0.0,0.0
2018-02-11,37.14,37.14,37.14,0.0,0.0,38.71,38.71,38.71,0.0,0.0,36.82,36.82,36.82,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-02-18,37.91,37.91,37.91,0.0,0.0,37.99,37.99,37.99,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-02-25,36.95,36.95,36.95,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-03-04,36.8,36.8,36.8,0.0,0.0,37.19,37.19,37.19,0.0,0.0,36.67,36.67,36.67,0.0,0.0,37.14,37.14,37.14,0.0,0.0
2018-03-11,36.33,36.33,36.33,0.0,0.0,36.41,36.41,36.41,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.57,35.57,35.57,0.0,0.0
2018-03-18,34.21,34.21,34.21,0.0,0.0,34.4,34.4,34.4,0.0,0.0,33.83,33.83,33.83,0.0,0.0,34.34,34.34,34.34,0.0,0.0
