Date,CVV_stock_Open_average,CVV_stock_Open_max,CVV_stock_Open_min,CVV_stock_Open_volatility,CVV_stock_Open_change,CVV_stock_High_average,CVV_stock_High_max,CVV_stock_High_min,CVV_stock_High_volatility,CVV_stock_High_change,CVV_stock_Low_average,CVV_stock_Low_max,CVV_stock_Low_min,CVV_stock_Low_volatility,CVV_stock_Low_change,CVV_stock_Close_average,CVV_stock_Close_max,CVV_stock_Close_min,CVV_stock_Close_volatility,CVV_stock_Close_change,CVV_stock_Volume_average,CVV_stock_Volume_max,CVV_stock_Volume_min,CVV_stock_Volume_volatility,CVV_stock_Volume_change
2018-01-14,11.17,11.3,11.02,0.28000000000000114,-0.14000000000000057,11.2575,11.43,11.04,0.39000000000000057,-0.39000000000000057,10.965,11.1,10.77,0.33000000000000007,-0.23000000000000043,11.11,11.2,11.02,0.17999999999999972,-0.16000000000000014,8454,10387,4741,5646,1219
2018-01-21,10.7,10.98,10.5,0.4800000000000004,-0.4800000000000004,10.846,11.1,10.57,0.5299999999999994,-0.5299999999999994,10.554,10.75,10.4,0.34999999999999964,-0.34999999999999964,10.612,10.75,10.49,0.2599999999999998,-0.25,21432,29574,11398,18176,15356
2018-01-28,10.214,10.5,9.96,0.5399999999999991,-0.4900000000000002,10.32,10.58,9.98,0.5999999999999996,-0.5999999999999996,9.896,10.41,9.26,1.1500000000000004,-1.1500000000000004,10.122,10.49,9.89,0.5999999999999996,-0.5999999999999996,19647,35209,3572,31637,13360
2018-02-04,9.482,9.74,9.26,0.4800000000000004,-0.2900000000000009,9.714,9.84,9.57,0.2699999999999996,-0.19000000000000128,9.194,9.4,9.0,0.40000000000000036,-0.40000000000000036,9.376,9.6,9.1,0.5,-0.3000000000000007,21592,42403,9881,32522,-17867
2018-02-11,9.347999999999999,9.49,9.1,0.39000000000000057,0.3100000000000005,9.602,9.7,9.45,0.25,-0.009999999999999787,9.266,9.36,9.07,0.28999999999999915,0.2400000000000002,9.376,9.5,9.22,0.27999999999999936,0.14999999999999858,9051,14414,2455,11959,-4902
2018-02-18,9.21,9.38,9.08,0.3000000000000007,-0.3000000000000007,9.265,9.38,9.17,0.21000000000000085,-0.1800000000000015,9.0225,9.09,8.97,0.11999999999999922,-0.05999999999999872,9.095,9.23,9.01,0.22000000000000064,-0.17999999999999972,9503,14298,6102,8196,-4220
2018-02-25,8.938,9.13,8.79,0.34000000000000163,-0.34000000000000163,9.05,9.13,8.93,0.20000000000000107,-0.030000000000001137,8.81,8.98,8.75,0.23000000000000043,-0.19000000000000128,8.912,9.1,8.76,0.33999999999999986,0.09999999999999964,9028,14529,3429,11100,-6359
2018-03-04,9.144,9.31,9.02,0.2900000000000009,-0.08000000000000007,9.33,9.5,9.26,0.2400000000000002,-0.22000000000000064,9.008,9.04,8.99,0.049999999999998934,-0.02999999999999936,9.222,9.31,9.02,0.2900000000000009,-0.040000000000000924,16374,22745,11727,11018,-11018
2018-03-11,9.536,9.74,9.32,0.41999999999999993,-0.10999999999999943,9.638,9.8,9.32,0.4800000000000004,-0.4800000000000004,9.314,9.42,9.12,0.3000000000000007,-0.27000000000000135,9.438,9.65,9.16,0.4900000000000002,-0.4900000000000002,6324,9856,1834,8022,-4312
2018-03-18,9.36,9.69,9.1,0.5899999999999999,0.16000000000000014,9.5775,9.96,9.27,0.6900000000000013,-0.120000000000001,9.127500000000001,9.39,8.8,0.5899999999999999,-0.29999999999999893,9.3875,9.7,9.19,0.5099999999999998,-0.20000000000000107,10832,13539,5898,7641,6439
2018-03-25,9.1725,9.35,9.08,0.2699999999999996,-0.03999999999999915,9.4275,9.69,9.28,0.41000000000000014,0.11000000000000121,9.05,9.08,9.0,0.08000000000000007,-0.08000000000000007,9.2575,9.69,9.08,0.6099999999999994,0.0,5917,10157,3503,6654,6654
2018-04-01,9.45,9.75,9.16,0.5899999999999999,0.02999999999999936,9.506,9.95,9.18,0.7699999999999996,0.019999999999999574,9.046,9.15,8.98,0.16999999999999993,-0.019999999999999574,9.152000000000001,9.33,8.98,0.34999999999999964,-0.02999999999999936,30678,64944,8798,56146,15896
2018-04-08,9.088000000000001,9.15,9.0,0.15000000000000036,-0.08999999999999986,9.17,9.31,9.01,0.3000000000000007,-0.3000000000000007,8.964,9.02,8.8,0.21999999999999886,-0.17999999999999972,9.038,9.11,8.93,0.17999999999999972,-0.15000000000000036,7810,12606,4473,8133,-1664
2018-04-15,8.854,8.98,8.5,0.4800000000000004,-0.4800000000000004,8.874,8.98,8.5,0.4800000000000004,-0.4800000000000004,8.614,8.93,8.01,0.9199999999999999,-0.8100000000000005,8.628,8.93,8.01,0.9199999999999999,-0.8800000000000008,13110,31574,2785,28789,23632
2018-04-22,8.113999999999999,8.42,7.91,0.5099999999999998,0.14000000000000057,8.224,8.42,8.04,0.3800000000000008,0.02999999999999936,7.964,8.05,7.79,0.2600000000000007,0.2600000000000007,8.056000000000001,8.25,7.91,0.33999999999999986,0.16000000000000014,12624,32274,730,31544,-29469
2018-04-29,8.116,8.19,7.92,0.2699999999999996,-0.05999999999999872,8.284,8.5,8.2,0.3000000000000007,0.2699999999999996,7.986,8.1,7.8,0.2999999999999998,0.009999999999999787,8.118,8.25,7.92,0.33000000000000007,-0.09999999999999964,12190,17988,6875,11113,4189
2018-05-06,8.024,8.11,7.95,0.15999999999999925,-0.009999999999999787,8.158,8.31,7.96,0.35000000000000053,-0.10000000000000142,7.942,8.0,7.87,0.1299999999999999,0.1299999999999999,7.97,8.06,7.88,0.1800000000000006,0.1800000000000006,7920,17153,2791,14362,-4360
2018-05-13,7.724,8.01,7.39,0.6200000000000001,-0.6200000000000001,7.86,8.13,7.47,0.660000000000001,-0.660000000000001,7.46,7.81,6.92,0.8899999999999997,-0.8899999999999997,7.53,7.82,6.94,0.8799999999999999,-0.8799999999999999,36269,72121,9170,62951,62951
2018-05-20,7.0120000000000005,7.13,6.85,0.28000000000000025,0.13000000000000078,7.354,7.64,7.09,0.5499999999999998,-0.2599999999999998,6.948,7.01,6.85,0.16000000000000014,0.13000000000000078,7.054,7.24,6.95,0.29000000000000004,0.16000000000000014,24841,51277,13794,37483,-35858
2018-05-27,7.255,7.33,7.2,0.1299999999999999,-0.04999999999999982,7.305,7.39,7.2,0.1899999999999995,-0.08999999999999986,7.09,7.12,7.02,0.10000000000000053,-0.10000000000000053,7.220000000000001,7.32,7.11,0.20999999999999996,-0.020000000000000462,16320,36208,4583,31625,31625
2018-06-03,7.428,7.74,7.2,0.54,0.5,7.656,7.93,7.24,0.6899999999999995,0.6499999999999995,7.308,7.53,7.06,0.47000000000000064,0.47000000000000064,7.452,7.7,7.14,0.5600000000000005,0.39000000000000057,14799,32057,6397,25660,1095
2018-06-10,7.428,7.5,7.33,0.16999999999999993,-0.09999999999999964,7.58,7.73,7.4,0.33000000000000007,-0.15999999999999925,7.318,7.41,7.21,0.20000000000000018,0.13999999999999968,7.388,7.5,7.22,0.28000000000000025,0.1299999999999999,17068,41264,5074,36190,-11331
2018-06-17,7.38,7.53,7.3,0.23000000000000043,0.07000000000000028,7.532,7.82,7.41,0.41000000000000014,-0.03000000000000025,7.2860000000000005,7.35,7.23,0.11999999999999922,-0.10999999999999943,7.314,7.41,7.23,0.17999999999999972,-0.11999999999999922,22627,49492,6124,43368,5311
2018-06-24,7.024,7.23,6.87,0.3600000000000003,-0.3600000000000003,7.124,7.23,7.05,0.1800000000000006,-0.17000000000000082,6.776,7.01,6.39,0.6200000000000001,-0.5700000000000003,6.912,7.01,6.66,0.34999999999999964,-0.33999999999999986,28363,54616,12102,42514,35360
2018-07-01,6.85,6.99,6.6,0.39000000000000057,0.27000000000000046,7.065,7.15,6.94,0.20999999999999996,-0.1999999999999993,6.7875,6.95,6.5,0.4500000000000002,0.2599999999999998,6.945,6.99,6.9,0.08999999999999986,-0.040000000000000036,12139,25978,4189,21789,-17711
2018-07-08,6.942,7.2,6.8,0.40000000000000036,0.40000000000000036,7.08,7.32,6.87,0.4500000000000002,0.4500000000000002,6.896,7.1,6.76,0.33999999999999986,0.33999999999999986,6.968,7.19,6.82,0.3700000000000001,0.3700000000000001,11380,20755,3388,17367,8514
