Date,GRVY_stock_Open_average,GRVY_stock_Open_max,GRVY_stock_Open_min,GRVY_stock_Open_volatility,GRVY_stock_Open_change,GRVY_stock_High_average,GRVY_stock_High_max,GRVY_stock_High_min,GRVY_stock_High_volatility,GRVY_stock_High_change,GRVY_stock_Low_average,GRVY_stock_Low_max,GRVY_stock_Low_min,GRVY_stock_Low_volatility,GRVY_stock_Low_change,GRVY_stock_Close_average,GRVY_stock_Close_max,GRVY_stock_Close_min,GRVY_stock_Close_volatility,GRVY_stock_Close_change,GRVY_stock_Volume_average,GRVY_stock_Volume_max,GRVY_stock_Volume_min,GRVY_stock_Volume_volatility,GRVY_stock_Volume_change
2018-01-14,43.71,46.53,40.0,6.530000000000001,-6.530000000000001,44.2425,47.5,40.78,6.719999999999999,-6.719999999999999,41.0175,44.1,38.4,5.700000000000003,-5.030000000000001,41.9475,44.1,39.94,4.160000000000004,-4.160000000000004,101209,154702,60038,94664,43206
2018-01-21,37.636,40.0,36.04,3.960000000000001,-3.960000000000001,38.494,40.5,36.5,4.0,-4.0,36.89,38.9,36.03,2.8699999999999974,-2.8699999999999974,37.152,39.01,36.32,2.6899999999999977,-2.6899999999999977,80941,119768,32982,86786,60998
2018-01-28,35.37,36.63,34.72,1.9100000000000037,-1.1300000000000026,35.834,36.63,35.01,1.6200000000000045,-0.6300000000000026,33.69,34.5,31.5,3.0,-2.520000000000003,34.604,34.93,34.06,0.8699999999999974,-0.6699999999999946,98663,201386,53820,147566,147566
2018-02-04,38.306,40.73,34.06,6.669999999999995,3.6999999999999957,39.92,41.03,38.02,3.009999999999998,1.1999999999999957,37.088,39.18,33.5,5.68,3.6000000000000014,39.124,40.73,37.5,3.229999999999997,1.7199999999999989,112810,181564,45174,136390,-136390
2018-02-11,39.596,41.0,38.98,2.020000000000003,1.75,40.696,42.55,39.5,3.049999999999997,3.049999999999997,39.376,41.0,38.85,2.1499999999999986,2.0,39.976,41.5,39.08,2.4200000000000017,2.289999999999999,54966,76122,26572,49550,-4966
2018-02-18,41.895,42.94,41.45,1.4899999999999949,1.4899999999999949,42.39,42.97,41.97,1.0,0.7199999999999989,41.265,42.0,40.76,1.240000000000002,0.5499999999999972,41.755,42.0,41.49,0.509999999999998,0.4399999999999977,39597,53106,27930,25176,-16552
2018-02-25,42.07,43.0,40.39,2.6099999999999994,0.7299999999999969,43.78,46.85,42.03,4.82,4.75,40.812,42.83,38.34,4.489999999999995,2.9499999999999957,43.092,46.82,40.4,6.420000000000002,5.719999999999999,68516,114276,33440,80836,80836
2018-03-04,50.232,53.25,47.0,6.25,2.8500000000000014,51.818,54.49,49.85,4.640000000000001,-0.6499999999999986,47.7,50.5,46.31,4.189999999999998,0.23999999999999488,50.158,53.25,48.48,4.770000000000003,-1.480000000000004,108072,179902,65866,114036,-100158
2018-03-11,46.598,49.3,41.69,7.609999999999999,-7.400000000000006,47.942,51.0,45.42,5.579999999999998,-5.579999999999998,43.748,49.0,40.4,8.600000000000001,-8.600000000000001,45.704,49.15,42.01,7.140000000000001,-5.229999999999997,85693,111370,63014,48356,-6910
2018-03-18,45.882,46.5,45.4,1.1000000000000014,0.13000000000000256,46.896,47.5,46.35,1.1499999999999986,-1.1499999999999986,45.019999999999996,45.4,44.26,1.1400000000000006,-0.3200000000000003,45.636,46.25,44.81,1.4399999999999977,-0.259999999999998,53732,102064,16066,85998,-85998
