Date,WisdomTree Europe Hedged Equity_etf_Open_average,WisdomTree Europe Hedged Equity_etf_Open_max,WisdomTree Europe Hedged Equity_etf_Open_min,WisdomTree Europe Hedged Equity_etf_Open_volatility,WisdomTree Europe Hedged Equity_etf_Open_change,WisdomTree Europe Hedged Equity_etf_High_average,WisdomTree Europe Hedged Equity_etf_High_max,WisdomTree Europe Hedged Equity_etf_High_min,WisdomTree Europe Hedged Equity_etf_High_volatility,WisdomTree Europe Hedged Equity_etf_High_change,WisdomTree Europe Hedged Equity_etf_Low_average,WisdomTree Europe Hedged Equity_etf_Low_max,WisdomTree Europe Hedged Equity_etf_Low_min,WisdomTree Europe Hedged Equity_etf_Low_volatility,WisdomTree Europe Hedged Equity_etf_Low_change,WisdomTree Europe Hedged Equity_etf_Close_average,WisdomTree Europe Hedged Equity_etf_Close_max,WisdomTree Europe Hedged Equity_etf_Close_min,WisdomTree Europe Hedged Equity_etf_Close_volatility,WisdomTree Europe Hedged Equity_etf_Close_change
2018-01-14,66.5,66.5,66.5,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.33,66.33,66.33,0.0,0.0,66.63,66.63,66.63,0.0,0.0
2018-01-21,66.44,66.44,66.44,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.74,66.74,66.74,0.0,0.0
2018-01-28,64.93,64.93,64.93,0.0,0.0,64.97,64.97,64.97,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-02-04,61.67,61.67,61.67,0.0,0.0,61.98,61.98,61.98,0.0,0.0,60.26,60.26,60.26,0.0,0.0,61.76,61.76,61.76,0.0,0.0
2018-02-11,63.14,63.14,63.14,0.0,0.0,63.63,63.63,63.63,0.0,0.0,63.14,63.14,63.14,0.0,0.0,63.44,63.44,63.44,0.0,0.0
2018-02-18,63.43,63.43,63.43,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.33,63.33,63.33,0.0,0.0,63.87,63.87,63.87,0.0,0.0
2018-02-25,61.76,61.76,61.76,0.0,0.0,62.01,62.01,62.01,0.0,0.0,61.4,61.4,61.4,0.0,0.0,61.96,61.96,61.96,0.0,0.0
2018-03-04,63.69,63.69,63.69,0.0,0.0,63.85,63.85,63.85,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.85,63.85,63.85,0.0,0.0
2018-03-11,63.46,63.46,63.46,0.0,0.0,63.85,63.85,63.85,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2018-03-18,61.65,61.65,61.65,0.0,0.0,61.75,61.75,61.75,0.0,0.0,60.69,60.69,60.69,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2018-03-25,62.65,62.65,62.65,0.0,0.0,62.95,62.95,62.95,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-04-01,63.37,63.37,63.37,0.0,0.0,63.62,63.62,63.62,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.98,62.98,62.98,0.0,0.0
2018-04-08,64.17,64.17,64.17,0.0,0.0,64.17,64.17,64.17,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2018-04-15,64.55,64.55,64.55,0.0,0.0,64.62,64.62,64.62,0.0,0.0,64.34,64.34,64.34,0.0,0.0,64.45,64.45,64.45,0.0,0.0
2018-04-22,65.05,65.05,65.05,0.0,0.0,65.1,65.1,65.1,0.0,0.0,64.76,64.76,64.76,0.0,0.0,64.92,64.92,64.92,0.0,0.0
2018-04-29,65.34,65.34,65.34,0.0,0.0,65.84,65.84,65.84,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.72,65.72,65.72,0.0,0.0
2018-05-06,66.49,66.49,66.49,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.48,66.48,66.48,0.0,0.0,66.54,66.54,66.54,0.0,0.0
2018-05-13,67.11,67.11,67.11,0.0,0.0,67.13,67.13,67.13,0.0,0.0,66.89,66.89,66.89,0.0,0.0,66.95,66.95,66.95,0.0,0.0
2018-05-20,66.37,66.37,66.37,0.0,0.0,66.58,66.58,66.58,0.0,0.0,66.19,66.19,66.19,0.0,0.0,66.55,66.55,66.55,0.0,0.0
2018-05-27,65.93,65.93,65.93,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.71,65.71,65.71,0.0,0.0,65.92,65.92,65.92,0.0,0.0
2018-06-03,65.79,65.79,65.79,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.99,65.99,65.99,0.0,0.0
2018-06-10,67.07,67.07,67.07,0.0,0.0,67.18,67.18,67.18,0.0,0.0,66.88,66.88,66.88,0.0,0.0,67.18,67.18,67.18,0.0,0.0
2018-06-17,65.42,65.42,65.42,0.0,0.0,65.7,65.7,65.7,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2018-06-24,63.5,63.5,63.5,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.04,63.04,63.04,0.0,0.0,63.14,63.14,63.14,0.0,0.0
2018-07-01,63.94,63.94,63.94,0.0,0.0,64.28,64.28,64.28,0.0,0.0,63.84,63.84,63.84,0.0,0.0,64.2,64.2,64.2,0.0,0.0
2018-07-08,64.63,64.63,64.63,0.0,0.0,64.69,64.69,64.69,0.0,0.0,64.54,64.54,64.54,0.0,0.0,64.64,64.64,64.64,0.0,0.0
2018-07-15,64.58,64.58,64.58,0.0,0.0,65.07,65.07,65.07,0.0,0.0,64.57,64.57,64.57,0.0,0.0,64.88,64.88,64.88,0.0,0.0
2018-07-22,65.7,65.7,65.7,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.5,65.5,65.5,0.0,0.0,65.61,65.61,65.61,0.0,0.0
2018-07-29,65.17,65.17,65.17,0.0,0.0,65.41,65.41,65.41,0.0,0.0,65.06,65.06,65.06,0.0,0.0,65.38,65.38,65.38,0.0,0.0
2018-08-05,64.44,64.44,64.44,0.0,0.0,64.52,64.52,64.52,0.0,0.0,64.19,64.19,64.19,0.0,0.0,64.3,64.3,64.3,0.0,0.0
2018-08-12,63.45,63.45,63.45,0.0,0.0,63.87,63.87,63.87,0.0,0.0,63.34,63.34,63.34,0.0,0.0,63.75,63.75,63.75,0.0,0.0
2018-08-19,64.14,64.14,64.14,0.0,0.0,64.23,64.23,64.23,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-08-26,63.95,63.95,63.95,0.0,0.0,64.1,64.1,64.1,0.0,0.0,63.62,63.62,63.62,0.0,0.0,63.82,63.82,63.82,0.0,0.0
2018-09-02,61.6,61.6,61.6,0.0,0.0,61.95,61.95,61.95,0.0,0.0,61.55,61.55,61.55,0.0,0.0,61.84,61.84,61.84,0.0,0.0
2018-09-09,62.64,62.64,62.64,0.0,0.0,62.79,62.79,62.79,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.74,62.74,62.74,0.0,0.0
2018-09-16,64.12,64.12,64.12,0.0,0.0,64.21,64.21,64.21,0.0,0.0,64.03,64.03,64.03,0.0,0.0,64.1,64.1,64.1,0.0,0.0
2018-09-23,63.25,63.25,63.25,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.11,63.11,63.11,0.0,0.0,63.22,63.22,63.22,0.0,0.0
2018-09-30,62.26,62.26,62.26,0.0,0.0,62.33,62.33,62.33,0.0,0.0,61.9,61.9,61.9,0.0,0.0,62.08,62.08,62.08,0.0,0.0
2018-10-07,59.78,59.78,59.78,0.0,0.0,59.84,59.84,59.84,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.56,59.56,59.56,0.0,0.0
