Date,First Trust Dow Jones Internet_Open_average,First Trust Dow Jones Internet_Open_max,First Trust Dow Jones Internet_Open_min,First Trust Dow Jones Internet_Open_volatility,First Trust Dow Jones Internet_Open_change,First Trust Dow Jones Internet_High_average,First Trust Dow Jones Internet_High_max,First Trust Dow Jones Internet_High_min,First Trust Dow Jones Internet_High_volatility,First Trust Dow Jones Internet_High_change,First Trust Dow Jones Internet_Low_average,First Trust Dow Jones Internet_Low_max,First Trust Dow Jones Internet_Low_min,First Trust Dow Jones Internet_Low_volatility,First Trust Dow Jones Internet_Low_change,First Trust Dow Jones Internet_Close_average,First Trust Dow Jones Internet_Close_max,First Trust Dow Jones Internet_Close_min,First Trust Dow Jones Internet_Close_volatility,First Trust Dow Jones Internet_Close_change
2018-01-14,117.02,117.02,117.02,0.0,0.0,118.59,118.59,118.59,0.0,0.0,116.8,116.8,116.8,0.0,0.0,118.59,118.59,118.59,0.0,0.0
2018-01-21,122.39,122.39,122.39,0.0,0.0,123.05,123.05,123.05,0.0,0.0,121.89,121.89,121.89,0.0,0.0,122.18,122.18,122.18,0.0,0.0
2018-01-28,118.05,118.05,118.05,0.0,0.0,120.5,120.5,120.5,0.0,0.0,114.75,114.75,114.75,0.0,0.0,115.56,115.56,115.56,0.0,0.0
2018-02-04,116.43,116.43,116.43,0.0,0.0,117.77,117.77,117.77,0.0,0.0,115.1,115.1,115.1,0.0,0.0,117.16,117.16,117.16,0.0,0.0
2018-02-11,122.1,122.1,122.1,0.0,0.0,122.82,122.82,122.82,0.0,0.0,121.59,121.59,121.59,0.0,0.0,121.99,121.99,121.99,0.0,0.0
2018-02-18,123.97,123.97,123.97,0.0,0.0,124.52,124.52,124.52,0.0,0.0,123.49,123.49,123.49,0.0,0.0,124.48,124.48,124.48,0.0,0.0
2018-02-25,123.3,123.3,123.3,0.0,0.0,126.41,126.41,126.41,0.0,0.0,122.81,122.81,122.81,0.0,0.0,126.04,126.04,126.04,0.0,0.0
2018-03-04,131.57,131.57,131.57,0.0,0.0,131.71,131.71,131.71,0.0,0.0,130.95,130.95,130.95,0.0,0.0,131.25,131.25,131.25,0.0,0.0
2018-03-11,128.32,128.32,128.32,0.0,0.0,128.48,128.48,128.48,0.0,0.0,125.67,125.67,125.67,0.0,0.0,126.91,126.91,126.91,0.0,0.0
2018-03-18,123.12,123.12,123.12,0.0,0.0,124.5,124.5,124.5,0.0,0.0,120.36,120.36,120.36,0.0,0.0,124.42,124.42,124.42,0.0,0.0
2018-03-25,119.67,119.67,119.67,0.0,0.0,120.31,120.31,120.31,0.0,0.0,116.22,116.22,116.22,0.0,0.0,117.23,117.23,117.23,0.0,0.0
2018-04-01,119.14,119.14,119.14,0.0,0.0,120.95,120.95,120.95,0.0,0.0,118.64,118.64,118.64,0.0,0.0,118.67,118.67,118.67,0.0,0.0
2018-04-08,122.55,122.55,122.55,0.0,0.0,122.91,122.91,122.91,0.0,0.0,121.42,121.42,121.42,0.0,0.0,122.32,122.32,122.32,0.0,0.0
2018-04-15,126.41,126.41,126.41,0.0,0.0,126.96,126.96,126.96,0.0,0.0,124.64,124.64,124.64,0.0,0.0,125.38,125.38,125.38,0.0,0.0
2018-04-22,124.3,124.3,124.3,0.0,0.0,125.14,125.14,125.14,0.0,0.0,123.33,123.33,123.33,0.0,0.0,123.84,123.84,123.84,0.0,0.0
2018-04-29,126.78,126.78,126.78,0.0,0.0,128.4,128.4,128.4,0.0,0.0,126.54,126.54,126.54,0.0,0.0,127.79,127.79,127.79,0.0,0.0
2018-05-06,132.9,132.9,132.9,0.0,0.0,133.25,133.25,133.25,0.0,0.0,131.34,131.34,131.34,0.0,0.0,131.74,131.74,131.74,0.0,0.0
2018-05-13,132.67,132.67,132.67,0.0,0.0,133.16,133.16,133.16,0.0,0.0,131.7,131.7,131.7,0.0,0.0,132.48,132.48,132.48,0.0,0.0
