Date,Invesco Buyback Achievers_Open_average,Invesco Buyback Achievers_Open_max,Invesco Buyback Achievers_Open_min,Invesco Buyback Achievers_Open_volatility,Invesco Buyback Achievers_Open_change,Invesco Buyback Achievers_High_average,Invesco Buyback Achievers_High_max,Invesco Buyback Achievers_High_min,Invesco Buyback Achievers_High_volatility,Invesco Buyback Achievers_High_change,Invesco Buyback Achievers_Low_average,Invesco Buyback Achievers_Low_max,Invesco Buyback Achievers_Low_min,Invesco Buyback Achievers_Low_volatility,Invesco Buyback Achievers_Low_change,Invesco Buyback Achievers_Close_average,Invesco Buyback Achievers_Close_max,Invesco Buyback Achievers_Close_min,Invesco Buyback Achievers_Close_volatility,Invesco Buyback Achievers_Close_change
2018-01-14,62.14,62.14,62.14,0.0,0.0,62.32,62.32,62.32,0.0,0.0,61.97,61.97,61.97,0.0,0.0,62.3,62.3,62.3,0.0,0.0
2018-01-21,62.78,62.78,62.78,0.0,0.0,63.3,63.3,63.3,0.0,0.0,62.72,62.72,62.72,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2018-01-28,62.27,62.27,62.27,0.0,0.0,62.42,62.42,62.42,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.18,61.18,61.18,0.0,0.0
2018-02-04,58.01,58.01,58.01,0.0,0.0,58.31,58.31,58.31,0.0,0.0,56.21,56.21,56.21,0.0,0.0,57.85,57.85,57.85,0.0,0.0
2018-02-11,59.86,59.86,59.86,0.0,0.0,60.6,60.6,60.6,0.0,0.0,59.86,59.86,59.86,0.0,0.0,60.16,60.16,60.16,0.0,0.0
2018-02-18,59.74,59.74,59.74,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.49,59.49,59.49,0.0,0.0,60.13,60.13,60.13,0.0,0.0
2018-02-25,57.78,57.78,57.78,0.0,0.0,58.55,58.55,58.55,0.0,0.0,57.55,57.55,57.55,0.0,0.0,58.5,58.5,58.5,0.0,0.0
2018-03-04,59.57,59.57,59.57,0.0,0.0,60.31,60.31,60.31,0.0,0.0,59.57,59.57,59.57,0.0,0.0,60.31,60.31,60.31,0.0,0.0
2018-03-11,58.88,58.88,58.88,0.0,0.0,59.31,59.31,59.31,0.0,0.0,58.88,58.88,58.88,0.0,0.0,59.05,59.05,59.05,0.0,0.0
2018-03-18,57.03,57.03,57.03,0.0,0.0,57.08,57.08,57.08,0.0,0.0,55.74,55.74,55.74,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2018-03-25,56.64,56.64,56.64,0.0,0.0,57.16,57.16,57.16,0.0,0.0,56.53,56.53,56.53,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2018-04-01,57.03,57.03,57.03,0.0,0.0,57.31,57.31,57.31,0.0,0.0,55.94,55.94,55.94,0.0,0.0,56.4,56.4,56.4,0.0,0.0
2018-04-08,57.39,57.39,57.39,0.0,0.0,57.39,57.39,57.39,0.0,0.0,56.62,56.62,56.62,0.0,0.0,56.75,56.75,56.75,0.0,0.0
2018-04-15,57.86,57.86,57.86,0.0,0.0,57.99,57.99,57.99,0.0,0.0,57.34,57.34,57.34,0.0,0.0,57.5,57.5,57.5,0.0,0.0
2018-04-22,57.38,57.38,57.38,0.0,0.0,57.53,57.53,57.53,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.41,57.41,57.41,0.0,0.0
