Date,First Trust International IPO_Open_average,First Trust International IPO_Open_max,First Trust International IPO_Open_min,First Trust International IPO_Open_volatility,First Trust International IPO_Open_change,First Trust International IPO_High_average,First Trust International IPO_High_max,First Trust International IPO_High_min,First Trust International IPO_High_volatility,First Trust International IPO_High_change,First Trust International IPO_Low_average,First Trust International IPO_Low_max,First Trust International IPO_Low_min,First Trust International IPO_Low_volatility,First Trust International IPO_Low_change,First Trust International IPO_Close_average,First Trust International IPO_Close_max,First Trust International IPO_Close_min,First Trust International IPO_Close_volatility,First Trust International IPO_Close_change
2018-01-14,38.77,38.77,38.77,0.0,0.0,39.01,39.01,39.01,0.0,0.0,38.65,38.65,38.65,0.0,0.0,38.99,38.99,38.99,0.0,0.0
2018-01-21,39.51,39.51,39.51,0.0,0.0,39.56,39.56,39.56,0.0,0.0,39.4,39.4,39.4,0.0,0.0,39.46,39.46,39.46,0.0,0.0
2018-01-28,37.91,37.91,37.91,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.14,37.14,37.14,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-02-04,36.22,36.22,36.22,0.0,0.0,36.46,36.46,36.46,0.0,0.0,36.22,36.22,36.22,0.0,0.0,36.45,36.45,36.45,0.0,0.0
2018-02-11,37.73,37.73,37.73,0.0,0.0,37.83,37.83,37.83,0.0,0.0,37.69,37.69,37.69,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-02-18,38.22,38.22,38.22,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.02,38.02,38.02,0.0,0.0,38.32,38.32,38.32,0.0,0.0
2018-02-25,36.66,36.66,36.66,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.66,36.66,36.66,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-03-04,37.88,37.88,37.88,0.0,0.0,37.88,37.88,37.88,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-03-11,37.39,37.39,37.39,0.0,0.0,37.62,37.62,37.62,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.35,37.35,37.35,0.0,0.0
2018-03-18,37.01,37.01,37.01,0.0,0.0,37.28,37.28,37.28,0.0,0.0,36.9,36.9,36.9,0.0,0.0,37.28,37.28,37.28,0.0,0.0
2018-03-25,36.91,36.91,36.91,0.0,0.0,37.05,37.05,37.05,0.0,0.0,36.9,36.9,36.9,0.0,0.0,36.9,36.9,36.9,0.0,0.0
2018-04-01,36.98,36.98,36.98,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-04-08,36.95,36.95,36.95,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.95,36.95,36.95,0.0,0.0,36.96,36.96,36.96,0.0,0.0
2018-04-15,37.17,37.17,37.17,0.0,0.0,37.17,37.17,37.17,0.0,0.0,36.95,36.95,36.95,0.0,0.0,37.0,37.0,37.0,0.0,0.0
2018-04-22,36.76,36.76,36.76,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.68,36.68,36.68,0.0,0.0
2018-04-29,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0,36.99,36.99,36.99,0.0,0.0
2018-05-06,37.52,37.52,37.52,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-05-13,36.84,36.84,36.84,0.0,0.0,36.87,36.87,36.87,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-05-20,36.42,36.42,36.42,0.0,0.0,36.64,36.64,36.64,0.0,0.0,36.42,36.42,36.42,0.0,0.0,36.64,36.64,36.64,0.0,0.0
2018-05-27,36.76,36.76,36.76,0.0,0.0,37.01,37.01,37.01,0.0,0.0,36.76,36.76,36.76,0.0,0.0,36.93,36.93,36.93,0.0,0.0
2018-06-03,37.24,37.24,37.24,0.0,0.0,37.3,37.3,37.3,0.0,0.0,37.17,37.17,37.17,0.0,0.0,37.17,37.17,37.17,0.0,0.0
2018-06-10,36.47,36.47,36.47,0.0,0.0,36.81,36.81,36.81,0.0,0.0,36.47,36.47,36.47,0.0,0.0,36.81,36.81,36.81,0.0,0.0
2018-06-17,35.63,35.63,35.63,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.29,35.29,35.29,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-06-24,34.32,34.32,34.32,0.0,0.0,34.39,34.39,34.39,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.39,34.39,34.39,0.0,0.0
2018-07-01,35.17,35.17,35.17,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.07,35.07,35.07,0.0,0.0,35.49,35.49,35.49,0.0,0.0
2018-07-08,35.33,35.33,35.33,0.0,0.0,35.53,35.53,35.53,0.0,0.0,35.33,35.33,35.33,0.0,0.0,35.48,35.48,35.48,0.0,0.0
2018-07-15,35.73,35.73,35.73,0.0,0.0,35.73,35.73,35.73,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2018-07-22,35.79,35.79,35.79,0.0,0.0,35.79,35.79,35.79,0.0,0.0,35.67,35.67,35.67,0.0,0.0,35.67,35.67,35.67,0.0,0.0
2018-07-29,34.66,34.66,34.66,0.0,0.0,34.7,34.7,34.7,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.7,34.7,34.7,0.0,0.0
2018-08-05,34.4,34.4,34.4,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.19,34.19,34.19,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-08-12,34.09,34.09,34.09,0.0,0.0,34.09,34.09,34.09,0.0,0.0,34.02,34.02,34.02,0.0,0.0,34.02,34.02,34.02,0.0,0.0
2018-08-19,35.01,35.01,35.01,0.0,0.0,35.14,35.14,35.14,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.01,35.01,35.01,0.0,0.0
2018-08-26,35.06,35.06,35.06,0.0,0.0,35.06,35.06,35.06,0.0,0.0,34.88,34.88,34.88,0.0,0.0,35.02,35.02,35.02,0.0,0.0
2018-09-02,33.85,33.85,33.85,0.0,0.0,33.96,33.96,33.96,0.0,0.0,33.85,33.85,33.85,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-09-09,34.35,34.35,34.35,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-09-16,35.06,35.06,35.06,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.09,35.09,35.09,0.0,0.0
