Date,WAB_stock_Open_average,WAB_stock_Open_max,WAB_stock_Open_min,WAB_stock_Open_volatility,WAB_stock_Open_change,WAB_stock_High_average,WAB_stock_High_max,WAB_stock_High_min,WAB_stock_High_volatility,WAB_stock_High_change,WAB_stock_Low_average,WAB_stock_Low_max,WAB_stock_Low_min,WAB_stock_Low_volatility,WAB_stock_Low_change,WAB_stock_Close_average,WAB_stock_Close_max,WAB_stock_Close_min,WAB_stock_Close_volatility,WAB_stock_Close_change,WAB_stock_Volume_average,WAB_stock_Volume_max,WAB_stock_Volume_min,WAB_stock_Volume_volatility,WAB_stock_Volume_change
2018-01-14,83.63,85.2,81.99,3.210000000000008,-3.210000000000008,84.22749999999999,86.24,82.83,3.4099999999999966,-3.4099999999999966,82.4125,84.04,81.55,2.490000000000009,-2.490000000000009,82.89,84.2,81.84,2.3599999999999994,-1.4000000000000057,606540,693041,543955,149086,-15894
2018-01-21,82.86,83.39,82.35,1.0400000000000063,-0.3500000000000085,83.104,83.54,82.71,0.8300000000000125,-0.1700000000000017,81.982,82.29,81.52,0.7700000000000102,-0.5799999999999983,82.502,82.73,82.25,0.480000000000004,-0.25,593501,822951,450491,372460,372460
2018-01-28,81.622,83.03,79.35,3.680000000000007,-2.969999999999999,82.766,84.79,80.0,4.790000000000006,-4.790000000000006,79.518,82.32,72.89,9.429999999999993,-9.429999999999993,80.39,83.84,73.4,10.439999999999998,-10.439999999999998,1146954,3385061,405895,2979166,2612279
2018-02-04,72.036,72.72,70.95,1.769999999999996,-1.2000000000000028,73.412,74.51,72.37,2.1400000000000006,-2.1400000000000006,70.994,72.16,69.75,2.4099999999999966,-2.0999999999999943,72.11,72.84,71.15,1.6899999999999977,-0.20999999999999375,1443752,1967418,943782,1023636,-837983
2018-02-11,72.718,75.12,71.3,3.8200000000000074,3.3400000000000034,74.464,78.38,72.7,5.679999999999993,5.509999999999991,72.23599999999999,74.82,70.85,3.969999999999999,3.969999999999999,73.812,77.27,71.98,5.289999999999992,5.269999999999996,977552,1550471,524054,1026417,675002
2018-02-18,80.3075,82.35,76.73,5.61999999999999,5.61999999999999,83.0525,84.14,81.5,2.6400000000000006,1.9099999999999966,79.7625,82.35,74.76,7.589999999999989,7.589999999999989,81.86,83.4,80.0,3.4000000000000057,3.4000000000000057,1164198,1892349,543849,1348500,-1348500
2018-02-25,82.062,83.98,79.09,4.890000000000001,-4.890000000000001,82.894,84.48,81.44,3.0400000000000063,-2.8799999999999955,80.904,82.89,78.84,4.049999999999997,-4.049999999999997,81.666,83.84,79.89,3.950000000000003,-2.6400000000000006,880404,1238152,597238,640914,135319
2018-03-04,82.734,83.69,80.97,2.719999999999999,2.1500000000000057,83.744,84.33,83.39,0.9399999999999977,0.5600000000000023,82.11,82.88,80.44,2.4399999999999977,2.240000000000009,83.128,83.59,82.4,1.1899999999999977,0.4099999999999966,639435,843507,529600,313907,-25071
2018-03-11,83.024,83.92,82.0,1.9200000000000017,-1.9200000000000017,83.72,84.29,82.81,1.480000000000004,-1.480000000000004,82.162,82.79,81.31,1.480000000000004,-1.480000000000004,82.53,82.89,81.88,1.0100000000000051,-0.45000000000000284,588880,729281,462896,266385,34533
2018-03-18,80.838,81.88,78.75,3.1299999999999955,-3.1299999999999955,81.566,82.5,79.5,3.0,-3.0,79.65599999999999,81.07,77.45,3.6199999999999903,-3.6199999999999903,80.056,81.89,77.49,4.400000000000006,-4.400000000000006,563671,737935,345411,392524,284815
2018-03-25,80.33,81.15,78.74,2.410000000000011,1.9300000000000068,81.5425,82.59,80.74,1.8500000000000085,1.3400000000000034,79.42,80.3,78.03,2.269999999999996,2.030000000000001,80.6875,81.4,80.03,1.3700000000000045,0.7900000000000063,728603,940107,512427,427680,-220704
2018-04-01,80.612,81.39,79.19,2.200000000000003,-0.09000000000000341,81.546,82.29,81.06,1.230000000000004,0.28000000000000114,79.462,80.7,78.8,1.9000000000000057,-0.09000000000000341,80.576,81.46,79.78,1.6799999999999926,0.37999999999999545,782840,1026883,537469,489414,-86532
2018-04-08,81.646,83.13,80.9,2.2299999999999898,2.2299999999999898,82.512,83.79,81.15,2.6400000000000006,2.6400000000000006,80.826,81.62,79.89,1.730000000000004,1.4299999999999926,81.56400000000001,82.73,79.95,2.780000000000001,1.7399999999999949,501089,629012,390679,238333,64961
2018-04-15,83.29599999999999,83.82,82.55,1.269999999999996,1.0900000000000034,85.214,89.47,83.79,5.679999999999993,5.679999999999993,82.704,83.03,82.22,0.8100000000000023,0.3499999999999943,84.134,87.54,82.72,4.820000000000007,4.3500000000000085,1226414,4165494,397192,3768302,3768302
2018-04-22,89.322,90.74,88.0,2.739999999999995,-0.9899999999999949,90.676,92.17,89.51,2.6599999999999966,-0.47999999999998977,88.398,89.4,87.61,1.7900000000000063,-0.10999999999999943,89.214,90.34,88.04,2.299999999999997,1.3299999999999983,1118131,2123488,547834,1575654,-880124
