Date,CUTR_stock_Open_average,CUTR_stock_Open_max,CUTR_stock_Open_min,CUTR_stock_Open_volatility,CUTR_stock_Open_change,CUTR_stock_High_average,CUTR_stock_High_max,CUTR_stock_High_min,CUTR_stock_High_volatility,CUTR_stock_High_change,CUTR_stock_Low_average,CUTR_stock_Low_max,CUTR_stock_Low_min,CUTR_stock_Low_volatility,CUTR_stock_Low_change,CUTR_stock_Close_average,CUTR_stock_Close_max,CUTR_stock_Close_min,CUTR_stock_Close_volatility,CUTR_stock_Close_change,CUTR_stock_Volume_average,CUTR_stock_Volume_max,CUTR_stock_Volume_min,CUTR_stock_Volume_volatility,CUTR_stock_Volume_change
2018-01-14,49.6875,50.6,49.05,1.5500000000000043,-1.0500000000000043,51.1125,52.9,50.1,2.799999999999997,-1.6000000000000014,48.8625,49.5,48.3,1.2000000000000028,0.75,49.7,51.1,49.0,2.1000000000000014,1.9500000000000028,207352,351532,117991,233541,-200334
2018-01-21,50.33,51.2,49.65,1.5500000000000043,-0.45000000000000284,50.922,51.9,49.95,1.9499999999999957,0.6400000000000006,49.68,50.55,49.2,1.3499999999999943,0.8999999999999986,50.23,51.4,49.5,1.8999999999999986,1.5,121629,207956,80979,126977,-966
2018-01-28,50.019999999999996,51.05,49.4,1.6499999999999986,-0.8999999999999986,51.24,51.65,50.65,1.0,-0.44999999999999574,49.294,50.35,48.65,1.7000000000000028,-1.1499999999999986,50.04,50.75,49.55,1.2000000000000028,-0.5,133186,169462,81193,88269,-50218
2018-02-04,47.51,49.25,45.1,4.149999999999999,-4.149999999999999,48.199999999999996,50.4,45.4,5.0,-5.0,45.82,48.8,43.4,5.399999999999999,-5.049999999999997,46.81,49.1,44.9,4.200000000000003,-4.200000000000003,177932,310016,92679,217337,-286
2018-02-11,46.83,50.2,45.0,5.200000000000003,5.200000000000003,48.664,52.5,46.35,6.149999999999999,4.420000000000002,45.386,47.6,42.05,5.550000000000004,5.550000000000004,47.52,50.5,45.95,4.549999999999997,2.299999999999997,228423,464214,108797,355417,88602
2018-02-18,46.675,48.15,45.35,2.799999999999997,-2.799999999999997,47.4825,48.2,46.2,2.0,-2.0,45.305,45.95,44.4,1.5500000000000043,-1.5500000000000043,45.825,46.75,45.1,1.6499999999999986,-0.9500000000000028,157480,171993,139383,32610,-3128
2018-02-25,45.34,45.9,44.85,1.0499999999999972,-0.04999999999999716,46.44,47.25,46.0,1.25,1.0499999999999972,44.652,44.95,44.41,0.5400000000000063,0.29000000000000625,45.83,47.1,45.05,2.0500000000000043,1.6499999999999986,171548,184544,153218,31326,4399
2018-03-04,48.18,49.75,46.95,2.799999999999997,2.799999999999997,49.25,50.75,47.9,2.8500000000000014,2.8500000000000014,47.484,49.15,46.37,2.780000000000001,2.780000000000001,48.95,50.45,47.85,2.6000000000000014,2.6000000000000014,162414,184056,110369,73687,-1169
2018-03-11,52.36,54.05,50.6,3.4499999999999957,3.4499999999999957,53.910000000000004,54.85,51.6,3.25,3.25,51.7,52.9,50.1,2.799999999999997,2.799999999999997,53.0,54.6,50.6,4.0,4.0,217598,412400,107608,304792,139137
2018-03-18,53.7,55.0,52.65,2.3500000000000014,-2.3500000000000014,54.21,55.0,53.35,1.6499999999999986,-1.6000000000000014,52.29,53.3,51.55,1.75,-0.7000000000000028,53.11,54.15,51.95,2.1999999999999957,-1.3999999999999986,114628,133840,83540,50300,-6558
