Date,Vanguard Russell 1000_Open_average,Vanguard Russell 1000_Open_max,Vanguard Russell 1000_Open_volatility,Vanguard Russell 1000_Open_change,Vanguard Russell 1000_High_average,Vanguard Russell 1000_High_max,Vanguard Russell 1000_High_volatility,Vanguard Russell 1000_High_change,Vanguard Russell 1000_Low_average,Vanguard Russell 1000_Low_max,Vanguard Russell 1000_Low_volatility,Vanguard Russell 1000_Low_change,Vanguard Russell 1000_Close_average,Vanguard Russell 1000_Close_max,Vanguard Russell 1000_Close_volatility,Vanguard Russell 1000_Close_change
2016-01-03,88.53,88.53,0.0,0.0,88.53,88.53,0.0,0.0,87.0,87.0,0.0,0.0,88.07,88.07,0.0,0.0
2016-01-10,85.51,85.51,0.0,0.0,86.24,86.24,0.0,0.0,84.85,84.85,0.0,0.0,85.93,85.93,0.0,0.0
2016-01-17,87.42,87.42,0.0,0.0,87.42,87.42,0.0,0.0,85.63,85.63,0.0,0.0,85.71,85.71,0.0,0.0
2016-01-24,88.02,88.02,0.0,0.0,88.82,88.82,0.0,0.0,87.62,87.62,0.0,0.0,88.62,88.62,0.0,0.0
2016-01-31,84.9,84.9,0.0,0.0,84.9,84.9,0.0,0.0,83.39,83.39,0.0,0.0,84.54,84.54,0.0,0.0
2016-02-07,84.02,84.02,0.0,0.0,84.96,84.96,0.0,0.0,84.02,84.02,0.0,0.0,84.96,84.96,0.0,0.0
2016-02-14,88.37,88.37,0.0,0.0,88.93,88.93,0.0,0.0,88.37,88.37,0.0,0.0,88.85,88.85,0.0,0.0
2016-02-21,89.2,89.2,0.0,0.0,89.61,89.61,0.0,0.0,88.43,88.43,0.0,0.0,88.43,88.43,0.0,0.0
2016-02-28,91.51,91.51,0.0,0.0,92.06,92.06,0.0,0.0,91.36,91.36,0.0,0.0,91.88,91.88,0.0,0.0
2016-03-06,92.56,92.56,0.0,0.0,92.74,92.74,0.0,0.0,92.45,92.45,0.0,0.0,92.74,92.74,0.0,0.0
2016-03-13,93.56,93.56,0.0,0.0,93.91,93.91,0.0,0.0,93.48,93.48,0.0,0.0,93.76,93.76,0.0,0.0
2016-03-20,93.3,93.3,0.0,0.0,93.3,93.3,0.0,0.0,92.94,92.94,0.0,0.0,93.03,93.03,0.0,0.0
2016-03-27,94.91,94.91,0.0,0.0,94.91,94.91,0.0,0.0,94.39,94.39,0.0,0.0,94.42,94.42,0.0,0.0
2016-04-03,94.26,94.26,0.0,0.0,94.47,94.47,0.0,0.0,93.47,93.47,0.0,0.0,93.5,93.5,0.0,0.0
2016-04-10,94.97,94.97,0.0,0.0,95.92,95.92,0.0,0.0,94.97,94.97,0.0,0.0,95.9,95.9,0.0,0.0
