Date,Schwab US Large-Cap_Open_average,Schwab US Large-Cap_Open_max,Schwab US Large-Cap_Open_min,Schwab US Large-Cap_Open_volatility,Schwab US Large-Cap_Open_change,Schwab US Large-Cap_High_average,Schwab US Large-Cap_High_max,Schwab US Large-Cap_High_min,Schwab US Large-Cap_High_volatility,Schwab US Large-Cap_High_change,Schwab US Large-Cap_Low_average,Schwab US Large-Cap_Low_max,Schwab US Large-Cap_Low_min,Schwab US Large-Cap_Low_volatility,Schwab US Large-Cap_Low_change,Schwab US Large-Cap_Close_average,Schwab US Large-Cap_Close_max,Schwab US Large-Cap_Close_min,Schwab US Large-Cap_Close_volatility,Schwab US Large-Cap_Close_change
2018-01-14,66.92,66.92,66.92,0.0,0.0,67.55,67.55,67.55,0.0,0.0,66.92,66.92,66.92,0.0,0.0,67.55,67.55,67.55,0.0,0.0
2018-01-21,68.29,68.29,68.29,0.0,0.0,68.39,68.39,68.39,0.0,0.0,67.92,67.92,67.92,0.0,0.0,67.98,67.98,67.98,0.0,0.0
2018-01-28,65.3,65.3,65.3,0.0,0.0,65.89,65.89,65.89,0.0,0.0,62.92,62.92,62.92,0.0,0.0,63.22,63.22,63.22,0.0,0.0
2018-02-04,63.05,63.05,63.05,0.0,0.0,63.76,63.76,63.76,0.0,0.0,62.58,62.58,62.58,0.0,0.0,63.39,63.39,63.39,0.0,0.0
2018-02-11,65.07,65.07,65.07,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.27,65.27,65.27,0.0,0.0
2018-02-18,65.92,65.92,65.92,0.0,0.0,66.38,66.38,66.38,0.0,0.0,65.74,65.74,65.74,0.0,0.0,66.35,66.35,66.35,0.0,0.0
2018-02-25,64.02,64.02,64.02,0.0,0.0,65.24,65.24,65.24,0.0,0.0,63.99,63.99,63.99,0.0,0.0,65.08,65.08,65.08,0.0,0.0
2018-03-04,66.78,66.78,66.78,0.0,0.0,66.92,66.92,66.92,0.0,0.0,66.52,66.52,66.52,0.0,0.0,66.65,66.65,66.65,0.0,0.0
2018-03-11,65.44,65.44,65.44,0.0,0.0,65.44,65.44,65.44,0.0,0.0,64.32,64.32,64.32,0.0,0.0,64.76,64.76,64.76,0.0,0.0
2018-03-18,62.78,62.78,62.78,0.0,0.0,63.54,63.54,63.54,0.0,0.0,62.15,62.15,62.15,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-03-25,62.86,62.86,62.86,0.0,0.0,62.98,62.98,62.98,0.0,0.0,60.99,60.99,60.99,0.0,0.0,61.65,61.65,61.65,0.0,0.0
2018-04-01,62.58,62.58,62.58,0.0,0.0,63.34,63.34,63.34,0.0,0.0,62.34,62.34,62.34,0.0,0.0,62.42,62.42,62.42,0.0,0.0
2018-04-08,63.87,63.87,63.87,0.0,0.0,64.16,64.16,64.16,0.0,0.0,63.65,63.65,63.65,0.0,0.0,63.97,63.97,63.97,0.0,0.0
2018-04-15,64.01,64.01,64.01,0.0,0.0,64.14,64.14,64.14,0.0,0.0,63.54,63.54,63.54,0.0,0.0,63.83,63.83,63.83,0.0,0.0
2018-04-22,63.96,63.96,63.96,0.0,0.0,64.08,64.08,64.08,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2018-04-29,63.93,63.93,63.93,0.0,0.0,64.17,64.17,64.17,0.0,0.0,63.73,63.73,63.73,0.0,0.0,63.92,63.92,63.92,0.0,0.0
2018-05-06,65.44,65.44,65.44,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.16,65.16,65.16,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2018-05-13,65.34,65.34,65.34,0.0,0.0,65.57,65.57,65.57,0.0,0.0,65.24,65.24,65.24,0.0,0.0,65.43,65.43,65.43,0.0,0.0
2018-05-20,65.17,65.17,65.17,0.0,0.0,65.3,65.3,65.3,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2018-05-27,65.73,65.73,65.73,0.0,0.0,65.89,65.89,65.89,0.0,0.0,65.68,65.68,65.68,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-06-03,66.67,66.67,66.67,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.73,66.73,66.73,0.0,0.0
2018-06-10,66.33,66.33,66.33,0.0,0.0,66.65,66.65,66.65,0.0,0.0,66.2,66.2,66.2,0.0,0.0,66.62,66.62,66.62,0.0,0.0
2018-06-17,65.87,65.87,65.87,0.0,0.0,65.88,65.88,65.88,0.0,0.0,64.82,64.82,64.82,0.0,0.0,65.26,65.26,65.26,0.0,0.0
2018-06-24,64.6,64.6,64.6,0.0,0.0,65.18,65.18,65.18,0.0,0.0,64.53,64.53,64.53,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2018-07-01,66.3,66.3,66.3,0.0,0.0,66.62,66.62,66.62,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.62,66.62,66.62,0.0,0.0
2018-07-08,67.03,67.03,67.03,0.0,0.0,67.06,67.06,67.06,0.0,0.0,66.81,66.81,66.81,0.0,0.0,66.92,66.92,66.92,0.0,0.0
2018-07-15,66.98,66.98,66.98,0.0,0.0,67.17,67.17,67.17,0.0,0.0,66.86,66.86,66.86,0.0,0.0,67.13,67.13,67.13,0.0,0.0
2018-07-22,67.37,67.37,67.37,0.0,0.0,67.43,67.43,67.43,0.0,0.0,66.84,66.84,66.84,0.0,0.0,66.97,66.97,66.97,0.0,0.0
2018-07-29,67.91,67.91,67.91,0.0,0.0,68.23,68.23,68.23,0.0,0.0,67.82,67.82,67.82,0.0,0.0,68.17,68.17,68.17,0.0,0.0
2018-08-05,67.88,67.88,67.88,0.0,0.0,68.05,68.05,68.05,0.0,0.0,67.49,67.49,67.49,0.0,0.0,67.54,67.54,67.54,0.0,0.0
2018-08-12,68.35,68.35,68.35,0.0,0.0,68.48,68.48,68.48,0.0,0.0,68.25,68.25,68.25,0.0,0.0,68.42,68.42,68.42,0.0,0.0
2018-08-19,69.16,69.16,69.16,0.0,0.0,69.44,69.44,69.44,0.0,0.0,69.14,69.14,69.14,0.0,0.0,69.4,69.4,69.4,0.0,0.0
2018-08-26,69.42,69.42,69.42,0.0,0.0,69.64,69.64,69.64,0.0,0.0,69.3,69.3,69.3,0.0,0.0,69.51,69.51,69.51,0.0,0.0
