Date,ProShares Ultra FTSE Europe_Open_average,ProShares Ultra FTSE Europe_Open_max,ProShares Ultra FTSE Europe_Open_min,ProShares Ultra FTSE Europe_Open_volatility,ProShares Ultra FTSE Europe_Open_change,ProShares Ultra FTSE Europe_High_average,ProShares Ultra FTSE Europe_High_max,ProShares Ultra FTSE Europe_High_min,ProShares Ultra FTSE Europe_High_volatility,ProShares Ultra FTSE Europe_High_change,ProShares Ultra FTSE Europe_Low_average,ProShares Ultra FTSE Europe_Low_max,ProShares Ultra FTSE Europe_Low_min,ProShares Ultra FTSE Europe_Low_volatility,ProShares Ultra FTSE Europe_Low_change,ProShares Ultra FTSE Europe_Close_average,ProShares Ultra FTSE Europe_Close_max,ProShares Ultra FTSE Europe_Close_min,ProShares Ultra FTSE Europe_Close_volatility,ProShares Ultra FTSE Europe_Close_change
2018-01-14,65.0,65.0,65.0,0.0,0.0,65.63,65.63,65.63,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.63,65.63,65.63,0.0,0.0
2018-01-21,65.81,65.81,65.81,0.0,0.0,66.37,66.37,66.37,0.0,0.0,65.36,65.36,65.36,0.0,0.0,65.95,65.95,65.95,0.0,0.0
2018-01-28,60.27,60.27,60.27,0.0,0.0,60.91,60.91,60.91,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-02-04,56.0,56.0,56.0,0.0,0.0,56.29,56.29,56.29,0.0,0.0,56.0,56.0,56.0,0.0,0.0,56.2,56.2,56.2,0.0,0.0
2018-02-11,59.78,59.78,59.78,0.0,0.0,60.11,60.11,60.11,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.83,59.83,59.83,0.0,0.0
2018-02-18,59.62,59.62,59.62,0.0,0.0,59.77,59.77,59.77,0.0,0.0,59.19,59.19,59.19,0.0,0.0,59.77,59.77,59.77,0.0,0.0
2018-02-25,55.09,55.09,55.09,0.0,0.0,55.7,55.7,55.7,0.0,0.0,54.61,54.61,54.61,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-03-04,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-03-11,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-03-18,55.25,55.25,55.25,0.0,0.0,55.99,55.99,55.99,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.9,55.9,55.9,0.0,0.0
2018-03-25,53.8,53.8,53.8,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.72,53.72,53.72,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2018-04-01,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.0,57.0,57.0,0.0,0.0
2018-04-08,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0,58.25,58.25,58.25,0.0,0.0
