Date,First Trust Mid Cap Core AlphaDEXEtf_Open_average,First Trust Mid Cap Core AlphaDEXEtf_Open_max,First Trust Mid Cap Core AlphaDEXEtf_Open_min,First Trust Mid Cap Core AlphaDEXEtf_Open_volatility,First Trust Mid Cap Core AlphaDEXEtf_Open_change,First Trust Mid Cap Core AlphaDEXEtf_High_average,First Trust Mid Cap Core AlphaDEXEtf_High_max,First Trust Mid Cap Core AlphaDEXEtf_High_min,First Trust Mid Cap Core AlphaDEXEtf_High_volatility,First Trust Mid Cap Core AlphaDEXEtf_High_change,First Trust Mid Cap Core AlphaDEXEtf_Low_average,First Trust Mid Cap Core AlphaDEXEtf_Low_max,First Trust Mid Cap Core AlphaDEXEtf_Low_min,First Trust Mid Cap Core AlphaDEXEtf_Low_volatility,First Trust Mid Cap Core AlphaDEXEtf_Low_change,First Trust Mid Cap Core AlphaDEXEtf_Close_average,First Trust Mid Cap Core AlphaDEXEtf_Close_max,First Trust Mid Cap Core AlphaDEXEtf_Close_min,First Trust Mid Cap Core AlphaDEXEtf_Close_volatility,First Trust Mid Cap Core AlphaDEXEtf_Close_change
2018-01-14,68.11,68.11,68.11,0.0,0.0,68.72,68.72,68.72,0.0,0.0,68.08,68.08,68.08,0.0,0.0,68.72,68.72,68.72,0.0,0.0
2018-01-21,69.15,69.15,69.15,0.0,0.0,69.36,69.36,69.36,0.0,0.0,68.87,68.87,68.87,0.0,0.0,69.33,69.33,69.33,0.0,0.0
2018-01-28,67.54,67.54,67.54,0.0,0.0,67.57,67.57,67.57,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.68,66.68,66.68,0.0,0.0
2018-02-04,63.51,63.51,63.51,0.0,0.0,63.8,63.8,63.8,0.0,0.0,61.57,61.57,61.57,0.0,0.0,63.43,63.43,63.43,0.0,0.0
2018-02-11,66.21,66.21,66.21,0.0,0.0,66.74,66.74,66.74,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.47,66.47,66.47,0.0,0.0
2018-02-18,65.86,65.86,65.86,0.0,0.0,66.4,66.4,66.4,0.0,0.0,65.71,65.71,65.71,0.0,0.0,66.4,66.4,66.4,0.0,0.0
2018-02-25,64.37,64.37,64.37,0.0,0.0,65.68,65.68,65.68,0.0,0.0,64.24,64.24,64.24,0.0,0.0,65.68,65.68,65.68,0.0,0.0
2018-03-04,67.26,67.26,67.26,0.0,0.0,68.03,68.03,68.03,0.0,0.0,67.14,67.14,67.14,0.0,0.0,68.03,68.03,68.03,0.0,0.0
2018-03-11,67.04,67.04,67.04,0.0,0.0,67.68,67.68,67.68,0.0,0.0,67.04,67.04,67.04,0.0,0.0,67.46,67.46,67.46,0.0,0.0
2018-03-18,65.44,65.44,65.44,0.0,0.0,65.57,65.57,65.57,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.17,64.17,64.17,0.0,0.0
2018-03-25,64.85,64.85,64.85,0.0,0.0,65.77,65.77,65.77,0.0,0.0,64.85,64.85,64.85,0.0,0.0,65.4,65.4,65.4,0.0,0.0
2018-04-01,65.14,65.14,65.14,0.0,0.0,65.53,65.53,65.53,0.0,0.0,63.92,63.92,63.92,0.0,0.0,64.34,64.34,64.34,0.0,0.0
2018-04-08,66.11,66.11,66.11,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.02,65.02,65.02,0.0,0.0,65.2,65.2,65.2,0.0,0.0
2018-04-15,66.59,66.59,66.59,0.0,0.0,66.59,66.59,66.59,0.0,0.0,65.85,65.85,65.85,0.0,0.0,65.92,65.92,65.92,0.0,0.0
