Date,Direxion Daily Emerging Markets Bear 3X Shares_Open_average,Direxion Daily Emerging Markets Bear 3X Shares_Open_max,Direxion Daily Emerging Markets Bear 3X Shares_Open_min,Direxion Daily Emerging Markets Bear 3X Shares_Open_volatility,Direxion Daily Emerging Markets Bear 3X Shares_Open_change,Direxion Daily Emerging Markets Bear 3X Shares_High_average,Direxion Daily Emerging Markets Bear 3X Shares_High_max,Direxion Daily Emerging Markets Bear 3X Shares_High_min,Direxion Daily Emerging Markets Bear 3X Shares_High_volatility,Direxion Daily Emerging Markets Bear 3X Shares_High_change,Direxion Daily Emerging Markets Bear 3X Shares_Low_average,Direxion Daily Emerging Markets Bear 3X Shares_Low_max,Direxion Daily Emerging Markets Bear 3X Shares_Low_min,Direxion Daily Emerging Markets Bear 3X Shares_Low_volatility,Direxion Daily Emerging Markets Bear 3X Shares_Low_change,Direxion Daily Emerging Markets Bear 3X Shares_Close_average,Direxion Daily Emerging Markets Bear 3X Shares_Close_max,Direxion Daily Emerging Markets Bear 3X Shares_Close_min,Direxion Daily Emerging Markets Bear 3X Shares_Close_volatility,Direxion Daily Emerging Markets Bear 3X Shares_Close_change
2018-01-14,37.05,37.05,37.05,0.0,0.0,37.38,37.38,37.38,0.0,0.0,36.7,36.7,36.7,0.0,0.0,36.75,36.75,36.75,0.0,0.0
2018-01-21,34.0,34.0,34.0,0.0,0.0,34.28,34.28,34.28,0.0,0.0,33.35,33.35,33.35,0.0,0.0,33.35,33.35,33.35,0.0,0.0
2018-01-28,38.0,38.0,38.0,0.0,0.0,39.72,39.72,39.72,0.0,0.0,37.8,37.8,37.8,0.0,0.0,39.6,39.6,39.6,0.0,0.0
2018-02-04,45.8,45.8,45.8,0.0,0.0,49.8,49.8,49.8,0.0,0.0,44.35,44.35,44.35,0.0,0.0,45.35,45.35,45.35,0.0,0.0
2018-02-11,37.55,37.55,37.55,0.0,0.0,37.55,37.55,37.55,0.0,0.0,36.17,36.17,36.17,0.0,0.0,37.15,37.15,37.15,0.0,0.0
2018-02-18,37.4,37.4,37.4,0.0,0.0,37.75,37.75,37.75,0.0,0.0,36.6,36.6,36.6,0.0,0.0,36.65,36.65,36.65,0.0,0.0
2018-02-25,42.25,42.25,42.25,0.0,0.0,42.75,42.75,42.75,0.0,0.0,39.95,39.95,39.95,0.0,0.0,40.1,40.1,40.1,0.0,0.0
2018-03-04,37.75,37.75,37.75,0.0,0.0,37.9,37.9,37.9,0.0,0.0,36.25,36.25,36.25,0.0,0.0,36.25,36.25,36.25,0.0,0.0
2018-03-11,37.65,37.65,37.65,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.5,37.5,37.5,0.0,0.0
2018-03-18,40.2,40.2,40.2,0.0,0.0,42.9,42.9,42.9,0.0,0.0,39.95,39.95,39.95,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-03-25,40.43,40.43,40.43,0.0,0.0,40.68,40.68,40.68,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.85,38.85,38.85,0.0,0.0
2018-04-01,40.58,40.58,40.58,0.0,0.0,42.39,42.39,42.39,0.0,0.0,39.81,39.81,39.81,0.0,0.0,41.69,41.69,41.69,0.0,0.0
2018-04-08,39.26,39.26,39.26,0.0,0.0,40.68,40.68,40.68,0.0,0.0,39.26,39.26,39.26,0.0,0.0,40.35,40.35,40.35,0.0,0.0
2018-04-15,40.36,40.36,40.36,0.0,0.0,41.6,41.6,41.6,0.0,0.0,40.28,40.28,40.28,0.0,0.0,41.09,41.09,41.09,0.0,0.0
2018-04-22,41.13,41.13,41.13,0.0,0.0,41.84,41.84,41.84,0.0,0.0,40.91,40.91,40.91,0.0,0.0,41.07,41.07,41.07,0.0,0.0
2018-04-29,45.29,45.29,45.29,0.0,0.0,45.36,45.36,45.36,0.0,0.0,42.87,42.87,42.87,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-05-06,39.98,39.98,39.98,0.0,0.0,40.93,40.93,40.93,0.0,0.0,39.83,39.83,39.83,0.0,0.0,40.68,40.68,40.68,0.0,0.0
2018-05-13,44.11,44.11,44.11,0.0,0.0,44.4,44.4,44.4,0.0,0.0,43.76,43.76,43.76,0.0,0.0,44.02,44.02,44.02,0.0,0.0
2018-05-20,43.57,43.57,43.57,0.0,0.0,43.75,43.75,43.75,0.0,0.0,42.88,42.88,42.88,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-05-27,43.93,43.93,43.93,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.25,43.25,43.25,0.0,0.0
2018-06-03,43.56,43.56,43.56,0.0,0.0,44.0,44.0,44.0,0.0,0.0,42.55,42.55,42.55,0.0,0.0,43.03,43.03,43.03,0.0,0.0
2018-06-10,46.61,46.61,46.61,0.0,0.0,47.2,47.2,47.2,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-06-17,48.73,48.73,48.73,0.0,0.0,49.94,49.94,49.94,0.0,0.0,48.73,48.73,48.73,0.0,0.0,49.44,49.44,49.44,0.0,0.0
2018-06-24,51.59,51.59,51.59,0.0,0.0,51.75,51.75,51.75,0.0,0.0,50.85,50.85,50.85,0.0,0.0,51.18,51.18,51.18,0.0,0.0
