Date,iShares North American Natural Resources_Open_average,iShares North American Natural Resources_Open_max,iShares North American Natural Resources_Open_min,iShares North American Natural Resources_Open_volatility,iShares North American Natural Resources_Open_change,iShares North American Natural Resources_High_average,iShares North American Natural Resources_High_max,iShares North American Natural Resources_High_min,iShares North American Natural Resources_High_volatility,iShares North American Natural Resources_High_change,iShares North American Natural Resources_Low_average,iShares North American Natural Resources_Low_max,iShares North American Natural Resources_Low_min,iShares North American Natural Resources_Low_volatility,iShares North American Natural Resources_Low_change,iShares North American Natural Resources_Close_average,iShares North American Natural Resources_Close_max,iShares North American Natural Resources_Close_min,iShares North American Natural Resources_Close_volatility,iShares North American Natural Resources_Close_change
2018-01-14,37.13,37.13,37.13,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.72,37.72,37.72,0.0,0.0
2018-01-21,37.37,37.37,37.37,0.0,0.0,37.52,37.52,37.52,0.0,0.0,36.93,36.93,36.93,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-01-28,34.88,34.88,34.88,0.0,0.0,35.1,35.1,35.1,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-02-04,32.63,32.63,32.63,0.0,0.0,33.31,33.31,33.31,0.0,0.0,32.63,32.63,32.63,0.0,0.0,33.07,33.07,33.07,0.0,0.0
2018-02-11,33.72,33.72,33.72,0.0,0.0,33.92,33.92,33.92,0.0,0.0,33.39,33.39,33.39,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-02-18,33.86,33.86,33.86,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.73,33.73,33.73,0.0,0.0,33.93,33.93,33.93,0.0,0.0
2018-02-25,32.46,32.46,32.46,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.46,32.46,32.46,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-03-04,33.35,33.35,33.35,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.3,33.3,33.3,0.0,0.0,33.44,33.44,33.44,0.0,0.0
2018-03-11,32.95,32.95,32.95,0.0,0.0,33.01,33.01,33.01,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.58,32.58,32.58,0.0,0.0
2018-03-18,33.02,33.02,33.02,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.7,32.7,32.7,0.0,0.0,33.24,33.24,33.24,0.0,0.0
2018-03-25,32.82,32.82,32.82,0.0,0.0,32.96,32.96,32.96,0.0,0.0,31.94,31.94,31.94,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-04-01,33.11,33.11,33.11,0.0,0.0,33.53,33.53,33.53,0.0,0.0,33.05,33.05,33.05,0.0,0.0,33.13,33.13,33.13,0.0,0.0
2018-04-08,34.95,34.95,34.95,0.0,0.0,35.34,35.34,35.34,0.0,0.0,34.87,34.87,34.87,0.0,0.0,35.22,35.22,35.22,0.0,0.0
2018-04-15,35.69,35.69,35.69,0.0,0.0,35.85,35.85,35.85,0.0,0.0,35.44,35.44,35.44,0.0,0.0,35.84,35.84,35.84,0.0,0.0
2018-04-22,35.74,35.74,35.74,0.0,0.0,35.98,35.98,35.98,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.64,35.64,35.64,0.0,0.0
2018-04-29,36.19,36.19,36.19,0.0,0.0,36.58,36.58,36.58,0.0,0.0,35.9,35.9,35.9,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-05-06,37.23,37.23,37.23,0.0,0.0,37.42,37.42,37.42,0.0,0.0,37.22,37.22,37.22,0.0,0.0,37.3,37.3,37.3,0.0,0.0
2018-05-13,37.96,37.96,37.96,0.0,0.0,38.07,38.07,38.07,0.0,0.0,37.73,37.73,37.73,0.0,0.0,38.04,38.04,38.04,0.0,0.0
2018-05-20,36.55,36.55,36.55,0.0,0.0,36.67,36.67,36.67,0.0,0.0,35.93,35.93,35.93,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-05-27,37.05,37.05,37.05,0.0,0.0,37.26,37.26,37.26,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.59,36.59,36.59,0.0,0.0
2018-06-03,37.22,37.22,37.22,0.0,0.0,37.42,37.42,37.42,0.0,0.0,36.96,36.96,36.96,0.0,0.0,37.27,37.27,37.27,0.0,0.0
2018-06-10,35.9,35.9,35.9,0.0,0.0,36.61,36.61,36.61,0.0,0.0,35.9,35.9,35.9,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-06-17,36.45,36.45,36.45,0.0,0.0,36.45,36.45,36.45,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-06-24,36.65,36.65,36.65,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.16,36.16,36.16,0.0,0.0,36.31,36.31,36.31,0.0,0.0
2018-07-01,37.09,37.09,37.09,0.0,0.0,37.45,37.45,37.45,0.0,0.0,37.09,37.09,37.09,0.0,0.0,37.42,37.42,37.42,0.0,0.0
2018-07-08,36.75,36.75,36.75,0.0,0.0,36.91,36.91,36.91,0.0,0.0,36.38,36.38,36.38,0.0,0.0,36.63,36.63,36.63,0.0,0.0
2018-07-15,36.43,36.43,36.43,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.19,36.19,36.19,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-07-22,37.13,37.13,37.13,0.0,0.0,37.4,37.4,37.4,0.0,0.0,37.13,37.13,37.13,0.0,0.0,37.22,37.22,37.22,0.0,0.0
2018-07-29,36.74,36.74,36.74,0.0,0.0,36.89,36.89,36.89,0.0,0.0,36.5,36.5,36.5,0.0,0.0,36.76,36.76,36.76,0.0,0.0
2018-08-05,36.18,36.18,36.18,0.0,0.0,36.38,36.38,36.38,0.0,0.0,35.83,35.83,35.83,0.0,0.0,35.84,35.84,35.84,0.0,0.0
2018-08-12,35.17,35.17,35.17,0.0,0.0,35.38,35.38,35.38,0.0,0.0,35.09,35.09,35.09,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-08-19,36.12,36.12,36.12,0.0,0.0,36.34,36.34,36.34,0.0,0.0,36.09,36.09,36.09,0.0,0.0,36.26,36.26,36.26,0.0,0.0
2018-08-26,35.86,35.86,35.86,0.0,0.0,35.89,35.89,35.89,0.0,0.0,35.64,35.64,35.64,0.0,0.0,35.78,35.78,35.78,0.0,0.0
2018-09-02,34.85,34.85,34.85,0.0,0.0,34.93,34.93,34.93,0.0,0.0,34.59,34.59,34.59,0.0,0.0,34.6,34.6,34.6,0.0,0.0
2018-09-09,35.38,35.38,35.38,0.0,0.0,35.63,35.63,35.63,0.0,0.0,35.31,35.31,35.31,0.0,0.0,35.36,35.36,35.36,0.0,0.0
2018-09-16,36.36,36.36,36.36,0.0,0.0,36.55,36.55,36.55,0.0,0.0,36.21,36.21,36.21,0.0,0.0,36.36,36.36,36.36,0.0,0.0
2018-09-23,35.91,35.91,35.91,0.0,0.0,36.5,36.5,36.5,0.0,0.0,35.91,35.91,35.91,0.0,0.0,36.4,36.4,36.4,0.0,0.0
2018-09-30,36.02,36.02,36.02,0.0,0.0,36.3,36.3,36.3,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.28,36.28,36.28,0.0,0.0
2018-10-07,34.57,34.57,34.57,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.3,34.3,34.3,0.0,0.0,34.31,34.31,34.31,0.0,0.0
2018-10-14,33.69,33.69,33.69,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.2,33.2,33.2,0.0,0.0,33.36,33.36,33.36,0.0,0.0
2018-10-21,31.51,31.51,31.51,0.0,0.0,31.75,31.75,31.75,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-10-28,32.06,32.06,32.06,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.04,32.04,32.04,0.0,0.0,32.34,32.34,32.34,0.0,0.0
2018-11-04,32.19,32.19,32.19,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.4,31.4,31.4,0.0,0.0
2018-11-11,31.47,31.47,31.47,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.52,31.52,31.52,0.0,0.0
2018-11-18,30.46,30.46,30.46,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-11-25,31.73,31.73,31.73,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.64,31.64,31.64,0.0,0.0
2018-12-02,30.0,30.0,30.0,0.0,0.0,30.01,30.01,30.01,0.0,0.0,29.1,29.1,29.1,0.0,0.0,29.62,29.62,29.62,0.0,0.0
2018-12-09,28.87,28.87,28.87,0.0,0.0,29.02,29.02,29.02,0.0,0.0,28.18,28.18,28.18,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-12-16,26.36,26.36,26.36,0.0,0.0,26.39,26.39,26.39,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.63,25.63,25.63,0.0,0.0
2018-12-23,27.14,27.14,27.14,0.0,0.0,27.25,27.25,27.25,0.0,0.0,26.83,26.83,26.83,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-12-30,28.7,28.7,28.7,0.0,0.0,29.05,29.05,29.05,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.84,28.84,28.84,0.0,0.0
2019-01-06,29.42,29.42,29.42,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.6,29.6,29.6,0.0,0.0
2019-01-13,30.29,30.29,30.29,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.12,30.12,30.12,0.0,0.0,30.46,30.46,30.46,0.0,0.0
2019-01-20,29.73,29.73,29.73,0.0,0.0,29.94,29.94,29.94,0.0,0.0,29.65,29.65,29.65,0.0,0.0,29.93,29.93,29.93,0.0,0.0
2019-01-27,30.47,30.47,30.47,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.47,30.47,30.47,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2019-02-03,29.84,29.84,29.84,0.0,0.0,30.19,30.19,30.19,0.0,0.0,29.83,29.83,29.83,0.0,0.0,30.15,30.15,30.15,0.0,0.0
2019-02-10,31.17,31.17,31.17,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-02-17,31.37,31.37,31.37,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.37,31.37,31.37,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2019-02-24,31.47,31.47,31.47,0.0,0.0,31.5,31.5,31.5,0.0,0.0,30.94,30.94,30.94,0.0,0.0,31.38,31.38,31.38,0.0,0.0
2019-03-03,30.44,30.44,30.44,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.72,30.72,30.72,0.0,0.0
2019-03-10,31.29,31.29,31.29,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.61,31.61,31.61,0.0,0.0
2019-03-17,30.94,30.94,30.94,0.0,0.0,31.16,31.16,31.16,0.0,0.0,30.82,30.82,30.82,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2019-03-24,31.61,31.61,31.61,0.0,0.0,31.81,31.81,31.81,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.79,31.79,31.79,0.0,0.0
2019-03-31,32.17,32.17,32.17,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.24,32.24,32.24,0.0,0.0
2019-04-07,32.19,32.19,32.19,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.03,32.03,32.03,0.0,0.0,32.09,32.09,32.09,0.0,0.0
2019-04-14,32.18,32.18,32.18,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.13,32.13,32.13,0.0,0.0,32.47,32.47,32.47,0.0,0.0
2019-04-21,31.62,31.62,31.62,0.0,0.0,31.7,31.7,31.7,0.0,0.0,31.51,31.51,31.51,0.0,0.0,31.56,31.56,31.56,0.0,0.0
2019-04-28,30.4,30.4,30.4,0.0,0.0,30.78,30.78,30.78,0.0,0.0,30.33,30.33,30.33,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2019-05-05,30.24,30.24,30.24,0.0,0.0,30.36,30.36,30.36,0.0,0.0,29.89,29.89,29.89,0.0,0.0,30.05,30.05,30.05,0.0,0.0
2019-05-12,30.34,30.34,30.34,0.0,0.0,30.47,30.47,30.47,0.0,0.0,30.29,30.29,30.29,0.0,0.0,30.35,30.35,30.35,0.0,0.0
2019-05-19,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.19,29.19,29.19,0.0,0.0,29.38,29.38,29.38,0.0,0.0
