Date,Vanguard FTSE Europe_Open_average,Vanguard FTSE Europe_Open_max,Vanguard FTSE Europe_Open_min,Vanguard FTSE Europe_Open_volatility,Vanguard FTSE Europe_Open_change,Vanguard FTSE Europe_High_average,Vanguard FTSE Europe_High_max,Vanguard FTSE Europe_High_min,Vanguard FTSE Europe_High_volatility,Vanguard FTSE Europe_High_change,Vanguard FTSE Europe_Low_average,Vanguard FTSE Europe_Low_max,Vanguard FTSE Europe_Low_min,Vanguard FTSE Europe_Low_volatility,Vanguard FTSE Europe_Low_change,Vanguard FTSE Europe_Close_average,Vanguard FTSE Europe_Close_max,Vanguard FTSE Europe_Close_min,Vanguard FTSE Europe_Close_volatility,Vanguard FTSE Europe_Close_change
2018-01-14,62.57,62.57,62.57,0.0,0.0,62.89,62.89,62.89,0.0,0.0,62.53,62.53,62.53,0.0,0.0,62.84,62.84,62.84,0.0,0.0
2018-01-21,62.98,62.98,62.98,0.0,0.0,63.01,63.01,63.01,0.0,0.0,62.69,62.69,62.69,0.0,0.0,62.86,62.86,62.86,0.0,0.0
2018-01-28,60.34,60.34,60.34,0.0,0.0,60.61,60.61,60.61,0.0,0.0,58.31,58.31,58.31,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2018-02-04,58.17,58.17,58.17,0.0,0.0,58.67,58.67,58.67,0.0,0.0,58.03,58.03,58.03,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2018-02-11,60.04,60.04,60.04,0.0,0.0,60.47,60.47,60.47,0.0,0.0,60.0,60.0,60.0,0.0,0.0,60.14,60.14,60.14,0.0,0.0
2018-02-18,60.04,60.04,60.04,0.0,0.0,60.29,60.29,60.29,0.0,0.0,59.78,59.78,59.78,0.0,0.0,60.29,60.29,60.29,0.0,0.0
2018-02-25,57.74,57.74,57.74,0.0,0.0,58.49,58.49,58.49,0.0,0.0,57.72,57.72,57.72,0.0,0.0,58.46,58.46,58.46,0.0,0.0
2018-03-04,59.49,59.49,59.49,0.0,0.0,59.59,59.59,59.59,0.0,0.0,59.4,59.4,59.4,0.0,0.0,59.55,59.55,59.55,0.0,0.0
2018-03-11,59.1,59.1,59.1,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.62,58.62,58.62,0.0,0.0,58.87,58.87,58.87,0.0,0.0
2018-03-18,57.92,57.92,57.92,0.0,0.0,58.08,58.08,58.08,0.0,0.0,57.29,57.29,57.29,0.0,0.0,58.07,58.07,58.07,0.0,0.0
2018-03-25,58.19,58.19,58.19,0.0,0.0,58.24,58.24,58.24,0.0,0.0,57.02,57.02,57.02,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-04-01,58.78,58.78,58.78,0.0,0.0,59.07,59.07,59.07,0.0,0.0,58.59,58.59,58.59,0.0,0.0,58.7,58.7,58.7,0.0,0.0
