Date,iShares Core MSCI Pacific_Open_average,iShares Core MSCI Pacific_Open_max,iShares Core MSCI Pacific_Open_min,iShares Core MSCI Pacific_Open_volatility,iShares Core MSCI Pacific_Open_change,iShares Core MSCI Pacific_High_average,iShares Core MSCI Pacific_High_max,iShares Core MSCI Pacific_High_min,iShares Core MSCI Pacific_High_volatility,iShares Core MSCI Pacific_High_change,iShares Core MSCI Pacific_Low_average,iShares Core MSCI Pacific_Low_max,iShares Core MSCI Pacific_Low_min,iShares Core MSCI Pacific_Low_volatility,iShares Core MSCI Pacific_Low_change,iShares Core MSCI Pacific_Close_average,iShares Core MSCI Pacific_Close_max,iShares Core MSCI Pacific_Close_min,iShares Core MSCI Pacific_Close_volatility,iShares Core MSCI Pacific_Close_change
2018-01-14,62.9,62.9,62.9,0.0,0.0,63.16,63.16,63.16,0.0,0.0,62.84,62.84,62.84,0.0,0.0,63.16,63.16,63.16,0.0,0.0
2018-01-21,63.45,63.45,63.45,0.0,0.0,63.52,63.52,63.52,0.0,0.0,63.3,63.3,63.3,0.0,0.0,63.38,63.38,63.38,0.0,0.0
2018-01-28,60.77,60.77,60.77,0.0,0.0,61.11,61.11,61.11,0.0,0.0,59.04,59.04,59.04,0.0,0.0,59.26,59.26,59.26,0.0,0.0
2018-02-04,58.89,58.89,58.89,0.0,0.0,59.54,59.54,59.54,0.0,0.0,58.72,58.72,58.72,0.0,0.0,59.45,59.45,59.45,0.0,0.0
2018-02-11,60.6,60.6,60.6,0.0,0.0,61.08,61.08,61.08,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.92,60.92,60.92,0.0,0.0
2018-02-18,61.49,61.49,61.49,0.0,0.0,62.01,62.01,62.01,0.0,0.0,61.49,61.49,61.49,0.0,0.0,62.01,62.01,62.01,0.0,0.0
2018-02-25,59.2,59.2,59.2,0.0,0.0,60.04,60.04,60.04,0.0,0.0,59.18,59.18,59.18,0.0,0.0,59.95,59.95,59.95,0.0,0.0
2018-03-04,60.78,60.78,60.78,0.0,0.0,60.78,60.78,60.78,0.0,0.0,60.55,60.55,60.55,0.0,0.0,60.61,60.61,60.61,0.0,0.0
2018-03-11,59.97,59.97,59.97,0.0,0.0,59.98,59.98,59.98,0.0,0.0,59.26,59.26,59.26,0.0,0.0,59.61,59.61,59.61,0.0,0.0
2018-03-18,58.71,58.71,58.71,0.0,0.0,58.97,58.97,58.97,0.0,0.0,58.2,58.2,58.2,0.0,0.0,58.88,58.88,58.88,0.0,0.0
