Date,NCMIStock_Open_average,NCMIStock_Open_max,NCMIStock_Open_min,NCMIStock_Open_volatility,NCMIStock_Open_change,NCMIStock_High_average,NCMIStock_High_max,NCMIStock_High_min,NCMIStock_High_volatility,NCMIStock_High_change,NCMIStock_Low_average,NCMIStock_Low_max,NCMIStock_Low_min,NCMIStock_Low_volatility,NCMIStock_Low_change,NCMIStock_Close_average,NCMIStock_Close_max,NCMIStock_Close_min,NCMIStock_Close_volatility,NCMIStock_Close_change,NCMIStock_Volume_average,NCMIStock_Volume_max,NCMIStock_Volume_min,NCMIStock_Volume_volatility,NCMIStock_Volume_change
2018-01-14,6.4425,6.56,6.36,0.1999999999999993,-0.08999999999999986,6.5325,6.6,6.44,0.15999999999999925,-0.009999999999999787,6.335,6.41,6.28,0.1299999999999999,0.08000000000000007,6.4325,6.56,6.34,0.21999999999999975,0.21999999999999975,360296,413516,331311,82205,-62313
2018-01-21,6.642,6.71,6.57,0.13999999999999968,0.04999999999999982,6.6899999999999995,6.72,6.67,0.04999999999999982,0.0,6.496,6.57,6.4,0.16999999999999993,-0.009999999999999787,6.622,6.67,6.59,0.08000000000000007,-0.08000000000000007,433145,720917,312728,408189,58006
2018-01-28,6.686,6.85,6.61,0.23999999999999932,0.23999999999999932,6.868,7.05,6.74,0.3099999999999996,0.2699999999999996,6.634,6.78,6.56,0.22000000000000064,0.22000000000000064,6.7459999999999996,6.89,6.62,0.2699999999999996,0.21999999999999975,476560,792257,320230,472027,258796
2018-02-04,6.716,6.89,6.5,0.3899999999999997,-0.08000000000000007,6.866,6.95,6.67,0.28000000000000025,-0.04999999999999982,6.574,6.75,6.43,0.3200000000000003,-0.0600000000000005,6.696,6.76,6.58,0.17999999999999972,0.16999999999999993,514443,588186,432641,155545,-66249
2018-02-11,6.928,7.1,6.79,0.3099999999999996,0.20000000000000018,7.088,7.17,6.98,0.1899999999999995,0.16999999999999993,6.86,6.98,6.71,0.27000000000000046,0.27000000000000046,7.002,7.09,6.91,0.17999999999999972,0.13999999999999968,465734,725189,381595,343594,-21458
2018-02-18,7.2075,7.42,7.04,0.3799999999999999,0.3799999999999999,7.3575,7.45,7.14,0.3100000000000005,0.3100000000000005,7.16,7.3,6.98,0.3199999999999994,0.3199999999999994,7.2725,7.39,7.11,0.27999999999999936,0.27999999999999936,499691,640564,337026,303538,-146740
2018-02-25,7.532,7.7,7.41,0.29000000000000004,0.04999999999999982,7.81,7.9,7.72,0.1800000000000006,-0.16999999999999993,7.432,7.48,7.37,0.11000000000000032,0.04999999999999982,7.5520000000000005,7.71,7.49,0.21999999999999975,-0.17999999999999972,1219127,1847368,680353,1167015,-382916
2018-03-04,7.474,7.69,7.13,0.5600000000000005,-0.3799999999999999,7.602,7.85,7.21,0.6399999999999997,-0.6399999999999997,7.258,7.53,6.84,0.6900000000000004,-0.6200000000000001,7.3740000000000006,7.7,6.93,0.7700000000000005,-0.7700000000000005,991384,1447560,611474,836086,521416
2018-03-11,6.212,6.92,5.65,1.2699999999999996,-1.2699999999999996,6.296,6.92,5.82,1.0999999999999996,-1.0999999999999996,5.96,6.6,5.58,1.0199999999999996,-1.0,6.084,6.81,5.64,1.17,-1.0899999999999999,1699793,3207442,913806,2293636,-25757
2018-03-18,5.714,6.08,5.49,0.5899999999999999,-0.5899999999999999,5.746,6.08,5.49,0.5899999999999999,-0.5899999999999999,5.508,5.74,5.22,0.5200000000000005,-0.5200000000000005,5.554,5.8,5.25,0.5499999999999998,-0.5499999999999998,1344425,1706604,789229,917375,-678042
