Date,DPW_Open_average,DPW_Open_max,DPW_Open_min,DPW_Open_volatility,DPW_Open_change,DPW_High_average,DPW_High_max,DPW_High_min,DPW_High_volatility,DPW_High_change,DPW_Low_average,DPW_Low_max,DPW_Low_min,DPW_Low_volatility,DPW_Low_change,DPW_Close_average,DPW_Close_max,DPW_Close_min,DPW_Close_volatility,DPW_Close_change,DPW_Volume_average,DPW_Volume_max,DPW_Volume_min,DPW_Volume_volatility,DPW_Volume_change
2018-01-14,1793.6,1920.0,1728.0,192.0,-40.0,1910.4,2040.0,1800.0,240.0,-200.0,1731.2,1800.0,1672.0,128.0,-48.0,1824.0,1880.0,1736.0,144.0,-104.0,427,558,289,269,-244
2018-01-21,1816.0,1912.0,1736.0,176.0,112.0,1883.2,1944.0,1816.0,128.0,32.0,1736.0,1760.0,1720.0,40.0,40.0,1788.8,1856.0,1760.0,96.0,-8.0,319,478,185,293,-79
2018-01-28,1561.6,1768.0,1136.0,632.0,-584.0,1596.8,1848.0,1184.0,664.0,-560.0,1409.6,1720.0,944.0,776.0,-656.0,1462.4,1808.0,960.0,848.0,-736.0,429,651,257,394,353
2018-02-04,1289.6,1440.0,912.0,528.0,432.0,1441.6,1632.0,1320.0,312.0,24.0,1158.4,1288.0,856.0,432.0,368.0,1292.0,1328.0,1256.0,72.0,-20.0,759,1652,255,1397,-933
2018-02-11,1378.0,1504.0,1240.0,264.0,264.0,1442.0,1552.0,1256.0,296.0,264.0,1306.0,1400.0,1176.0,224.0,224.0,1372.0,1496.0,1216.0,280.0,192.0,425,661,164,497,137
2018-02-18,1432.0,1624.0,1344.0,280.0,-248.0,1480.0,1664.0,1392.0,272.0,-272.0,1366.4,1528.0,1304.0,224.0,-176.0,1419.152,1607.76,1328.0,279.76,-255.76,349,744,173,571,-550
2018-02-25,1244.8,1440.0,1120.0,320.0,-320.0,1260.8,1472.0,1168.0,304.0,-304.0,1158.4,1280.0,1080.0,200.0,-200.0,1182.4,1288.0,1128.0,160.0,-152.0,245,506,126,380,-302
2018-03-04,1075.2,1120.0,1040.0,80.0,-64.0,1108.8,1144.0,1072.0,72.0,-32.0,1028.8,1080.0,1000.0,80.0,-64.0,1054.4,1104.0,1016.0,88.0,0.0,237,349,132,217,205
2018-03-11,1025.6,1112.0,944.0,168.0,-168.0,1033.6,1120.0,944.0,176.0,-176.0,968.0,1024.0,872.0,152.0,-152.0,1001.6,1056.0,888.0,168.0,-160.0,273,391,195,196,-196
2018-03-18,838.4,880.0,800.0,80.0,-72.0,854.4,888.0,800.0,88.0,-88.0,772.128,800.0,739.2,60.799999999999955,30.079999999999927,823.984,872.0,784.0,88.0,-40.08000000000004,315,464,145,319,-278
2018-03-25,684.0,784.0,616.0,168.0,-168.0,694.0,784.0,648.0,136.0,-136.0,634.08,680.0,600.32,79.67999999999995,-79.67999999999995,656.142,712.0,608.568,103.43200000000002,-103.43200000000002,194,247,87,160,-138
2018-04-01,646.24,672.4,622.4,50.0,16.159999999999968,673.04,696.0,642.96,53.039999999999964,-45.039999999999964,613.824,632.88,592.24,40.639999999999986,19.75999999999999,651.792,672.0,628.0,44.0,-44.0,205,272,118,154,-90
