Date,WisdomTree Intenational LargeCap Dividend_Open_average,WisdomTree Intenational LargeCap Dividend_Open_max,WisdomTree Intenational LargeCap Dividend_Open_min,WisdomTree Intenational LargeCap Dividend_Open_volatility,WisdomTree Intenational LargeCap Dividend_Open_change,WisdomTree Intenational LargeCap Dividend_High_average,WisdomTree Intenational LargeCap Dividend_High_max,WisdomTree Intenational LargeCap Dividend_High_min,WisdomTree Intenational LargeCap Dividend_High_volatility,WisdomTree Intenational LargeCap Dividend_High_change,WisdomTree Intenational LargeCap Dividend_Low_average,WisdomTree Intenational LargeCap Dividend_Low_max,WisdomTree Intenational LargeCap Dividend_Low_min,WisdomTree Intenational LargeCap Dividend_Low_volatility,WisdomTree Intenational LargeCap Dividend_Low_change,WisdomTree Intenational LargeCap Dividend_Close_average,WisdomTree Intenational LargeCap Dividend_Close_max,WisdomTree Intenational LargeCap Dividend_Close_min,WisdomTree Intenational LargeCap Dividend_Close_volatility,WisdomTree Intenational LargeCap Dividend_Close_change
2018-01-14,53.3,53.3,53.3,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-01-21,53.66,53.66,53.66,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.61,53.61,53.61,0.0,0.0
2018-01-28,51.55,51.55,51.55,0.0,0.0,51.7,51.7,51.7,0.0,0.0,49.91,49.91,49.91,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-02-04,49.7,49.7,49.7,0.0,0.0,50.12,50.12,50.12,0.0,0.0,49.59,49.59,49.59,0.0,0.0,50.02,50.02,50.02,0.0,0.0
2018-02-11,51.02,51.02,51.02,0.0,0.0,51.3,51.3,51.3,0.0,0.0,50.99,50.99,50.99,0.0,0.0,51.13,51.13,51.13,0.0,0.0
2018-02-18,51.17,51.17,51.17,0.0,0.0,51.5,51.5,51.5,0.0,0.0,51.06,51.06,51.06,0.0,0.0,51.45,51.45,51.45,0.0,0.0
2018-02-25,49.42,49.42,49.42,0.0,0.0,50.07,50.07,50.07,0.0,0.0,49.41,49.41,49.41,0.0,0.0,50.01,50.01,50.01,0.0,0.0
2018-03-04,50.64,50.64,50.64,0.0,0.0,50.77,50.77,50.77,0.0,0.0,50.64,50.64,50.64,0.0,0.0,50.75,50.75,50.75,0.0,0.0
2018-03-11,50.17,50.17,50.17,0.0,0.0,50.24,50.24,50.24,0.0,0.0,49.82,49.82,49.82,0.0,0.0,49.98,49.98,49.98,0.0,0.0
2018-03-18,49.32,49.32,49.32,0.0,0.0,49.48,49.48,49.48,0.0,0.0,48.9,48.9,48.9,0.0,0.0,49.48,49.48,49.48,0.0,0.0
