Date,First Trust Emerging Markets Equity Select_Open_average,First Trust Emerging Markets Equity Select_Open_max,First Trust Emerging Markets Equity Select_Open_min,First Trust Emerging Markets Equity Select_Open_volatility,First Trust Emerging Markets Equity Select_Open_change,First Trust Emerging Markets Equity Select_High_average,First Trust Emerging Markets Equity Select_High_max,First Trust Emerging Markets Equity Select_High_min,First Trust Emerging Markets Equity Select_High_volatility,First Trust Emerging Markets Equity Select_High_change,First Trust Emerging Markets Equity Select_Low_average,First Trust Emerging Markets Equity Select_Low_max,First Trust Emerging Markets Equity Select_Low_min,First Trust Emerging Markets Equity Select_Low_volatility,First Trust Emerging Markets Equity Select_Low_change,First Trust Emerging Markets Equity Select_Close_average,First Trust Emerging Markets Equity Select_Close_max,First Trust Emerging Markets Equity Select_Close_min,First Trust Emerging Markets Equity Select_Close_volatility,First Trust Emerging Markets Equity Select_Close_change
2018-01-14,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0,58.06,58.06,58.06,0.0,0.0
2018-01-21,59.12,59.12,59.12,0.0,0.0,59.12,59.12,59.12,0.0,0.0,58.92,58.92,58.92,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-01-28,56.98,56.98,56.98,0.0,0.0,57.0,57.0,57.0,0.0,0.0,56.77,56.77,56.77,0.0,0.0,56.77,56.77,56.77,0.0,0.0
2018-02-04,54.96,54.96,54.96,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.91,54.91,54.91,0.0,0.0
2018-02-11,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0,56.56,56.56,56.56,0.0,0.0
2018-02-18,56.89,56.89,56.89,0.0,0.0,56.93,56.93,56.93,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.93,56.93,56.93,0.0,0.0
2018-02-25,55.08,55.08,55.08,0.0,0.0,55.67,55.67,55.67,0.0,0.0,55.08,55.08,55.08,0.0,0.0,55.67,55.67,55.67,0.0,0.0
2018-03-04,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-03-11,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0,55.77,55.77,55.77,0.0,0.0
2018-03-18,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.15,55.15,55.15,0.0,0.0
2018-03-25,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0,54.56,54.56,54.56,0.0,0.0
2018-04-01,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0,54.71,54.71,54.71,0.0,0.0
2018-04-08,55.12,55.12,55.12,0.0,0.0,55.12,55.12,55.12,0.0,0.0,55.11,55.11,55.11,0.0,0.0,55.11,55.11,55.11,0.0,0.0
2018-04-15,54.38,54.38,54.38,0.0,0.0,54.38,54.38,54.38,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-04-22,54.97,54.97,54.97,0.0,0.0,54.97,54.97,54.97,0.0,0.0,54.97,54.97,54.97,0.0,0.0,54.97,54.97,54.97,0.0,0.0
2018-04-29,53.01,53.01,53.01,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.01,53.01,53.01,0.0,0.0,53.01,53.01,53.01,0.0,0.0
2018-05-06,53.84,53.84,53.84,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.84,53.84,53.84,0.0,0.0
2018-05-13,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-05-20,52.62,52.62,52.62,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-05-27,53.08,53.08,53.08,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.08,53.08,53.08,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2018-06-03,52.67,52.67,52.67,0.0,0.0,52.67,52.67,52.67,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.31,52.31,52.31,0.0,0.0
2018-06-10,51.15,51.15,51.15,0.0,0.0,51.47,51.47,51.47,0.0,0.0,50.9,50.9,50.9,0.0,0.0,51.47,51.47,51.47,0.0,0.0
2018-06-17,50.36,50.36,50.36,0.0,0.0,50.56,50.56,50.56,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.56,50.56,50.56,0.0,0.0
2018-06-24,48.99,48.99,48.99,0.0,0.0,49.26,49.26,49.26,0.0,0.0,48.99,48.99,48.99,0.0,0.0,49.03,49.03,49.03,0.0,0.0
2018-07-01,50.19,50.19,50.19,0.0,0.0,50.83,50.83,50.83,0.0,0.0,50.19,50.19,50.19,0.0,0.0,50.83,50.83,50.83,0.0,0.0
2018-07-08,50.48,50.48,50.48,0.0,0.0,50.5,50.5,50.5,0.0,0.0,50.29,50.29,50.29,0.0,0.0,50.29,50.29,50.29,0.0,0.0
