Date,PowerShares Dynamic Software_Open_average,PowerShares Dynamic Software_Open_max,PowerShares Dynamic Software_Open_min,PowerShares Dynamic Software_Open_volatility,PowerShares Dynamic Software_Open_change,PowerShares Dynamic Software_High_average,PowerShares Dynamic Software_High_max,PowerShares Dynamic Software_High_min,PowerShares Dynamic Software_High_volatility,PowerShares Dynamic Software_High_change,PowerShares Dynamic Software_Low_average,PowerShares Dynamic Software_Low_max,PowerShares Dynamic Software_Low_min,PowerShares Dynamic Software_Low_volatility,PowerShares Dynamic Software_Low_change,PowerShares Dynamic Software_Close_average,PowerShares Dynamic Software_Close_max,PowerShares Dynamic Software_Close_min,PowerShares Dynamic Software_Close_volatility,PowerShares Dynamic Software_Close_change
2018-01-14,67.9,67.9,67.9,0.0,0.0,68.3,68.3,68.3,0.0,0.0,67.56,67.56,67.56,0.0,0.0,68.3,68.3,68.3,0.0,0.0
2018-01-21,68.92,68.92,68.92,0.0,0.0,69.33,69.33,69.33,0.0,0.0,68.68,68.68,68.68,0.0,0.0,68.71,68.71,68.71,0.0,0.0
2018-01-28,66.41,66.41,66.41,0.0,0.0,67.44,67.44,67.44,0.0,0.0,65.07,65.07,65.07,0.0,0.0,65.07,65.07,65.07,0.0,0.0
2018-02-04,64.31,64.31,64.31,0.0,0.0,65.16,65.16,65.16,0.0,0.0,63.99,63.99,63.99,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2018-02-11,68.2,68.2,68.2,0.0,0.0,68.83,68.83,68.83,0.0,0.0,68.2,68.2,68.2,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2018-02-18,70.64,70.64,70.64,0.0,0.0,70.94,70.94,70.94,0.0,0.0,70.38,70.38,70.38,0.0,0.0,70.75,70.75,70.75,0.0,0.0
2018-02-25,70.21,70.21,70.21,0.0,0.0,71.61,71.61,71.61,0.0,0.0,70.21,70.21,70.21,0.0,0.0,71.45,71.45,71.45,0.0,0.0
2018-03-04,73.05,73.05,73.05,0.0,0.0,73.18,73.18,73.18,0.0,0.0,72.73,72.73,72.73,0.0,0.0,72.94,72.94,72.94,0.0,0.0
2018-03-11,71.53,71.53,71.53,0.0,0.0,71.78,71.78,71.78,0.0,0.0,70.52,70.52,70.52,0.0,0.0,71.1,71.1,71.1,0.0,0.0
2018-03-18,70.35,70.35,70.35,0.0,0.0,70.92,70.92,70.92,0.0,0.0,69.69,69.69,69.69,0.0,0.0,70.92,70.92,70.92,0.0,0.0
