Date,PowerShares FTSE RAFI US 1000 Portfolio_etf_Open_average,PowerShares FTSE RAFI US 1000 Portfolio_etf_Open_max,PowerShares FTSE RAFI US 1000 Portfolio_etf_Open_min,PowerShares FTSE RAFI US 1000 Portfolio_etf_Open_volatility,PowerShares FTSE RAFI US 1000 Portfolio_etf_Open_change,PowerShares FTSE RAFI US 1000 Portfolio_etf_High_average,PowerShares FTSE RAFI US 1000 Portfolio_etf_High_max,PowerShares FTSE RAFI US 1000 Portfolio_etf_High_min,PowerShares FTSE RAFI US 1000 Portfolio_etf_High_volatility,PowerShares FTSE RAFI US 1000 Portfolio_etf_High_change,PowerShares FTSE RAFI US 1000 Portfolio_etf_Low_average,PowerShares FTSE RAFI US 1000 Portfolio_etf_Low_max,PowerShares FTSE RAFI US 1000 Portfolio_etf_Low_min,PowerShares FTSE RAFI US 1000 Portfolio_etf_Low_volatility,PowerShares FTSE RAFI US 1000 Portfolio_etf_Low_change,PowerShares FTSE RAFI US 1000 Portfolio_etf_Close_average,PowerShares FTSE RAFI US 1000 Portfolio_etf_Close_max,PowerShares FTSE RAFI US 1000 Portfolio_etf_Close_min,PowerShares FTSE RAFI US 1000 Portfolio_etf_Close_volatility,PowerShares FTSE RAFI US 1000 Portfolio_etf_Close_change
2018-01-14,118.28,118.28,118.28,0.0,0.0,118.64,118.64,118.64,0.0,0.0,118.02,118.02,118.02,0.0,0.0,118.64,118.64,118.64,0.0,0.0
2018-01-21,119.99,119.99,119.99,0.0,0.0,120.82,120.82,120.82,0.0,0.0,119.89,119.89,119.89,0.0,0.0,120.82,120.82,120.82,0.0,0.0
2018-01-28,117.65,117.65,117.65,0.0,0.0,117.65,117.65,117.65,0.0,0.0,115.62,115.62,115.62,0.0,0.0,115.64,115.64,115.64,0.0,0.0
2018-02-04,109.52,109.52,109.52,0.0,0.0,110.57,110.57,110.57,0.0,0.0,106.36,106.36,106.36,0.0,0.0,109.82,109.82,109.82,0.0,0.0
2018-02-11,113.74,113.74,113.74,0.0,0.0,115.04,115.04,115.04,0.0,0.0,113.74,113.74,113.74,0.0,0.0,114.14,114.14,114.14,0.0,0.0
2018-02-18,113.35,113.35,113.35,0.0,0.0,114.39,114.39,114.39,0.0,0.0,113.14,113.14,113.14,0.0,0.0,114.39,114.39,114.39,0.0,0.0
2018-02-25,110.62,110.62,110.62,0.0,0.0,112.17,112.17,112.17,0.0,0.0,110.37,110.37,110.37,0.0,0.0,111.99,111.99,111.99,0.0,0.0
2018-03-04,114.32,114.32,114.32,0.0,0.0,115.52,115.52,115.52,0.0,0.0,114.16,114.16,114.16,0.0,0.0,115.52,115.52,115.52,0.0,0.0
2018-03-11,113.9,113.9,113.9,0.0,0.0,114.59,114.59,114.59,0.0,0.0,113.9,113.9,113.9,0.0,0.0,114.19,114.19,114.19,0.0,0.0
2018-03-18,109.99,109.99,109.99,0.0,0.0,110.3,110.3,110.3,0.0,0.0,107.5,107.5,107.5,0.0,0.0,107.65,107.65,107.65,0.0,0.0
2018-03-25,109.45,109.45,109.45,0.0,0.0,110.75,110.75,110.75,0.0,0.0,109.39,109.39,109.39,0.0,0.0,110.18,110.18,110.18,0.0,0.0
2018-04-01,110.59,110.59,110.59,0.0,0.0,111.18,111.18,111.18,0.0,0.0,108.39,108.39,108.39,0.0,0.0,109.24,109.24,109.24,0.0,0.0
2018-04-08,112.03,112.03,112.03,0.0,0.0,112.08,112.08,112.08,0.0,0.0,110.78,110.78,110.78,0.0,0.0,111.19,111.19,111.19,0.0,0.0
2018-04-15,112.71,112.71,112.71,0.0,0.0,112.71,112.71,112.71,0.0,0.0,111.45,111.45,111.45,0.0,0.0,111.79,111.79,111.79,0.0,0.0
2018-04-22,111.98,111.98,111.98,0.0,0.0,112.25,112.25,112.25,0.0,0.0,111.69,111.69,111.69,0.0,0.0,112.12,112.12,112.12,0.0,0.0
2018-04-29,109.38,109.38,109.38,0.0,0.0,111.43,111.43,111.43,0.0,0.0,109.24,109.24,109.24,0.0,0.0,111.06,111.06,111.06,0.0,0.0
2018-05-06,113.35,113.35,113.35,0.0,0.0,113.68,113.68,113.68,0.0,0.0,113.14,113.14,113.14,0.0,0.0,113.42,113.42,113.42,0.0,0.0
2018-05-13,113.82,113.82,113.82,0.0,0.0,113.82,113.82,113.82,0.0,0.0,113.45,113.45,113.45,0.0,0.0,113.54,113.54,113.54,0.0,0.0
