Date,SPDR Wells Fargo Preferred Stock_Open_average,SPDR Wells Fargo Preferred Stock_Open_max,SPDR Wells Fargo Preferred Stock_Open_min,SPDR Wells Fargo Preferred Stock_Open_volatility,SPDR Wells Fargo Preferred Stock_Open_change,SPDR Wells Fargo Preferred Stock_High_average,SPDR Wells Fargo Preferred Stock_High_max,SPDR Wells Fargo Preferred Stock_High_min,SPDR Wells Fargo Preferred Stock_High_volatility,SPDR Wells Fargo Preferred Stock_High_change,SPDR Wells Fargo Preferred Stock_Low_average,SPDR Wells Fargo Preferred Stock_Low_max,SPDR Wells Fargo Preferred Stock_Low_min,SPDR Wells Fargo Preferred Stock_Low_volatility,SPDR Wells Fargo Preferred Stock_Low_change,SPDR Wells Fargo Preferred Stock_Close_average,SPDR Wells Fargo Preferred Stock_Close_max,SPDR Wells Fargo Preferred Stock_Close_min,SPDR Wells Fargo Preferred Stock_Close_volatility,SPDR Wells Fargo Preferred Stock_Close_change
2018-01-14,43.2,43.2,43.2,0.0,0.0,43.34,43.34,43.34,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.32,43.32,43.32,0.0,0.0
2018-01-21,43.01,43.01,43.01,0.0,0.0,43.1,43.1,43.1,0.0,0.0,42.59,42.59,42.59,0.0,0.0,42.59,42.59,42.59,0.0,0.0
2018-01-28,42.02,42.02,42.02,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.0,42.0,42.0,0.0,0.0,42.07,42.07,42.07,0.0,0.0
2018-02-04,42.38,42.38,42.38,0.0,0.0,42.53,42.53,42.53,0.0,0.0,42.33,42.33,42.33,0.0,0.0,42.45,42.45,42.45,0.0,0.0
2018-02-11,42.45,42.45,42.45,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.4,42.4,42.4,0.0,0.0,42.52,42.52,42.52,0.0,0.0
2018-02-18,43.1,43.1,43.1,0.0,0.0,43.14,43.14,43.14,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-02-25,43.04,43.04,43.04,0.0,0.0,43.21,43.21,43.21,0.0,0.0,43.0,43.0,43.0,0.0,0.0,43.21,43.21,43.21,0.0,0.0
2018-03-04,43.33,43.33,43.33,0.0,0.0,43.35,43.35,43.35,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-03-11,43.45,43.45,43.45,0.0,0.0,43.49,43.49,43.49,0.0,0.0,43.4,43.4,43.4,0.0,0.0,43.46,43.46,43.46,0.0,0.0
2018-03-18,43.39,43.39,43.39,0.0,0.0,43.39,43.39,43.39,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.26,43.26,43.26,0.0,0.0
2018-03-25,43.14,43.14,43.14,0.0,0.0,43.22,43.22,43.22,0.0,0.0,43.08,43.08,43.08,0.0,0.0,43.1,43.1,43.1,0.0,0.0
2018-04-01,42.87,42.87,42.87,0.0,0.0,43.02,43.02,43.02,0.0,0.0,42.87,42.87,42.87,0.0,0.0,42.99,42.99,42.99,0.0,0.0
2018-04-08,42.95,42.95,42.95,0.0,0.0,43.03,43.03,43.03,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-04-15,42.9,42.9,42.9,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.85,42.85,42.85,0.0,0.0,42.97,42.97,42.97,0.0,0.0
2018-04-22,42.76,42.76,42.76,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.7,42.7,42.7,0.0,0.0,42.8,42.8,42.8,0.0,0.0
2018-04-29,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.61,42.61,42.61,0.0,0.0,42.61,42.61,42.61,0.0,0.0
2018-05-06,42.8,42.8,42.8,0.0,0.0,42.92,42.92,42.92,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.84,42.84,42.84,0.0,0.0
2018-05-13,42.65,42.65,42.65,0.0,0.0,42.73,42.73,42.73,0.0,0.0,42.62,42.62,42.62,0.0,0.0,42.62,42.62,42.62,0.0,0.0
2018-05-20,43.0,43.0,43.0,0.0,0.0,43.07,43.07,43.07,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.94,42.94,42.94,0.0,0.0
2018-05-27,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.05,43.05,43.05,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-06-03,43.43,43.43,43.43,0.0,0.0,43.47,43.47,43.47,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-06-10,43.33,43.33,43.33,0.0,0.0,43.41,43.41,43.41,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.35,43.35,43.35,0.0,0.0
2018-06-17,43.32,43.32,43.32,0.0,0.0,43.32,43.32,43.32,0.0,0.0,43.25,43.25,43.25,0.0,0.0,43.28,43.28,43.28,0.0,0.0
2018-06-24,43.29,43.29,43.29,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.18,43.18,43.18,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-07-01,43.73,43.73,43.73,0.0,0.0,43.79,43.79,43.79,0.0,0.0,43.64,43.64,43.64,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-07-08,43.45,43.45,43.45,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.31,43.31,43.31,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-07-15,43.39,43.39,43.39,0.0,0.0,43.45,43.45,43.45,0.0,0.0,43.36,43.36,43.36,0.0,0.0,43.4,43.4,43.4,0.0,0.0
2018-07-22,43.2,43.2,43.2,0.0,0.0,43.2,43.2,43.2,0.0,0.0,43.13,43.13,43.13,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-07-29,42.86,42.86,42.86,0.0,0.0,42.97,42.97,42.97,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.93,42.93,42.93,0.0,0.0
2018-08-05,42.86,42.86,42.86,0.0,0.0,42.93,42.93,42.93,0.0,0.0,42.83,42.83,42.83,0.0,0.0,42.85,42.85,42.85,0.0,0.0
2018-08-12,43.03,43.03,43.03,0.0,0.0,43.28,43.28,43.28,0.0,0.0,43.03,43.03,43.03,0.0,0.0,43.23,43.23,43.23,0.0,0.0
2018-08-19,43.37,43.37,43.37,0.0,0.0,43.38,43.38,43.38,0.0,0.0,43.3,43.3,43.3,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-08-26,43.54,43.54,43.54,0.0,0.0,43.59,43.59,43.59,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.55,43.55,43.55,0.0,0.0
2018-09-02,42.97,42.97,42.97,0.0,0.0,43.0,43.0,43.0,0.0,0.0,42.8,42.8,42.8,0.0,0.0,42.96,42.96,42.96,0.0,0.0
2018-09-09,42.98,42.98,42.98,0.0,0.0,42.98,42.98,42.98,0.0,0.0,42.89,42.89,42.89,0.0,0.0,42.89,42.89,42.89,0.0,0.0
