Date,Global X Yieldco_Open_average,Global X Yieldco_Open_max,Global X Yieldco_Open_min,Global X Yieldco_Open_volatility,Global X Yieldco_Open_change,Global X Yieldco_High_average,Global X Yieldco_High_max,Global X Yieldco_High_min,Global X Yieldco_High_volatility,Global X Yieldco_High_change,Global X Yieldco_Low_average,Global X Yieldco_Low_max,Global X Yieldco_Low_min,Global X Yieldco_Low_volatility,Global X Yieldco_Low_change,Global X Yieldco_Close_average,Global X Yieldco_Close_max,Global X Yieldco_Close_min,Global X Yieldco_Close_volatility,Global X Yieldco_Close_change
2018-01-14,12.43,12.43,12.43,0.0,0.0,12.51,12.51,12.51,0.0,0.0,12.43,12.43,12.43,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-01-21,12.59,12.59,12.59,0.0,0.0,12.62,12.62,12.62,0.0,0.0,12.46,12.46,12.46,0.0,0.0,12.46,12.46,12.46,0.0,0.0
2018-01-28,12.07,12.07,12.07,0.0,0.0,12.3,12.3,12.3,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-02-04,11.63,11.63,11.63,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.55,11.55,11.55,0.0,0.0,11.55,11.55,11.55,0.0,0.0
2018-02-11,12.0,12.0,12.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.68,11.68,11.68,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2018-02-18,11.73,11.73,11.73,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.65,11.65,11.65,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2018-02-25,11.49,11.49,11.49,0.0,0.0,11.49,11.49,11.49,0.0,0.0,11.41,11.41,11.41,0.0,0.0,11.44,11.44,11.44,0.0,0.0
2018-03-04,11.54,11.54,11.54,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.54,11.54,11.54,0.0,0.0,11.62,11.62,11.62,0.0,0.0
2018-03-11,11.52,11.52,11.52,0.0,0.0,11.63,11.63,11.63,0.0,0.0,11.51,11.51,11.51,0.0,0.0,11.63,11.63,11.63,0.0,0.0
2018-03-18,11.62,11.62,11.62,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.62,11.62,11.62,0.0,0.0,11.73,11.73,11.73,0.0,0.0
2018-03-25,11.7,11.7,11.7,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2018-04-01,11.65,11.65,11.65,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-04-08,11.84,11.84,11.84,0.0,0.0,11.84,11.84,11.84,0.0,0.0,11.83,11.83,11.83,0.0,0.0,11.84,11.84,11.84,0.0,0.0
2018-04-15,11.88,11.88,11.88,0.0,0.0,11.88,11.88,11.88,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-04-22,11.82,11.82,11.82,0.0,0.0,11.86,11.86,11.86,0.0,0.0,11.78,11.78,11.78,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-04-29,11.94,11.94,11.94,0.0,0.0,11.94,11.94,11.94,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.92,11.92,11.92,0.0,0.0
2018-05-06,11.87,11.87,11.87,0.0,0.0,11.89,11.89,11.89,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.88,11.88,11.88,0.0,0.0
2018-05-13,11.85,11.85,11.85,0.0,0.0,11.85,11.85,11.85,0.0,0.0,11.73,11.73,11.73,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-05-20,11.87,11.87,11.87,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.77,11.77,11.77,0.0,0.0
2018-05-27,11.77,11.77,11.77,0.0,0.0,11.79,11.79,11.79,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.79,11.79,11.79,0.0,0.0
2018-06-03,11.81,11.81,11.81,0.0,0.0,11.81,11.81,11.81,0.0,0.0,11.8,11.8,11.8,0.0,0.0,11.8,11.8,11.8,0.0,0.0
2018-06-10,11.61,11.61,11.61,0.0,0.0,11.64,11.64,11.64,0.0,0.0,11.61,11.61,11.61,0.0,0.0,11.64,11.64,11.64,0.0,0.0
2018-06-17,11.67,11.67,11.67,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.66,11.66,11.66,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2018-06-24,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-07-01,11.93,11.93,11.93,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.93,11.93,11.93,0.0,0.0,11.93,11.93,11.93,0.0,0.0
2018-07-08,11.8,11.8,11.8,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2018-07-15,11.75,11.75,11.75,0.0,0.0,11.77,11.77,11.77,0.0,0.0,11.74,11.74,11.74,0.0,0.0,11.74,11.74,11.74,0.0,0.0
2018-07-22,11.73,11.73,11.73,0.0,0.0,11.76,11.76,11.76,0.0,0.0,11.71,11.71,11.71,0.0,0.0,11.76,11.76,11.76,0.0,0.0
2018-07-29,11.92,11.92,11.92,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.87,11.87,11.87,0.0,0.0,11.87,11.87,11.87,0.0,0.0
2018-08-05,11.7,11.7,11.7,0.0,0.0,11.7,11.7,11.7,0.0,0.0,11.67,11.67,11.67,0.0,0.0,11.67,11.67,11.67,0.0,0.0
2018-08-12,11.78,11.78,11.78,0.0,0.0,11.98,11.98,11.98,0.0,0.0,11.75,11.75,11.75,0.0,0.0,11.98,11.98,11.98,0.0,0.0
2018-08-19,11.92,11.92,11.92,0.0,0.0,12.0,12.0,12.0,0.0,0.0,11.92,11.92,11.92,0.0,0.0,11.99,11.99,11.99,0.0,0.0
2018-08-26,11.99,11.99,11.99,0.0,0.0,11.99,11.99,11.99,0.0,0.0,11.95,11.95,11.95,0.0,0.0,11.99,11.99,11.99,0.0,0.0
