Date,ETFS Physical Silver SharesEtf_Open_average,ETFS Physical Silver SharesEtf_Open_max,ETFS Physical Silver SharesEtf_Open_min,ETFS Physical Silver SharesEtf_Open_volatility,ETFS Physical Silver SharesEtf_Open_change,ETFS Physical Silver SharesEtf_High_average,ETFS Physical Silver SharesEtf_High_max,ETFS Physical Silver SharesEtf_High_min,ETFS Physical Silver SharesEtf_High_volatility,ETFS Physical Silver SharesEtf_High_change,ETFS Physical Silver SharesEtf_Low_average,ETFS Physical Silver SharesEtf_Low_max,ETFS Physical Silver SharesEtf_Low_min,ETFS Physical Silver SharesEtf_Low_volatility,ETFS Physical Silver SharesEtf_Low_change,ETFS Physical Silver SharesEtf_Close_average,ETFS Physical Silver SharesEtf_Close_max,ETFS Physical Silver SharesEtf_Close_min,ETFS Physical Silver SharesEtf_Close_volatility,ETFS Physical Silver SharesEtf_Close_change
2018-01-14,16.6,16.6,16.6,0.0,0.0,16.66,16.66,16.66,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.59,16.59,16.59,0.0,0.0
2018-01-21,16.93,16.93,16.93,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.92,16.92,16.92,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2018-01-28,16.56,16.56,16.56,0.0,0.0,16.56,16.56,16.56,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.18,16.18,16.18,0.0,0.0
2018-02-04,15.92,15.92,15.92,0.0,0.0,15.92,15.92,15.92,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.91,15.91,15.91,0.0,0.0
2018-02-11,16.36,16.36,16.36,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.27,16.27,16.27,0.0,0.0
2018-02-18,16.16,16.16,16.16,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.11,16.11,16.11,0.0,0.0
2018-02-25,16.15,16.15,16.15,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2018-03-04,16.04,16.04,16.04,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.17,16.17,16.17,0.0,0.0
2018-03-11,15.98,15.98,15.98,0.0,0.0,15.99,15.99,15.99,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.92,15.92,15.92,0.0,0.0
2018-03-18,16.21,16.21,16.21,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.11,16.11,16.11,0.0,0.0,16.11,16.11,16.11,0.0,0.0
