Date,Principal Millennials_Open_average,Principal Millennials_Open_max,Principal Millennials_Open_min,Principal Millennials_Open_volatility,Principal Millennials_Open_change,Principal Millennials_High_average,Principal Millennials_High_max,Principal Millennials_High_min,Principal Millennials_High_volatility,Principal Millennials_High_change,Principal Millennials_Low_average,Principal Millennials_Low_max,Principal Millennials_Low_min,Principal Millennials_Low_volatility,Principal Millennials_Low_change,Principal Millennials_Close_average,Principal Millennials_Close_max,Principal Millennials_Close_min,Principal Millennials_Close_volatility,Principal Millennials_Close_change
2018-01-14,36.85,36.85,36.85,0.0,0.0,37.13,37.13,37.13,0.0,0.0,36.78,36.78,36.78,0.0,0.0,37.13,37.13,37.13,0.0,0.0
2018-01-21,37.81,37.81,37.81,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.7,37.7,37.7,0.0,0.0,37.7,37.7,37.7,0.0,0.0
2018-01-28,36.11,36.11,36.11,0.0,0.0,36.21,36.21,36.21,0.0,0.0,35.39,35.39,35.39,0.0,0.0,35.39,35.39,35.39,0.0,0.0
2018-02-04,34.63,34.63,34.63,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-02-11,36.83,36.83,36.83,0.0,0.0,36.97,36.97,36.97,0.0,0.0,36.56,36.56,36.56,0.0,0.0,36.84,36.84,36.84,0.0,0.0
2018-02-18,37.37,37.37,37.37,0.0,0.0,37.39,37.39,37.39,0.0,0.0,37.05,37.05,37.05,0.0,0.0,37.2,37.2,37.2,0.0,0.0
2018-02-25,35.81,35.81,35.81,0.0,0.0,36.88,36.88,36.88,0.0,0.0,35.81,35.81,35.81,0.0,0.0,36.8,36.8,36.8,0.0,0.0
2018-03-04,37.45,37.45,37.45,0.0,0.0,37.8,37.8,37.8,0.0,0.0,37.38,37.38,37.38,0.0,0.0,37.75,37.75,37.75,0.0,0.0
2018-03-11,37.1,37.1,37.1,0.0,0.0,37.21,37.21,37.21,0.0,0.0,36.73,36.73,36.73,0.0,0.0,36.73,36.73,36.73,0.0,0.0
2018-03-18,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0,36.79,36.79,36.79,0.0,0.0
2018-03-25,37.39,37.39,37.39,0.0,0.0,37.39,37.39,37.39,0.0,0.0,34.46,34.46,34.46,0.0,0.0,34.51,34.51,34.51,0.0,0.0
2018-04-01,35.0,35.0,35.0,0.0,0.0,35.49,35.49,35.49,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.31,35.31,35.31,0.0,0.0
2018-04-08,35.34,35.34,35.34,0.0,0.0,35.59,35.59,35.59,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.58,35.58,35.58,0.0,0.0
2018-04-15,35.46,35.46,35.46,0.0,0.0,35.46,35.46,35.46,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.99,34.99,34.99,0.0,0.0
2018-04-22,35.24,35.24,35.24,0.0,0.0,35.3,35.3,35.3,0.0,0.0,35.24,35.24,35.24,0.0,0.0,35.3,35.3,35.3,0.0,0.0
2018-04-29,34.81,34.81,34.81,0.0,0.0,35.29,35.29,35.29,0.0,0.0,34.81,34.81,34.81,0.0,0.0,35.29,35.29,35.29,0.0,0.0
2018-05-06,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0
2018-05-13,36.23,36.23,36.23,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.23,36.23,36.23,0.0,0.0,36.23,36.23,36.23,0.0,0.0
2018-05-20,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0,36.39,36.39,36.39,0.0,0.0
2018-05-27,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0,37.12,37.12,37.12,0.0,0.0
