Date,FlexShares STOXX Global Broad Infrastructure_Open_average,FlexShares STOXX Global Broad Infrastructure_Open_max,FlexShares STOXX Global Broad Infrastructure_Open_min,FlexShares STOXX Global Broad Infrastructure_Open_volatility,FlexShares STOXX Global Broad Infrastructure_Open_change,FlexShares STOXX Global Broad Infrastructure_High_average,FlexShares STOXX Global Broad Infrastructure_High_max,FlexShares STOXX Global Broad Infrastructure_High_min,FlexShares STOXX Global Broad Infrastructure_High_volatility,FlexShares STOXX Global Broad Infrastructure_High_change,FlexShares STOXX Global Broad Infrastructure_Low_average,FlexShares STOXX Global Broad Infrastructure_Low_max,FlexShares STOXX Global Broad Infrastructure_Low_min,FlexShares STOXX Global Broad Infrastructure_Low_volatility,FlexShares STOXX Global Broad Infrastructure_Low_change,FlexShares STOXX Global Broad Infrastructure_Close_average,FlexShares STOXX Global Broad Infrastructure_Close_max,FlexShares STOXX Global Broad Infrastructure_Close_min,FlexShares STOXX Global Broad Infrastructure_Close_volatility,FlexShares STOXX Global Broad Infrastructure_Close_change
2018-01-14,49.41,49.41,49.41,0.0,0.0,49.64,49.64,49.64,0.0,0.0,49.39,49.39,49.39,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-01-21,49.57,49.57,49.57,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.41,49.41,49.41,0.0,0.0,49.5,49.5,49.5,0.0,0.0
2018-01-28,48.0,48.0,48.0,0.0,0.0,48.13,48.13,48.13,0.0,0.0,46.66,46.66,46.66,0.0,0.0,46.66,46.66,46.66,0.0,0.0
2018-02-04,46.37,46.37,46.37,0.0,0.0,46.58,46.58,46.58,0.0,0.0,45.99,45.99,45.99,0.0,0.0,46.5,46.5,46.5,0.0,0.0
2018-02-11,47.31,47.31,47.31,0.0,0.0,47.68,47.68,47.68,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.47,47.47,47.47,0.0,0.0
2018-02-18,47.62,47.62,47.62,0.0,0.0,47.72,47.72,47.72,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-02-25,45.62,45.62,45.62,0.0,0.0,46.39,46.39,46.39,0.0,0.0,45.62,45.62,45.62,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-03-04,47.01,47.01,47.01,0.0,0.0,47.17,47.17,47.17,0.0,0.0,47.01,47.01,47.01,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-03-11,46.38,46.38,46.38,0.0,0.0,46.41,46.41,46.41,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.11,46.11,46.11,0.0,0.0
2018-03-18,45.38,45.38,45.38,0.0,0.0,45.41,45.41,45.41,0.0,0.0,45.12,45.12,45.12,0.0,0.0,45.39,45.39,45.39,0.0,0.0
