Date,SPDR Russell 1000_Open_average,SPDR Russell 1000_Open_max,SPDR Russell 1000_Open_min,SPDR Russell 1000_Open_volatility,SPDR Russell 1000_Open_change,SPDR Russell 1000_High_average,SPDR Russell 1000_High_max,SPDR Russell 1000_High_min,SPDR Russell 1000_High_volatility,SPDR Russell 1000_High_change,SPDR Russell 1000_Low_average,SPDR Russell 1000_Low_max,SPDR Russell 1000_Low_min,SPDR Russell 1000_Low_volatility,SPDR Russell 1000_Low_change,SPDR Russell 1000_Close_average,SPDR Russell 1000_Close_max,SPDR Russell 1000_Close_min,SPDR Russell 1000_Close_volatility,SPDR Russell 1000_Close_change
2018-01-14,32.92,32.92,32.92,0.0,0.0,33.08,33.08,33.08,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.08,33.08,33.08,0.0,0.0
2018-01-21,33.48,33.48,33.48,0.0,0.0,33.52,33.52,33.52,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.32,33.32,33.32,0.0,0.0
2018-01-28,31.99,31.99,31.99,0.0,0.0,32.3,32.3,32.3,0.0,0.0,30.86,30.86,30.86,0.0,0.0,31.07,31.07,31.07,0.0,0.0
2018-02-04,30.84,30.84,30.84,0.0,0.0,31.27,31.27,31.27,0.0,0.0,30.7,30.7,30.7,0.0,0.0,31.05,31.05,31.05,0.0,0.0
2018-02-11,31.99,31.99,31.99,0.0,0.0,32.23,32.23,32.23,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.99,31.99,31.99,0.0,0.0
2018-02-18,32.37,32.37,32.37,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.22,32.22,32.22,0.0,0.0,32.52,32.52,32.52,0.0,0.0
2018-02-25,31.4,31.4,31.4,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.4,31.4,31.4,0.0,0.0,31.93,31.93,31.93,0.0,0.0
2018-03-04,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.6,32.6,32.6,0.0,0.0,32.64,32.64,32.64,0.0,0.0
2018-03-11,32.07,32.07,32.07,0.0,0.0,32.07,32.07,32.07,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-03-18,30.79,30.79,30.79,0.0,0.0,31.13,31.13,31.13,0.0,0.0,30.5,30.5,30.5,0.0,0.0,31.12,31.12,31.12,0.0,0.0
2018-03-25,30.78,30.78,30.78,0.0,0.0,30.87,30.87,30.87,0.0,0.0,29.91,29.91,29.91,0.0,0.0,30.2,30.2,30.2,0.0,0.0
2018-04-01,30.71,30.71,30.71,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.58,30.58,30.58,0.0,0.0,30.6,30.6,30.6,0.0,0.0
2018-04-08,31.32,31.32,31.32,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-04-15,31.39,31.39,31.39,0.0,0.0,31.45,31.45,31.45,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-04-22,31.49,31.49,31.49,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-04-29,31.34,31.34,31.34,0.0,0.0,31.49,31.49,31.49,0.0,0.0,31.29,31.29,31.29,0.0,0.0,31.36,31.36,31.36,0.0,0.0
2018-05-06,32.08,32.08,32.08,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.98,31.98,31.98,0.0,0.0,32.05,32.05,32.05,0.0,0.0
2018-05-13,32.09,32.09,32.09,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.05,32.05,32.05,0.0,0.0,32.13,32.13,32.13,0.0,0.0
2018-05-20,32.08,32.08,32.08,0.0,0.0,32.08,32.08,32.08,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-05-27,32.31,32.31,32.31,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-06-03,32.78,32.78,32.78,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-06-10,32.43,32.43,32.43,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.54,32.54,32.54,0.0,0.0
2018-06-17,32.12,32.12,32.12,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.65,31.65,31.65,0.0,0.0,31.86,31.86,31.86,0.0,0.0
2018-06-24,31.72,31.72,31.72,0.0,0.0,31.97,31.97,31.97,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.96,31.96,31.96,0.0,0.0
2018-07-01,32.55,32.55,32.55,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.68,32.68,32.68,0.0,0.0
2018-07-08,32.83,32.83,32.83,0.0,0.0,32.86,32.86,32.86,0.0,0.0,32.75,32.75,32.75,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-07-15,32.82,32.82,32.82,0.0,0.0,32.94,32.94,32.94,0.0,0.0,32.78,32.78,32.78,0.0,0.0,32.91,32.91,32.91,0.0,0.0
2018-07-22,33.05,33.05,33.05,0.0,0.0,33.05,33.05,33.05,0.0,0.0,32.74,32.74,32.74,0.0,0.0,32.8,32.8,32.8,0.0,0.0
2018-07-29,33.29,33.29,33.29,0.0,0.0,33.44,33.44,33.44,0.0,0.0,33.25,33.25,33.25,0.0,0.0,33.41,33.41,33.41,0.0,0.0
2018-08-05,33.29,33.29,33.29,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.07,33.07,33.07,0.0,0.0,33.11,33.11,33.11,0.0,0.0
2018-08-12,33.54,33.54,33.54,0.0,0.0,33.57,33.57,33.57,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.53,33.53,33.53,0.0,0.0
