Date,SPDR Solactive United Kingdom_Open_average,SPDR Solactive United Kingdom_Open_max,SPDR Solactive United Kingdom_Open_min,SPDR Solactive United Kingdom_Open_volatility,SPDR Solactive United Kingdom_Open_change,SPDR Solactive United Kingdom_High_average,SPDR Solactive United Kingdom_High_max,SPDR Solactive United Kingdom_High_min,SPDR Solactive United Kingdom_High_volatility,SPDR Solactive United Kingdom_High_change,SPDR Solactive United Kingdom_Low_average,SPDR Solactive United Kingdom_Low_max,SPDR Solactive United Kingdom_Low_min,SPDR Solactive United Kingdom_Low_volatility,SPDR Solactive United Kingdom_Low_change,SPDR Solactive United Kingdom_Close_average,SPDR Solactive United Kingdom_Close_max,SPDR Solactive United Kingdom_Close_min,SPDR Solactive United Kingdom_Close_volatility,SPDR Solactive United Kingdom_Close_change
2018-01-14,55.57,55.57,55.57,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2018-01-21,56.02,56.02,56.02,0.0,0.0,56.02,56.02,56.02,0.0,0.0,55.87,55.87,55.87,0.0,0.0,55.87,55.87,55.87,0.0,0.0
2018-01-28,53.58,53.58,53.58,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.56,53.56,53.56,0.0,0.0
2018-02-04,51.89,51.89,51.89,0.0,0.0,52.21,52.21,52.21,0.0,0.0,51.89,51.89,51.89,0.0,0.0,52.21,52.21,52.21,0.0,0.0
2018-02-11,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-02-18,53.56,53.56,53.56,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.56,53.56,53.56,0.0,0.0,53.96,53.96,53.96,0.0,0.0
2018-02-25,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.44,52.44,52.44,0.0,0.0
2018-03-04,53.34,53.34,53.34,0.0,0.0,53.44,53.44,53.44,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.35,53.35,53.35,0.0,0.0
2018-03-11,52.86,52.86,52.86,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-03-18,52.53,52.53,52.53,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.3,52.3,52.3,0.0,0.0
2018-03-25,52.66,52.66,52.66,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.56,52.56,52.56,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-04-01,54.83,54.83,54.83,0.0,0.0,54.83,54.83,54.83,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-04-08,55.49,55.49,55.49,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.27,55.27,55.27,0.0,0.0,55.33,55.33,55.33,0.0,0.0
2018-04-15,55.02,55.02,55.02,0.0,0.0,55.13,55.13,55.13,0.0,0.0,55.02,55.02,55.02,0.0,0.0,55.06,55.06,55.06,0.0,0.0
2018-04-22,55.59,55.59,55.59,0.0,0.0,55.59,55.59,55.59,0.0,0.0,55.49,55.49,55.49,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-04-29,54.16,54.16,54.16,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.16,54.16,54.16,0.0,0.0,54.48,54.48,54.48,0.0,0.0
2018-05-06,55.52,55.52,55.52,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.21,55.21,55.21,0.0,0.0,55.48,55.48,55.48,0.0,0.0
2018-05-13,55.67,55.67,55.67,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.76,55.76,55.76,0.0,0.0
2018-05-20,55.04,55.04,55.04,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.72,54.72,54.72,0.0,0.0,54.72,54.72,54.72,0.0,0.0
2018-05-27,54.36,54.36,54.36,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.01,54.01,54.01,0.0,0.0
2018-06-03,54.5,54.5,54.5,0.0,0.0,54.5,54.5,54.5,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.18,54.18,54.18,0.0,0.0
2018-06-10,53.13,53.13,53.13,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.13,53.13,53.13,0.0,0.0,53.13,53.13,53.13,0.0,0.0
2018-06-17,52.44,52.44,52.44,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-06-24,52.42,52.42,52.42,0.0,0.0,52.43,52.43,52.43,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.43,52.43,52.43,0.0,0.0
2018-07-01,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0,53.4,53.4,53.4,0.0,0.0
2018-07-08,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2018-07-15,53.0,53.0,53.0,0.0,0.0,53.3,53.3,53.3,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.3,53.3,53.3,0.0,0.0
2018-07-22,53.22,53.22,53.22,0.0,0.0,53.25,53.25,53.25,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.25,53.25,53.25,0.0,0.0
2018-07-29,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2018-08-05,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.89,51.89,51.89,0.0,0.0
