Date,iShares Edge MSCI USA Value FactorEtf_Open_average,iShares Edge MSCI USA Value FactorEtf_Open_max,iShares Edge MSCI USA Value FactorEtf_Open_min,iShares Edge MSCI USA Value FactorEtf_Open_volatility,iShares Edge MSCI USA Value FactorEtf_Open_change,iShares Edge MSCI USA Value FactorEtf_High_average,iShares Edge MSCI USA Value FactorEtf_High_max,iShares Edge MSCI USA Value FactorEtf_High_min,iShares Edge MSCI USA Value FactorEtf_High_volatility,iShares Edge MSCI USA Value FactorEtf_High_change,iShares Edge MSCI USA Value FactorEtf_Low_average,iShares Edge MSCI USA Value FactorEtf_Low_max,iShares Edge MSCI USA Value FactorEtf_Low_min,iShares Edge MSCI USA Value FactorEtf_Low_volatility,iShares Edge MSCI USA Value FactorEtf_Low_change,iShares Edge MSCI USA Value FactorEtf_Close_average,iShares Edge MSCI USA Value FactorEtf_Close_max,iShares Edge MSCI USA Value FactorEtf_Close_min,iShares Edge MSCI USA Value FactorEtf_Close_volatility,iShares Edge MSCI USA Value FactorEtf_Close_change
2018-01-14,88.32,88.32,88.32,0.0,0.0,88.32,88.32,88.32,0.0,0.0,87.78,87.78,87.78,0.0,0.0,88.19,88.19,88.19,0.0,0.0
2018-01-21,88.48,88.48,88.48,0.0,0.0,89.39,89.39,89.39,0.0,0.0,88.48,88.48,88.48,0.0,0.0,89.39,89.39,89.39,0.0,0.0
2018-01-28,86.65,86.65,86.65,0.0,0.0,86.65,86.65,86.65,0.0,0.0,84.79,84.79,84.79,0.0,0.0,84.83,84.83,84.83,0.0,0.0
2018-02-04,81.25,81.25,81.25,0.0,0.0,81.78,81.78,81.78,0.0,0.0,78.5,78.5,78.5,0.0,0.0,81.24,81.24,81.24,0.0,0.0
2018-02-11,84.69,84.69,84.69,0.0,0.0,85.62,85.62,85.62,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.84,84.84,84.84,0.0,0.0
2018-02-18,84.35,84.35,84.35,0.0,0.0,85.14,85.14,85.14,0.0,0.0,84.15,84.15,84.15,0.0,0.0,85.14,85.14,85.14,0.0,0.0
2018-02-25,82.54,82.54,82.54,0.0,0.0,83.81,83.81,83.81,0.0,0.0,82.2,82.2,82.2,0.0,0.0,83.67,83.67,83.67,0.0,0.0
2018-03-04,85.22,85.22,85.22,0.0,0.0,86.21,86.21,86.21,0.0,0.0,85.17,85.17,85.17,0.0,0.0,86.21,86.21,86.21,0.0,0.0
2018-03-11,85.22,85.22,85.22,0.0,0.0,85.9,85.9,85.9,0.0,0.0,85.22,85.22,85.22,0.0,0.0,85.55,85.55,85.55,0.0,0.0
2018-03-18,82.24,82.24,82.24,0.0,0.0,82.27,82.27,82.27,0.0,0.0,79.93,79.93,79.93,0.0,0.0,79.98,79.98,79.98,0.0,0.0
2018-03-25,81.39,81.39,81.39,0.0,0.0,82.48,82.48,82.48,0.0,0.0,81.21,81.21,81.21,0.0,0.0,82.02,82.02,82.02,0.0,0.0
2018-04-01,82.15,82.15,82.15,0.0,0.0,82.66,82.66,82.66,0.0,0.0,80.46,80.46,80.46,0.0,0.0,81.07,81.07,81.07,0.0,0.0
2018-04-08,83.84,83.84,83.84,0.0,0.0,83.84,83.84,83.84,0.0,0.0,82.6,82.6,82.6,0.0,0.0,82.94,82.94,82.94,0.0,0.0
2018-04-15,83.56,83.56,83.56,0.0,0.0,83.57,83.57,83.57,0.0,0.0,82.55,82.55,82.55,0.0,0.0,82.85,82.85,82.85,0.0,0.0
2018-04-22,83.16,83.16,83.16,0.0,0.0,83.34,83.34,83.34,0.0,0.0,82.82,82.82,82.82,0.0,0.0,83.08,83.08,83.08,0.0,0.0
2018-04-29,81.23,81.23,81.23,0.0,0.0,82.72,82.72,82.72,0.0,0.0,80.96,80.96,80.96,0.0,0.0,82.49,82.49,82.49,0.0,0.0
2018-05-06,84.15,84.15,84.15,0.0,0.0,84.49,84.49,84.49,0.0,0.0,83.94,83.94,83.94,0.0,0.0,84.35,84.35,84.35,0.0,0.0
2018-05-13,84.96,84.96,84.96,0.0,0.0,84.96,84.96,84.96,0.0,0.0,84.48,84.48,84.48,0.0,0.0,84.49,84.49,84.49,0.0,0.0
2018-05-20,84.61,84.61,84.61,0.0,0.0,84.82,84.82,84.82,0.0,0.0,84.37,84.37,84.37,0.0,0.0,84.59,84.59,84.59,0.0,0.0
2018-05-27,84.53,84.53,84.53,0.0,0.0,85.01,85.01,85.01,0.0,0.0,84.5,84.5,84.5,0.0,0.0,84.94,84.94,84.94,0.0,0.0
2018-06-03,86.27,86.27,86.27,0.0,0.0,86.57,86.57,86.57,0.0,0.0,86.05,86.05,86.05,0.0,0.0,86.55,86.55,86.55,0.0,0.0
2018-06-10,85.95,85.95,85.95,0.0,0.0,86.28,86.28,86.28,0.0,0.0,85.45,85.45,85.45,0.0,0.0,86.19,86.19,86.19,0.0,0.0
2018-06-17,85.49,85.49,85.49,0.0,0.0,85.54,85.54,85.54,0.0,0.0,84.93,84.93,84.93,0.0,0.0,84.95,84.95,84.95,0.0,0.0
2018-06-24,83.18,83.18,83.18,0.0,0.0,83.53,83.53,83.53,0.0,0.0,82.56,82.56,82.56,0.0,0.0,82.61,82.61,82.61,0.0,0.0
2018-07-01,83.06,83.06,83.06,0.0,0.0,83.79,83.79,83.79,0.0,0.0,82.85,82.85,82.85,0.0,0.0,83.67,83.67,83.67,0.0,0.0
2018-07-08,84.5,84.5,84.5,0.0,0.0,84.72,84.72,84.72,0.0,0.0,84.35,84.35,84.35,0.0,0.0,84.49,84.49,84.49,0.0,0.0
2018-07-15,84.5,84.5,84.5,0.0,0.0,84.69,84.69,84.69,0.0,0.0,84.3,84.3,84.3,0.0,0.0,84.39,84.39,84.39,0.0,0.0
2018-07-22,85.14,85.14,85.14,0.0,0.0,85.46,85.46,85.46,0.0,0.0,84.67,84.67,84.67,0.0,0.0,84.91,84.91,84.91,0.0,0.0
2018-07-29,85.99,85.99,85.99,0.0,0.0,86.55,86.55,86.55,0.0,0.0,85.97,85.97,85.97,0.0,0.0,86.53,86.53,86.53,0.0,0.0
2018-08-05,86.33,86.33,86.33,0.0,0.0,86.4,86.4,86.4,0.0,0.0,85.86,85.86,85.86,0.0,0.0,86.12,86.12,86.12,0.0,0.0
2018-08-12,86.57,86.57,86.57,0.0,0.0,87.42,87.42,87.42,0.0,0.0,86.56,86.56,86.56,0.0,0.0,87.23,87.23,87.23,0.0,0.0
2018-08-19,87.65,87.65,87.65,0.0,0.0,87.83,87.83,87.83,0.0,0.0,87.52,87.52,87.52,0.0,0.0,87.75,87.75,87.75,0.0,0.0
2018-08-26,88.55,88.55,88.55,0.0,0.0,88.65,88.65,88.65,0.0,0.0,88.22,88.22,88.22,0.0,0.0,88.51,88.51,88.51,0.0,0.0
2018-09-02,87.41,87.41,87.41,0.0,0.0,87.74,87.74,87.74,0.0,0.0,87.14,87.14,87.14,0.0,0.0,87.31,87.31,87.31,0.0,0.0
2018-09-09,88.01,88.01,88.01,0.0,0.0,88.32,88.32,88.32,0.0,0.0,87.91,87.91,87.91,0.0,0.0,88.2,88.2,88.2,0.0,0.0
2018-09-16,89.52,89.52,89.52,0.0,0.0,89.71,89.71,89.71,0.0,0.0,89.2,89.2,89.2,0.0,0.0,89.23,89.23,89.23,0.0,0.0
2018-09-23,87.68,87.68,87.68,0.0,0.0,87.99,87.99,87.99,0.0,0.0,87.51,87.51,87.51,0.0,0.0,87.85,87.85,87.85,0.0,0.0
2018-09-30,88.31,88.31,88.31,0.0,0.0,88.39,88.39,88.39,0.0,0.0,87.05,87.05,87.05,0.0,0.0,87.55,87.55,87.55,0.0,0.0
2018-10-07,84.37,84.37,84.37,0.0,0.0,84.37,84.37,84.37,0.0,0.0,82.86,82.86,82.86,0.0,0.0,83.89,83.89,83.89,0.0,0.0
2018-10-14,83.82,83.82,83.82,0.0,0.0,84.35,84.35,84.35,0.0,0.0,83.36,83.36,83.36,0.0,0.0,83.57,83.57,83.57,0.0,0.0
2018-10-21,80.53,80.53,80.53,0.0,0.0,81.5,81.5,81.5,0.0,0.0,79.57,79.57,79.57,0.0,0.0,80.56,80.56,80.56,0.0,0.0
2018-10-28,83.92,83.92,83.92,0.0,0.0,84.1,84.1,84.1,0.0,0.0,82.3,82.3,82.3,0.0,0.0,82.9,82.9,82.9,0.0,0.0
2018-11-04,84.6,84.6,84.6,0.0,0.0,84.7,84.7,84.7,0.0,0.0,83.68,83.68,83.68,0.0,0.0,84.11,84.11,84.11,0.0,0.0
2018-11-11,81.61,81.61,81.61,0.0,0.0,82.43,82.43,82.43,0.0,0.0,81.54,81.54,81.54,0.0,0.0,82.09,82.09,82.09,0.0,0.0
2018-11-18,79.0,79.0,79.0,0.0,0.0,79.45,79.45,79.45,0.0,0.0,78.89,78.89,78.89,0.0,0.0,79.0,79.0,79.0,0.0,0.0
