Date,Direxion Daily Russia Bull 3X SharesEtf_Open_average,Direxion Daily Russia Bull 3X SharesEtf_Open_max,Direxion Daily Russia Bull 3X SharesEtf_Open_min,Direxion Daily Russia Bull 3X SharesEtf_Open_volatility,Direxion Daily Russia Bull 3X SharesEtf_Open_change,Direxion Daily Russia Bull 3X SharesEtf_High_average,Direxion Daily Russia Bull 3X SharesEtf_High_max,Direxion Daily Russia Bull 3X SharesEtf_High_min,Direxion Daily Russia Bull 3X SharesEtf_High_volatility,Direxion Daily Russia Bull 3X SharesEtf_High_change,Direxion Daily Russia Bull 3X SharesEtf_Low_average,Direxion Daily Russia Bull 3X SharesEtf_Low_max,Direxion Daily Russia Bull 3X SharesEtf_Low_min,Direxion Daily Russia Bull 3X SharesEtf_Low_volatility,Direxion Daily Russia Bull 3X SharesEtf_Low_change,Direxion Daily Russia Bull 3X SharesEtf_Close_average,Direxion Daily Russia Bull 3X SharesEtf_Close_max,Direxion Daily Russia Bull 3X SharesEtf_Close_min,Direxion Daily Russia Bull 3X SharesEtf_Close_volatility,Direxion Daily Russia Bull 3X SharesEtf_Close_change
2018-01-14,65.56,65.56,65.56,0.0,0.0,67.0,67.0,67.0,0.0,0.0,65.5,65.5,65.5,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-01-21,68.93,68.93,68.93,0.0,0.0,69.41,69.41,69.41,0.0,0.0,67.79,67.79,67.79,0.0,0.0,68.8,68.8,68.8,0.0,0.0
2018-01-28,66.15,66.15,66.15,0.0,0.0,66.45,66.45,66.45,0.0,0.0,63.28,63.28,63.28,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-02-04,52.35,52.35,52.35,0.0,0.0,53.93,53.93,53.93,0.0,0.0,47.63,47.63,47.63,0.0,0.0,52.45,52.45,52.45,0.0,0.0
2018-02-11,63.01,63.01,63.01,0.0,0.0,64.75,64.75,64.75,0.0,0.0,61.8,61.8,61.8,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-02-18,68.0,68.0,68.0,0.0,0.0,68.9,68.9,68.9,0.0,0.0,66.95,66.95,66.95,0.0,0.0,68.29,68.29,68.29,0.0,0.0
2018-02-25,60.05,60.05,60.05,0.0,0.0,63.78,63.78,63.78,0.0,0.0,59.0,59.0,59.0,0.0,0.0,63.72,63.72,63.72,0.0,0.0
2018-03-04,63.99,63.99,63.99,0.0,0.0,65.44,65.44,65.44,0.0,0.0,63.34,63.34,63.34,0.0,0.0,65.29,65.29,65.29,0.0,0.0
2018-03-11,58.5,58.5,58.5,0.0,0.0,60.27,60.27,60.27,0.0,0.0,58.19,58.19,58.19,0.0,0.0,59.86,59.86,59.86,0.0,0.0
2018-03-18,59.07,59.07,59.07,0.0,0.0,59.24,59.24,59.24,0.0,0.0,56.45,56.45,56.45,0.0,0.0,56.53,56.53,56.53,0.0,0.0
2018-03-25,55.88,55.88,55.88,0.0,0.0,58.26,58.26,58.26,0.0,0.0,55.88,55.88,55.88,0.0,0.0,57.95,57.95,57.95,0.0,0.0
2018-04-01,58.28,58.28,58.28,0.0,0.0,58.72,58.72,58.72,0.0,0.0,54.5,54.5,54.5,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-04-08,40.55,40.55,40.55,0.0,0.0,40.55,40.55,40.55,0.0,0.0,38.51,38.51,38.51,0.0,0.0,39.2,39.2,39.2,0.0,0.0
2018-04-15,43.75,43.75,43.75,0.0,0.0,43.85,43.85,43.85,0.0,0.0,41.95,41.95,41.95,0.0,0.0,42.5,42.5,42.5,0.0,0.0
