Date,SPDR S&P China_etf_Open_average,SPDR S&P China_etf_Open_max,SPDR S&P China_etf_Open_min,SPDR S&P China_etf_Open_volatility,SPDR S&P China_etf_Open_change,SPDR S&P China_etf_High_average,SPDR S&P China_etf_High_max,SPDR S&P China_etf_High_min,SPDR S&P China_etf_High_volatility,SPDR S&P China_etf_High_change,SPDR S&P China_etf_Low_average,SPDR S&P China_etf_Low_max,SPDR S&P China_etf_Low_min,SPDR S&P China_etf_Low_volatility,SPDR S&P China_etf_Low_change,SPDR S&P China_etf_Close_average,SPDR S&P China_etf_Close_max,SPDR S&P China_etf_Close_min,SPDR S&P China_etf_Close_volatility,SPDR S&P China_etf_Close_change
2018-01-14,118.12,118.12,118.12,0.0,0.0,118.59,118.59,118.59,0.0,0.0,117.66,117.66,117.66,0.0,0.0,118.55,118.55,118.55,0.0,0.0
2018-01-21,122.7,122.7,122.7,0.0,0.0,123.91,123.91,123.91,0.0,0.0,122.66,122.66,122.66,0.0,0.0,123.84,123.84,123.84,0.0,0.0
2018-01-28,118.35,118.35,118.35,0.0,0.0,119.03,119.03,119.03,0.0,0.0,115.78,115.78,115.78,0.0,0.0,115.97,115.97,115.97,0.0,0.0
2018-02-04,105.78,105.78,105.78,0.0,0.0,107.13,107.13,107.13,0.0,0.0,102.83,102.83,102.83,0.0,0.0,106.39,106.39,106.39,0.0,0.0
2018-02-11,114.85,114.85,114.85,0.0,0.0,115.99,115.99,115.99,0.0,0.0,114.24,114.24,114.24,0.0,0.0,114.7,114.7,114.7,0.0,0.0
2018-02-18,115.97,115.97,115.97,0.0,0.0,116.76,116.76,116.76,0.0,0.0,115.4,115.4,115.4,0.0,0.0,116.76,116.76,116.76,0.0,0.0
2018-02-25,109.97,109.97,109.97,0.0,0.0,111.78,111.78,111.78,0.0,0.0,108.91,108.91,108.91,0.0,0.0,111.64,111.64,111.64,0.0,0.0
2018-03-04,114.73,114.73,114.73,0.0,0.0,116.35,116.35,116.35,0.0,0.0,114.69,114.69,114.69,0.0,0.0,116.35,116.35,116.35,0.0,0.0
2018-03-11,116.69,116.69,116.69,0.0,0.0,117.19,117.19,117.19,0.0,0.0,116.45,116.45,116.45,0.0,0.0,117.02,117.02,117.02,0.0,0.0
2018-03-18,110.47,110.47,110.47,0.0,0.0,110.59,110.59,110.59,0.0,0.0,108.06,108.06,108.06,0.0,0.0,108.16,108.16,108.16,0.0,0.0
