Date,ProShares Short Dow30_Open_average,ProShares Short Dow30_Open_max,ProShares Short Dow30_Open_min,ProShares Short Dow30_Open_volatility,ProShares Short Dow30_Open_change,ProShares Short Dow30_High_average,ProShares Short Dow30_High_max,ProShares Short Dow30_High_min,ProShares Short Dow30_High_volatility,ProShares Short Dow30_High_change,ProShares Short Dow30_Low_average,ProShares Short Dow30_Low_max,ProShares Short Dow30_Low_min,ProShares Short Dow30_Low_volatility,ProShares Short Dow30_Low_change,ProShares Short Dow30_Close_average,ProShares Short Dow30_Close_max,ProShares Short Dow30_Close_min,ProShares Short Dow30_Close_volatility,ProShares Short Dow30_Close_change
2018-01-14,56.84,56.84,56.84,0.0,0.0,56.88,56.88,56.88,0.0,0.0,56.36,56.36,56.36,0.0,0.0,56.36,56.36,56.36,0.0,0.0
2018-01-21,55.68,55.68,55.68,0.0,0.0,55.92,55.92,55.92,0.0,0.0,55.56,55.56,55.56,0.0,0.0,55.92,55.92,55.92,0.0,0.0
2018-01-28,58.64,58.64,58.64,0.0,0.0,61.52,61.52,61.52,0.0,0.0,57.92,57.92,57.92,0.0,0.0,60.6,60.6,60.6,0.0,0.0
2018-02-04,60.2,60.2,60.2,0.0,0.0,60.48,60.48,60.48,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.68,59.68,59.68,0.0,0.0
2018-02-11,58.36,58.36,58.36,0.0,0.0,58.36,58.36,58.36,0.0,0.0,57.68,57.68,57.68,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-02-18,57.6,57.6,57.6,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.0,57.0,57.0,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-02-25,60.08,60.08,60.08,0.0,0.0,60.12,60.12,60.12,0.0,0.0,58.7,58.7,58.7,0.0,0.0,58.92,58.92,58.92,0.0,0.0
2018-03-04,57.68,57.68,57.68,0.0,0.0,58.22,58.22,58.22,0.0,0.0,57.52,57.52,57.52,0.0,0.0,58.16,58.16,58.16,0.0,0.0
2018-03-11,58.96,58.96,58.96,0.0,0.0,59.84,59.84,59.84,0.0,0.0,58.92,58.92,58.92,0.0,0.0,59.52,59.52,59.52,0.0,0.0
2018-03-18,61.04,61.04,61.04,0.0,0.0,61.56,61.56,61.56,0.0,0.0,60.25,60.25,60.25,0.0,0.0,60.32,60.32,60.32,0.0,0.0
2018-03-25,60.76,60.76,60.76,0.0,0.0,62.52,62.52,62.52,0.0,0.0,60.6,60.6,60.6,0.0,0.0,61.8,61.8,61.8,0.0,0.0
2018-04-01,60.44,60.44,60.44,0.0,0.0,60.92,60.92,60.92,0.0,0.0,59.84,59.84,59.84,0.0,0.0,60.88,60.88,60.88,0.0,0.0
