Date,Direxion Daily Semiconductor Bear 3X Shares_Open_average,Direxion Daily Semiconductor Bear 3X Shares_Open_max,Direxion Daily Semiconductor Bear 3X Shares_Open_min,Direxion Daily Semiconductor Bear 3X Shares_Open_volatility,Direxion Daily Semiconductor Bear 3X Shares_Open_change,Direxion Daily Semiconductor Bear 3X Shares_High_average,Direxion Daily Semiconductor Bear 3X Shares_High_max,Direxion Daily Semiconductor Bear 3X Shares_High_min,Direxion Daily Semiconductor Bear 3X Shares_High_volatility,Direxion Daily Semiconductor Bear 3X Shares_High_change,Direxion Daily Semiconductor Bear 3X Shares_Low_average,Direxion Daily Semiconductor Bear 3X Shares_Low_max,Direxion Daily Semiconductor Bear 3X Shares_Low_min,Direxion Daily Semiconductor Bear 3X Shares_Low_volatility,Direxion Daily Semiconductor Bear 3X Shares_Low_change,Direxion Daily Semiconductor Bear 3X Shares_Close_average,Direxion Daily Semiconductor Bear 3X Shares_Close_max,Direxion Daily Semiconductor Bear 3X Shares_Close_min,Direxion Daily Semiconductor Bear 3X Shares_Close_volatility,Direxion Daily Semiconductor Bear 3X Shares_Close_change
2018-01-14,123.2,123.2,123.2,0.0,0.0,125.5,125.5,125.5,0.0,0.0,121.5,121.5,121.5,0.0,0.0,121.5,121.5,121.5,0.0,0.0
2018-01-21,122.1,122.1,122.1,0.0,0.0,125.4,125.4,125.4,0.0,0.0,118.6,118.6,118.6,0.0,0.0,121.1,121.1,121.1,0.0,0.0
2018-01-28,142.2,142.2,142.2,0.0,0.0,157.6,157.6,157.6,0.0,0.0,134.1,134.1,134.1,0.0,0.0,156.6,156.6,156.6,0.0,0.0
2018-02-04,148.2,148.2,148.2,0.0,0.0,151.0,151.0,151.0,0.0,0.0,141.0,141.0,141.0,0.0,0.0,144.0,144.0,144.0,0.0,0.0
2018-02-11,132.4,132.4,132.4,0.0,0.0,132.4,132.4,132.4,0.0,0.0,126.31,126.31,126.31,0.0,0.0,131.2,131.2,131.2,0.0,0.0
2018-02-18,118.6,118.6,118.6,0.0,0.0,119.1,119.1,119.1,0.0,0.0,113.1,113.1,113.1,0.0,0.0,113.2,113.2,113.2,0.0,0.0
2018-02-25,118.6,118.6,118.6,0.0,0.0,120.2,120.2,120.2,0.0,0.0,111.8,111.8,111.8,0.0,0.0,113.5,113.5,113.5,0.0,0.0
2018-03-04,98.4,98.4,98.4,0.0,0.0,99.2,99.2,99.2,0.0,0.0,95.72,95.72,95.72,0.0,0.0,97.4,97.4,97.4,0.0,0.0
2018-03-11,105.0,105.0,105.0,0.0,0.0,112.4,112.4,112.4,0.0,0.0,103.8,103.8,103.8,0.0,0.0,108.2,108.2,108.2,0.0,0.0
2018-03-18,116.3,116.3,116.3,0.0,0.0,120.7,120.7,120.7,0.0,0.0,108.9,108.9,108.9,0.0,0.0,109.1,109.1,109.1,0.0,0.0
