Date,ProShares MSCI EAFE Dividend Growers_Open_average,ProShares MSCI EAFE Dividend Growers_Open_max,ProShares MSCI EAFE Dividend Growers_Open_min,ProShares MSCI EAFE Dividend Growers_Open_volatility,ProShares MSCI EAFE Dividend Growers_Open_change,ProShares MSCI EAFE Dividend Growers_High_average,ProShares MSCI EAFE Dividend Growers_High_max,ProShares MSCI EAFE Dividend Growers_High_min,ProShares MSCI EAFE Dividend Growers_High_volatility,ProShares MSCI EAFE Dividend Growers_High_change,ProShares MSCI EAFE Dividend Growers_Low_average,ProShares MSCI EAFE Dividend Growers_Low_max,ProShares MSCI EAFE Dividend Growers_Low_min,ProShares MSCI EAFE Dividend Growers_Low_volatility,ProShares MSCI EAFE Dividend Growers_Low_change,ProShares MSCI EAFE Dividend Growers_Close_average,ProShares MSCI EAFE Dividend Growers_Close_max,ProShares MSCI EAFE Dividend Growers_Close_min,ProShares MSCI EAFE Dividend Growers_Close_volatility,ProShares MSCI EAFE Dividend Growers_Close_change
2018-01-14,39.5,39.5,39.5,0.0,0.0,39.72,39.72,39.72,0.0,0.0,39.5,39.5,39.5,0.0,0.0,39.72,39.72,39.72,0.0,0.0
2018-01-21,39.9,39.9,39.9,0.0,0.0,40.06,40.06,40.06,0.0,0.0,39.9,39.9,39.9,0.0,0.0,39.9,39.9,39.9,0.0,0.0
2018-01-28,38.4,38.4,38.4,0.0,0.0,38.64,38.64,38.64,0.0,0.0,37.5,37.5,37.5,0.0,0.0,37.52,37.52,37.52,0.0,0.0
2018-02-04,37.18,37.18,37.18,0.0,0.0,37.56,37.56,37.56,0.0,0.0,37.08,37.08,37.08,0.0,0.0,37.43,37.43,37.43,0.0,0.0
2018-02-11,38.62,38.62,38.62,0.0,0.0,38.8,38.8,38.8,0.0,0.0,38.3,38.3,38.3,0.0,0.0,38.67,38.67,38.67,0.0,0.0
2018-02-18,38.69,38.69,38.69,0.0,0.0,38.82,38.82,38.82,0.0,0.0,38.53,38.53,38.53,0.0,0.0,38.81,38.81,38.81,0.0,0.0
2018-02-25,37.43,37.43,37.43,0.0,0.0,37.79,37.79,37.79,0.0,0.0,37.43,37.43,37.43,0.0,0.0,37.77,37.77,37.77,0.0,0.0
2018-03-04,38.31,38.31,38.31,0.0,0.0,38.33,38.33,38.33,0.0,0.0,38.24,38.24,38.24,0.0,0.0,38.27,38.27,38.27,0.0,0.0
2018-03-11,38.24,38.24,38.24,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.85,37.85,37.85,0.0,0.0,38.06,38.06,38.06,0.0,0.0
2018-03-18,37.54,37.54,37.54,0.0,0.0,37.57,37.57,37.57,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.57,37.57,37.57,0.0,0.0
2018-03-25,37.84,37.84,37.84,0.0,0.0,37.84,37.84,37.84,0.0,0.0,37.34,37.34,37.34,0.0,0.0,37.42,37.42,37.42,0.0,0.0
2018-04-01,38.46,38.46,38.46,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.42,38.42,38.42,0.0,0.0,38.52,38.52,38.52,0.0,0.0
2018-04-08,38.68,38.68,38.68,0.0,0.0,38.74,38.74,38.74,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2018-04-15,38.58,38.58,38.58,0.0,0.0,38.58,38.58,38.58,0.0,0.0,38.34,38.34,38.34,0.0,0.0,38.39,38.39,38.39,0.0,0.0
2018-04-22,38.61,38.61,38.61,0.0,0.0,38.7,38.7,38.7,0.0,0.0,38.55,38.55,38.55,0.0,0.0,38.55,38.55,38.55,0.0,0.0
2018-04-29,38.54,38.54,38.54,0.0,0.0,38.61,38.61,38.61,0.0,0.0,38.48,38.48,38.48,0.0,0.0,38.55,38.55,38.55,0.0,0.0
