Date,SPDR MFS Systematic Value Equity_Open_average,SPDR MFS Systematic Value Equity_Open_max,SPDR MFS Systematic Value Equity_Open_min,SPDR MFS Systematic Value Equity_Open_volatility,SPDR MFS Systematic Value Equity_Open_change,SPDR MFS Systematic Value Equity_High_average,SPDR MFS Systematic Value Equity_High_max,SPDR MFS Systematic Value Equity_High_min,SPDR MFS Systematic Value Equity_High_volatility,SPDR MFS Systematic Value Equity_High_change,SPDR MFS Systematic Value Equity_Low_average,SPDR MFS Systematic Value Equity_Low_max,SPDR MFS Systematic Value Equity_Low_min,SPDR MFS Systematic Value Equity_Low_volatility,SPDR MFS Systematic Value Equity_Low_change,SPDR MFS Systematic Value Equity_Close_average,SPDR MFS Systematic Value Equity_Close_max,SPDR MFS Systematic Value Equity_Close_min,SPDR MFS Systematic Value Equity_Close_volatility,SPDR MFS Systematic Value Equity_Close_change
2018-01-14,69.38,69.38,69.38,0.0,0.0,69.81,69.81,69.81,0.0,0.0,69.27,69.27,69.27,0.0,0.0,69.81,69.81,69.81,0.0,0.0
2018-01-21,70.21,70.21,70.21,0.0,0.0,70.61,70.61,70.61,0.0,0.0,70.21,70.21,70.21,0.0,0.0,70.28,70.28,70.28,0.0,0.0
2018-01-28,67.47,67.47,67.47,0.0,0.0,67.47,67.47,67.47,0.0,0.0,64.64,64.64,64.64,0.0,0.0,64.77,64.77,64.77,0.0,0.0
2018-02-04,65.02,65.02,65.02,0.0,0.0,65.32,65.32,65.32,0.0,0.0,64.55,64.55,64.55,0.0,0.0,64.96,64.96,64.96,0.0,0.0
2018-02-11,66.4,66.4,66.4,0.0,0.0,66.85,66.85,66.85,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.57,66.57,66.57,0.0,0.0
2018-02-18,67.65,67.65,67.65,0.0,0.0,67.65,67.65,67.65,0.0,0.0,67.64,67.64,67.64,0.0,0.0,67.65,67.65,67.65,0.0,0.0
2018-02-25,65.53,65.53,65.53,0.0,0.0,66.2,66.2,66.2,0.0,0.0,65.33,65.33,65.33,0.0,0.0,66.2,66.2,66.2,0.0,0.0
2018-03-04,67.85,67.85,67.85,0.0,0.0,67.85,67.85,67.85,0.0,0.0,67.72,67.72,67.72,0.0,0.0,67.81,67.81,67.81,0.0,0.0
2018-03-11,66.7,66.7,66.7,0.0,0.0,66.7,66.7,66.7,0.0,0.0,66.1,66.1,66.1,0.0,0.0,66.13,66.13,66.13,0.0,0.0
2018-03-18,64.7,64.7,64.7,0.0,0.0,65.43,65.43,65.43,0.0,0.0,64.41,64.41,64.41,0.0,0.0,65.38,65.38,65.38,0.0,0.0
