Date,Global X FinTech Thematic_Open_average,Global X FinTech Thematic_Open_max,Global X FinTech Thematic_Open_min,Global X FinTech Thematic_Open_volatility,Global X FinTech Thematic_Open_change,Global X FinTech Thematic_High_average,Global X FinTech Thematic_High_max,Global X FinTech Thematic_High_min,Global X FinTech Thematic_High_volatility,Global X FinTech Thematic_High_change,Global X FinTech Thematic_Low_average,Global X FinTech Thematic_Low_max,Global X FinTech Thematic_Low_min,Global X FinTech Thematic_Low_volatility,Global X FinTech Thematic_Low_change,Global X FinTech Thematic_Close_average,Global X FinTech Thematic_Close_max,Global X FinTech Thematic_Close_min,Global X FinTech Thematic_Close_volatility,Global X FinTech Thematic_Close_change
2018-01-14,23.72,23.72,23.72,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.82,23.82,23.82,0.0,0.0
2018-01-21,24.06,24.06,24.06,0.0,0.0,24.2,24.2,24.2,0.0,0.0,23.98,23.98,23.98,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-01-28,23.51,23.51,23.51,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.07,23.07,23.07,0.0,0.0,23.09,23.09,23.09,0.0,0.0
2018-02-04,22.14,22.14,22.14,0.0,0.0,22.32,22.32,22.32,0.0,0.0,21.54,21.54,21.54,0.0,0.0,22.11,22.11,22.11,0.0,0.0
2018-02-11,23.51,23.51,23.51,0.0,0.0,23.72,23.72,23.72,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.58,23.58,23.58,0.0,0.0
2018-02-18,23.14,23.14,23.14,0.0,0.0,23.25,23.25,23.25,0.0,0.0,22.9,22.9,22.9,0.0,0.0,23.2,23.2,23.2,0.0,0.0
2018-02-25,22.78,22.78,22.78,0.0,0.0,23.11,23.11,23.11,0.0,0.0,22.62,22.62,22.62,0.0,0.0,23.11,23.11,23.11,0.0,0.0
2018-03-04,24.08,24.08,24.08,0.0,0.0,24.2,24.2,24.2,0.0,0.0,24.0,24.0,24.0,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-03-11,24.48,24.48,24.48,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.34,24.34,24.34,0.0,0.0,24.42,24.42,24.42,0.0,0.0
2018-03-18,23.84,23.84,23.84,0.0,0.0,23.87,23.87,23.87,0.0,0.0,23.31,23.31,23.31,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2018-03-25,23.2,23.2,23.2,0.0,0.0,23.53,23.53,23.53,0.0,0.0,23.04,23.04,23.04,0.0,0.0,23.38,23.38,23.38,0.0,0.0
2018-04-01,22.94,22.94,22.94,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.6,22.6,22.6,0.0,0.0,22.72,22.72,22.72,0.0,0.0
2018-04-08,23.67,23.67,23.67,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.12,23.12,23.12,0.0,0.0,23.29,23.29,23.29,0.0,0.0
2018-04-15,23.96,23.96,23.96,0.0,0.0,24.04,24.04,24.04,0.0,0.0,23.8,23.8,23.8,0.0,0.0,23.89,23.89,23.89,0.0,0.0
2018-04-22,23.55,23.55,23.55,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.38,23.38,23.38,0.0,0.0,23.47,23.47,23.47,0.0,0.0
2018-04-29,23.89,23.89,23.89,0.0,0.0,24.24,24.24,24.24,0.0,0.0,23.72,23.72,23.72,0.0,0.0,24.1,24.1,24.1,0.0,0.0
2018-05-06,25.18,25.18,25.18,0.0,0.0,25.24,25.24,25.24,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.2,25.2,25.2,0.0,0.0
2018-05-13,25.36,25.36,25.36,0.0,0.0,25.61,25.61,25.61,0.0,0.0,25.32,25.32,25.32,0.0,0.0,25.59,25.59,25.59,0.0,0.0
2018-05-20,25.61,25.61,25.61,0.0,0.0,25.72,25.72,25.72,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.64,25.64,25.64,0.0,0.0
2018-05-27,25.75,25.75,25.75,0.0,0.0,25.8,25.8,25.8,0.0,0.0,25.58,25.58,25.58,0.0,0.0,25.73,25.73,25.73,0.0,0.0
2018-06-03,26.28,26.28,26.28,0.0,0.0,26.6,26.6,26.6,0.0,0.0,26.26,26.26,26.26,0.0,0.0,26.56,26.56,26.56,0.0,0.0
2018-06-10,27.1,27.1,27.1,0.0,0.0,27.21,27.21,27.21,0.0,0.0,26.73,26.73,26.73,0.0,0.0,27.13,27.13,27.13,0.0,0.0
2018-06-17,27.31,27.31,27.31,0.0,0.0,27.38,27.38,27.38,0.0,0.0,26.95,26.95,26.95,0.0,0.0,27.12,27.12,27.12,0.0,0.0
2018-06-24,26.06,26.06,26.06,0.0,0.0,26.2,26.2,26.2,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-07-01,26.49,26.49,26.49,0.0,0.0,26.78,26.78,26.78,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.72,26.72,26.72,0.0,0.0
