Date,iShares US Basic Materials_Open_average,iShares US Basic Materials_Open_max,iShares US Basic Materials_Open_min,iShares US Basic Materials_Open_volatility,iShares US Basic Materials_Open_change,iShares US Basic Materials_High_average,iShares US Basic Materials_High_max,iShares US Basic Materials_High_min,iShares US Basic Materials_High_volatility,iShares US Basic Materials_High_change,iShares US Basic Materials_Low_average,iShares US Basic Materials_Low_max,iShares US Basic Materials_Low_min,iShares US Basic Materials_Low_volatility,iShares US Basic Materials_Low_change,iShares US Basic Materials_Close_average,iShares US Basic Materials_Close_max,iShares US Basic Materials_Close_min,iShares US Basic Materials_Close_volatility,iShares US Basic Materials_Close_change
2018-01-14,106.59,106.59,106.59,0.0,0.0,106.71,106.71,106.71,0.0,0.0,106.18,106.18,106.18,0.0,0.0,106.64,106.64,106.64,0.0,0.0
2018-01-21,108.12,108.12,108.12,0.0,0.0,108.32,108.32,108.32,0.0,0.0,107.07,107.07,107.07,0.0,0.0,107.1,107.1,107.1,0.0,0.0
2018-01-28,101.2,101.2,101.2,0.0,0.0,102.54,102.54,102.54,0.0,0.0,98.09,98.09,98.09,0.0,0.0,98.35,98.35,98.35,0.0,0.0
2018-02-04,98.98,98.98,98.98,0.0,0.0,100.93,100.93,100.93,0.0,0.0,98.83,98.83,98.83,0.0,0.0,100.49,100.49,100.49,0.0,0.0
2018-02-11,102.18,102.18,102.18,0.0,0.0,103.4,103.4,103.4,0.0,0.0,101.8,101.8,101.8,0.0,0.0,102.49,102.49,102.49,0.0,0.0
2018-02-18,104.32,104.32,104.32,0.0,0.0,104.32,104.32,104.32,0.0,0.0,103.26,103.26,103.26,0.0,0.0,104.27,104.27,104.27,0.0,0.0
2018-02-25,99.45,99.45,99.45,0.0,0.0,101.7,101.7,101.7,0.0,0.0,99.45,99.45,99.45,0.0,0.0,101.46,101.46,101.46,0.0,0.0
2018-03-04,104.12,104.12,104.12,0.0,0.0,104.79,104.79,104.79,0.0,0.0,103.82,103.82,103.82,0.0,0.0,103.92,103.92,103.92,0.0,0.0
2018-03-11,100.37,100.37,100.37,0.0,0.0,100.37,100.37,100.37,0.0,0.0,98.46,98.46,98.46,0.0,0.0,99.17,99.17,99.17,0.0,0.0
2018-03-18,95.76,95.76,95.76,0.0,0.0,96.47,96.47,96.47,0.0,0.0,94.71,94.71,94.71,0.0,0.0,96.37,96.37,96.37,0.0,0.0
2018-03-25,95.71,95.71,95.71,0.0,0.0,96.26,96.26,96.26,0.0,0.0,93.29,93.29,93.29,0.0,0.0,94.0,94.0,94.0,0.0,0.0
2018-04-01,96.2,96.2,96.2,0.0,0.0,97.42,97.42,97.42,0.0,0.0,95.69,95.69,95.69,0.0,0.0,96.22,96.22,96.22,0.0,0.0
2018-04-08,99.52,99.52,99.52,0.0,0.0,100.45,100.45,100.45,0.0,0.0,99.14,99.14,99.14,0.0,0.0,100.34,100.34,100.34,0.0,0.0
2018-04-15,100.19,100.19,100.19,0.0,0.0,100.72,100.72,100.72,0.0,0.0,99.94,99.94,99.94,0.0,0.0,100.22,100.22,100.22,0.0,0.0
2018-04-22,99.04,99.04,99.04,0.0,0.0,99.04,99.04,99.04,0.0,0.0,97.36,97.36,97.36,0.0,0.0,97.38,97.38,97.38,0.0,0.0
2018-04-29,98.9,98.9,98.9,0.0,0.0,99.55,99.55,99.55,0.0,0.0,98.63,98.63,98.63,0.0,0.0,98.9,98.9,98.9,0.0,0.0
2018-05-06,100.89,100.89,100.89,0.0,0.0,101.38,101.38,101.38,0.0,0.0,100.69,100.69,100.69,0.0,0.0,101.08,101.08,101.08,0.0,0.0
2018-05-13,103.06,103.06,103.06,0.0,0.0,103.28,103.28,103.28,0.0,0.0,102.61,102.61,102.61,0.0,0.0,103.03,103.03,103.03,0.0,0.0
2018-05-20,100.94,100.94,100.94,0.0,0.0,100.94,100.94,100.94,0.0,0.0,100.41,100.41,100.41,0.0,0.0,100.72,100.72,100.72,0.0,0.0
2018-05-27,101.32,101.32,101.32,0.0,0.0,101.79,101.79,101.79,0.0,0.0,101.24,101.24,101.24,0.0,0.0,101.44,101.44,101.44,0.0,0.0
2018-06-03,103.87,103.87,103.87,0.0,0.0,104.09,104.09,104.09,0.0,0.0,103.5,103.5,103.5,0.0,0.0,103.84,103.84,103.84,0.0,0.0
