Date,ProShares UltraShort Real Estate_Open_average,ProShares UltraShort Real Estate_Open_max,ProShares UltraShort Real Estate_Open_min,ProShares UltraShort Real Estate_Open_volatility,ProShares UltraShort Real Estate_Open_change,ProShares UltraShort Real Estate_High_average,ProShares UltraShort Real Estate_High_max,ProShares UltraShort Real Estate_High_min,ProShares UltraShort Real Estate_High_volatility,ProShares UltraShort Real Estate_High_change,ProShares UltraShort Real Estate_Low_average,ProShares UltraShort Real Estate_Low_max,ProShares UltraShort Real Estate_Low_min,ProShares UltraShort Real Estate_Low_volatility,ProShares UltraShort Real Estate_Low_change,ProShares UltraShort Real Estate_Close_average,ProShares UltraShort Real Estate_Close_max,ProShares UltraShort Real Estate_Close_min,ProShares UltraShort Real Estate_Close_volatility,ProShares UltraShort Real Estate_Close_change
2018-01-14,31.87,31.87,31.87,0.0,0.0,32.04,32.04,32.04,0.0,0.0,31.35,31.35,31.35,0.0,0.0,31.41,31.41,31.41,0.0,0.0
2018-01-21,30.98,30.98,30.98,0.0,0.0,31.67,31.67,31.67,0.0,0.0,30.98,30.98,30.98,0.0,0.0,31.63,31.63,31.63,0.0,0.0
2018-01-28,32.98,32.98,32.98,0.0,0.0,34.54,34.54,34.54,0.0,0.0,32.4,32.4,32.4,0.0,0.0,34.37,34.37,34.37,0.0,0.0
2018-02-04,34.82,34.82,34.82,0.0,0.0,36.8,36.8,36.8,0.0,0.0,34.62,34.62,34.62,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-02-11,34.17,34.17,34.17,0.0,0.0,34.17,34.17,34.17,0.0,0.0,33.5,33.5,33.5,0.0,0.0,33.63,33.63,33.63,0.0,0.0
2018-02-18,33.59,33.59,33.59,0.0,0.0,34.02,34.02,34.02,0.0,0.0,33.34,33.34,33.34,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-02-25,35.78,35.78,35.78,0.0,0.0,36.03,36.03,36.03,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-03-04,33.19,33.19,33.19,0.0,0.0,33.25,33.25,33.25,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.82,32.82,32.82,0.0,0.0
2018-03-11,32.56,32.56,32.56,0.0,0.0,33.28,33.28,33.28,0.0,0.0,32.55,32.55,32.55,0.0,0.0,32.94,32.94,32.94,0.0,0.0
2018-03-18,34.47,34.47,34.47,0.0,0.0,34.87,34.87,34.87,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.14,34.14,34.14,0.0,0.0
2018-03-25,32.83,32.83,32.83,0.0,0.0,33.91,33.91,33.91,0.0,0.0,32.46,32.46,32.46,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-04-01,32.96,32.96,32.96,0.0,0.0,33.03,33.03,33.03,0.0,0.0,32.5,32.5,32.5,0.0,0.0,32.99,32.99,32.99,0.0,0.0
2018-04-08,33.43,33.43,33.43,0.0,0.0,33.51,33.51,33.51,0.0,0.0,32.93,32.93,32.93,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-04-15,34.03,34.03,34.03,0.0,0.0,34.21,34.21,34.21,0.0,0.0,33.69,33.69,33.69,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-04-22,32.29,32.29,32.29,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-04-29,31.38,31.38,31.38,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-05-06,30.68,30.68,30.68,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.68,30.68,30.68,0.0,0.0,31.25,31.25,31.25,0.0,0.0
2018-05-13,32.49,32.49,32.49,0.0,0.0,32.75,32.75,32.75,0.0,0.0,31.79,31.79,31.79,0.0,0.0,31.87,31.87,31.87,0.0,0.0
2018-05-20,31.44,31.44,31.44,0.0,0.0,31.47,31.47,31.47,0.0,0.0,31.07,31.07,31.07,0.0,0.0,31.22,31.22,31.22,0.0,0.0
2018-05-27,30.16,30.16,30.16,0.0,0.0,30.16,30.16,30.16,0.0,0.0,29.64,29.64,29.64,0.0,0.0,29.64,29.64,29.64,0.0,0.0
2018-06-03,29.54,29.54,29.54,0.0,0.0,29.54,29.54,29.54,0.0,0.0,29.36,29.36,29.36,0.0,0.0,29.47,29.47,29.47,0.0,0.0
2018-06-10,29.91,29.91,29.91,0.0,0.0,30.11,30.11,30.11,0.0,0.0,29.74,29.74,29.74,0.0,0.0,29.75,29.75,29.75,0.0,0.0
2018-06-17,28.58,28.58,28.58,0.0,0.0,28.96,28.96,28.96,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.66,28.66,28.66,0.0,0.0
2018-06-24,28.24,28.24,28.24,0.0,0.0,28.88,28.88,28.88,0.0,0.0,28.07,28.07,28.07,0.0,0.0,28.37,28.37,28.37,0.0,0.0
2018-07-01,27.02,27.02,27.02,0.0,0.0,27.7,27.7,27.7,0.0,0.0,27.02,27.02,27.02,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-07-08,27.93,27.93,27.93,0.0,0.0,28.09,28.09,28.09,0.0,0.0,27.71,27.71,27.71,0.0,0.0,27.78,27.78,27.78,0.0,0.0
