Date,ProShares UltraPro Short S&P500_Open_average,ProShares UltraPro Short S&P500_Open_max,ProShares UltraPro Short S&P500_Open_min,ProShares UltraPro Short S&P500_Open_volatility,ProShares UltraPro Short S&P500_Open_change,ProShares UltraPro Short S&P500_High_average,ProShares UltraPro Short S&P500_High_max,ProShares UltraPro Short S&P500_High_min,ProShares UltraPro Short S&P500_High_volatility,ProShares UltraPro Short S&P500_High_change,ProShares UltraPro Short S&P500_Low_average,ProShares UltraPro Short S&P500_Low_max,ProShares UltraPro Short S&P500_Low_min,ProShares UltraPro Short S&P500_Low_volatility,ProShares UltraPro Short S&P500_Low_change,ProShares UltraPro Short S&P500_Close_average,ProShares UltraPro Short S&P500_Close_max,ProShares UltraPro Short S&P500_Close_min,ProShares UltraPro Short S&P500_Close_volatility,ProShares UltraPro Short S&P500_Close_change
2018-01-14,39.4,39.4,39.4,0.0,0.0,39.4,39.4,39.4,0.0,0.0,38.32,38.32,38.32,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-01-21,37.0,37.0,37.0,0.0,0.0,37.6,37.6,37.6,0.0,0.0,36.84,36.84,36.84,0.0,0.0,37.48,37.48,37.48,0.0,0.0
2018-01-28,42.24,42.24,42.24,0.0,0.0,46.76,46.76,46.76,0.0,0.0,41.12,41.12,41.12,0.0,0.0,46.36,46.36,46.36,0.0,0.0
2018-02-04,46.04,46.04,46.04,0.0,0.0,47.11,47.11,47.11,0.0,0.0,44.36,44.36,44.36,0.0,0.0,45.28,45.28,45.28,0.0,0.0
2018-02-11,41.84,41.84,41.84,0.0,0.0,41.84,41.84,41.84,0.0,0.0,40.4,40.4,40.4,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-02-18,40.16,40.16,40.16,0.0,0.0,40.44,40.44,40.44,0.0,0.0,39.2,39.2,39.2,0.0,0.0,39.28,39.28,39.28,0.0,0.0
2018-02-25,43.88,43.88,43.88,0.0,0.0,43.9,43.9,43.9,0.0,0.0,41.36,41.36,41.36,0.0,0.0,41.64,41.64,41.64,0.0,0.0
2018-03-04,38.56,38.56,38.56,0.0,0.0,39.06,39.06,39.06,0.0,0.0,38.28,38.28,38.28,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2018-03-11,40.68,40.68,40.68,0.0,0.0,42.72,42.72,42.72,0.0,0.0,40.64,40.64,40.64,0.0,0.0,41.84,41.84,41.84,0.0,0.0
2018-03-18,45.6,45.6,45.6,0.0,0.0,47.16,47.16,47.16,0.0,0.0,43.8,43.8,43.8,0.0,0.0,43.92,43.92,43.92,0.0,0.0
2018-03-25,45.2,45.2,45.2,0.0,0.0,49.2,49.2,49.2,0.0,0.0,44.9,44.9,44.9,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-04-01,45.44,45.44,45.44,0.0,0.0,45.96,45.96,45.96,0.0,0.0,43.64,43.64,43.64,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-04-08,42.68,42.68,42.68,0.0,0.0,43.11,43.11,43.11,0.0,0.0,42.04,42.04,42.04,0.0,0.0,42.4,42.4,42.4,0.0,0.0
2018-04-15,42.48,42.48,42.48,0.0,0.0,43.44,43.44,43.44,0.0,0.0,42.2,42.2,42.2,0.0,0.0,42.8,42.8,42.8,0.0,0.0
