Date,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Open_change,PowerShares KBW Premium Yield Equity REIT Portfoli_High_average,PowerShares KBW Premium Yield Equity REIT Portfoli_High_max,PowerShares KBW Premium Yield Equity REIT Portfoli_High_min,PowerShares KBW Premium Yield Equity REIT Portfoli_High_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_High_change,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Low_change,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_average,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_max,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_min,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_volatility,PowerShares KBW Premium Yield Equity REIT Portfoli_Close_change
2018-01-14,33.99,33.99,33.99,0.0,0.0,34.2,34.2,34.2,0.0,0.0,33.84,33.84,33.84,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-01-21,34.58,34.58,34.58,0.0,0.0,34.58,34.58,34.58,0.0,0.0,34.0,34.0,34.0,0.0,0.0,34.22,34.22,34.22,0.0,0.0
2018-01-28,32.8,32.8,32.8,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.1,32.1,32.1,0.0,0.0,32.36,32.36,32.36,0.0,0.0
2018-02-04,30.57,30.57,30.57,0.0,0.0,31.03,31.03,31.03,0.0,0.0,29.9,29.9,29.9,0.0,0.0,30.83,30.83,30.83,0.0,0.0
2018-02-11,31.19,31.19,31.19,0.0,0.0,31.69,31.69,31.69,0.0,0.0,31.19,31.19,31.19,0.0,0.0,31.53,31.53,31.53,0.0,0.0
2018-02-18,30.75,30.75,30.75,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.75,30.75,30.75,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-02-25,30.56,30.56,30.56,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.14,30.14,30.14,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-03-04,31.59,31.59,31.59,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.16,31.16,31.16,0.0,0.0,31.39,31.39,31.39,0.0,0.0
2018-03-11,31.11,31.11,31.11,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.42,31.42,31.42,0.0,0.0
2018-03-18,30.56,30.56,30.56,0.0,0.0,30.59,30.59,30.59,0.0,0.0,29.85,29.85,29.85,0.0,0.0,29.9,29.9,29.9,0.0,0.0
