Date,iShares S&P 500 Growth_Open_average,iShares S&P 500 Growth_Open_max,iShares S&P 500 Growth_Open_min,iShares S&P 500 Growth_Open_volatility,iShares S&P 500 Growth_Open_change,iShares S&P 500 Growth_High_average,iShares S&P 500 Growth_High_max,iShares S&P 500 Growth_High_min,iShares S&P 500 Growth_High_volatility,iShares S&P 500 Growth_High_change,iShares S&P 500 Growth_Low_average,iShares S&P 500 Growth_Low_max,iShares S&P 500 Growth_Low_min,iShares S&P 500 Growth_Low_volatility,iShares S&P 500 Growth_Low_change,iShares S&P 500 Growth_Close_average,iShares S&P 500 Growth_Close_max,iShares S&P 500 Growth_Close_min,iShares S&P 500 Growth_Close_volatility,iShares S&P 500 Growth_Close_change
2018-01-14,161.48,161.48,161.48,0.0,0.0,162.86,162.86,162.86,0.0,0.0,161.37,161.37,161.37,0.0,0.0,162.85,162.85,162.85,0.0,0.0
2018-01-21,165.24,165.24,165.24,0.0,0.0,165.58,165.58,165.58,0.0,0.0,164.3,164.3,164.3,0.0,0.0,164.49,164.49,164.49,0.0,0.0
2018-01-28,158.12,158.12,158.12,0.0,0.0,160.28,160.28,160.28,0.0,0.0,152.6,152.6,152.6,0.0,0.0,152.98,152.98,152.98,0.0,0.0
2018-02-04,153.25,153.25,153.25,0.0,0.0,155.22,155.22,155.22,0.0,0.0,152.0,152.0,152.0,0.0,0.0,154.23,154.23,154.23,0.0,0.0
2018-02-11,159.03,159.03,159.03,0.0,0.0,160.75,160.75,160.75,0.0,0.0,159.03,159.03,159.03,0.0,0.0,159.41,159.41,159.41,0.0,0.0
2018-02-18,162.01,162.01,162.01,0.0,0.0,163.3,163.3,163.3,0.0,0.0,161.91,161.91,161.91,0.0,0.0,163.23,163.23,163.23,0.0,0.0
2018-02-25,157.59,157.59,157.59,0.0,0.0,160.58,160.58,160.58,0.0,0.0,157.3,157.3,157.3,0.0,0.0,160.18,160.18,160.18,0.0,0.0
2018-03-04,165.15,165.15,165.15,0.0,0.0,165.56,165.56,165.56,0.0,0.0,164.64,164.64,164.64,0.0,0.0,164.86,164.86,164.86,0.0,0.0
2018-03-11,162.22,162.22,162.22,0.0,0.0,162.22,162.22,162.22,0.0,0.0,159.25,159.25,159.25,0.0,0.0,160.52,160.52,160.52,0.0,0.0
2018-03-18,154.89,154.89,154.89,0.0,0.0,157.05,157.05,157.05,0.0,0.0,152.89,152.89,152.89,0.0,0.0,156.88,156.88,156.88,0.0,0.0
2018-03-25,153.96,153.96,153.96,0.0,0.0,154.5,154.5,154.5,0.0,0.0,149.36,149.36,149.36,0.0,0.0,150.92,150.92,150.92,0.0,0.0
2018-04-01,153.11,153.11,153.11,0.0,0.0,155.2,155.2,155.2,0.0,0.0,152.54,152.54,152.54,0.0,0.0,152.73,152.73,152.73,0.0,0.0
2018-04-08,156.68,156.68,156.68,0.0,0.0,157.24,157.24,157.24,0.0,0.0,156.05,156.05,156.05,0.0,0.0,156.75,156.75,156.75,0.0,0.0
2018-04-15,156.97,156.97,156.97,0.0,0.0,157.38,157.38,157.38,0.0,0.0,155.45,155.45,155.45,0.0,0.0,156.23,156.23,156.23,0.0,0.0
2018-04-22,156.61,156.61,156.61,0.0,0.0,157.18,157.18,157.18,0.0,0.0,155.02,155.02,155.02,0.0,0.0,155.04,155.04,155.04,0.0,0.0
2018-04-29,158.18,158.18,158.18,0.0,0.0,158.98,158.98,158.98,0.0,0.0,157.85,157.85,157.85,0.0,0.0,158.42,158.42,158.42,0.0,0.0
2018-05-06,162.36,162.36,162.36,0.0,0.0,162.8,162.8,162.8,0.0,0.0,161.66,161.66,161.66,0.0,0.0,161.97,161.97,161.97,0.0,0.0
2018-05-13,161.7,161.7,161.7,0.0,0.0,162.32,162.32,162.32,0.0,0.0,161.26,161.26,161.26,0.0,0.0,161.87,161.87,161.87,0.0,0.0
2018-05-20,162.02,162.02,162.02,0.0,0.0,162.69,162.69,162.69,0.0,0.0,161.91,161.91,161.91,0.0,0.0,162.14,162.14,162.14,0.0,0.0
2018-05-27,164.23,164.23,164.23,0.0,0.0,165.12,165.12,165.12,0.0,0.0,164.23,164.23,164.23,0.0,0.0,165.06,165.06,165.06,0.0,0.0
2018-06-03,166.47,166.47,166.47,0.0,0.0,167.08,167.08,167.08,0.0,0.0,166.37,166.37,166.37,0.0,0.0,166.59,166.59,166.59,0.0,0.0
2018-06-10,166.2,166.2,166.2,0.0,0.0,167.26,167.26,167.26,0.0,0.0,165.86,165.86,165.86,0.0,0.0,167.18,167.18,167.18,0.0,0.0
2018-06-17,164.46,164.46,164.46,0.0,0.0,164.6,164.6,164.6,0.0,0.0,161.33,161.33,161.33,0.0,0.0,162.53,162.53,162.53,0.0,0.0
2018-06-24,161.02,161.02,161.02,0.0,0.0,163.19,163.19,163.19,0.0,0.0,160.83,160.83,160.83,0.0,0.0,163.14,163.14,163.14,0.0,0.0
2018-07-01,166.24,166.24,166.24,0.0,0.0,166.8,166.8,166.8,0.0,0.0,165.76,165.76,165.76,0.0,0.0,166.77,166.77,166.77,0.0,0.0
2018-07-08,168.87,168.87,168.87,0.0,0.0,168.92,168.92,168.92,0.0,0.0,168.09,168.09,168.09,0.0,0.0,168.37,168.37,168.37,0.0,0.0
2018-07-15,168.66,168.66,168.66,0.0,0.0,169.18,169.18,169.18,0.0,0.0,168.06,168.06,168.06,0.0,0.0,169.11,169.11,169.11,0.0,0.0
2018-07-22,168.69,168.69,168.69,0.0,0.0,168.69,168.69,168.69,0.0,0.0,166.08,166.08,166.08,0.0,0.0,166.63,166.63,166.63,0.0,0.0
2018-07-29,170.15,170.15,170.15,0.0,0.0,171.01,171.01,171.01,0.0,0.0,169.89,169.89,169.89,0.0,0.0,170.97,170.97,170.97,0.0,0.0
2018-08-05,170.59,170.59,170.59,0.0,0.0,171.36,171.36,171.36,0.0,0.0,169.85,169.85,169.85,0.0,0.0,169.99,169.99,169.99,0.0,0.0
2018-08-12,171.36,171.36,171.36,0.0,0.0,171.42,171.42,171.42,0.0,0.0,170.63,170.63,170.63,0.0,0.0,171.12,171.12,171.12,0.0,0.0
2018-08-19,173.92,173.92,173.92,0.0,0.0,174.53,174.53,174.53,0.0,0.0,173.67,173.67,173.67,0.0,0.0,174.46,174.46,174.46,0.0,0.0
2018-08-26,175.46,175.46,175.46,0.0,0.0,176.23,176.23,176.23,0.0,0.0,175.28,175.28,175.28,0.0,0.0,175.8,175.8,175.8,0.0,0.0
2018-09-02,173.91,173.91,173.91,0.0,0.0,173.91,173.91,173.91,0.0,0.0,173.04,173.04,173.04,0.0,0.0,173.42,173.42,173.42,0.0,0.0
2018-09-09,175.46,175.46,175.46,0.0,0.0,175.48,175.48,175.48,0.0,0.0,173.74,173.74,173.74,0.0,0.0,173.93,173.93,173.93,0.0,0.0
2018-09-16,175.45,175.45,175.45,0.0,0.0,176.31,176.31,176.31,0.0,0.0,174.99,174.99,174.99,0.0,0.0,176.23,176.23,176.23,0.0,0.0
2018-09-23,177.51,177.51,177.51,0.0,0.0,178.14,178.14,178.14,0.0,0.0,176.85,176.85,176.85,0.0,0.0,177.25,177.25,177.25,0.0,0.0
2018-09-30,172.52,172.52,172.52,0.0,0.0,173.32,173.32,173.32,0.0,0.0,170.63,170.63,170.63,0.0,0.0,172.34,172.34,172.34,0.0,0.0
2018-10-07,165.97,165.97,165.97,0.0,0.0,166.38,166.38,166.38,0.0,0.0,164.52,164.52,164.52,0.0,0.0,164.76,164.76,164.76,0.0,0.0
2018-10-14,166.03,166.03,166.03,0.0,0.0,166.62,166.62,166.62,0.0,0.0,164.74,164.74,164.74,0.0,0.0,165.59,165.59,165.59,0.0,0.0
2018-10-21,161.72,161.72,161.72,0.0,0.0,162.47,162.47,162.47,0.0,0.0,154.65,154.65,154.65,0.0,0.0,157.43,157.43,157.43,0.0,0.0
2018-10-28,162.98,162.98,162.98,0.0,0.0,163.35,163.35,163.35,0.0,0.0,161.48,161.48,161.48,0.0,0.0,163.01,163.01,163.01,0.0,0.0
2018-11-04,165.3,165.3,165.3,0.0,0.0,165.3,165.3,165.3,0.0,0.0,161.85,161.85,161.85,0.0,0.0,162.09,162.09,162.09,0.0,0.0
2018-11-11,162.39,162.39,162.39,0.0,0.0,162.39,162.39,162.39,0.0,0.0,158.0,158.0,158.0,0.0,0.0,158.45,158.45,158.45,0.0,0.0
2018-11-18,157.4,157.4,157.4,0.0,0.0,158.5,158.5,158.5,0.0,0.0,156.83,156.83,156.83,0.0,0.0,158.45,158.45,158.45,0.0,0.0
2018-11-25,167.91,167.91,167.91,0.0,0.0,168.02,168.02,168.02,0.0,0.0,166.14,166.14,166.14,0.0,0.0,167.21,167.21,167.21,0.0,0.0
2018-12-02,156.91,156.91,156.91,0.0,0.0,158.96,158.96,158.96,0.0,0.0,154.87,154.87,154.87,0.0,0.0,158.33,158.33,158.33,0.0,0.0
2018-12-09,155.11,155.11,155.11,0.0,0.0,155.87,155.87,155.87,0.0,0.0,151.23,151.23,151.23,0.0,0.0,152.31,152.31,152.31,0.0,0.0
