Date,ProShares UltraShort Gold_etf_Open_average,ProShares UltraShort Gold_etf_Open_max,ProShares UltraShort Gold_etf_Open_min,ProShares UltraShort Gold_etf_Open_volatility,ProShares UltraShort Gold_etf_Open_change,ProShares UltraShort Gold_etf_High_average,ProShares UltraShort Gold_etf_High_max,ProShares UltraShort Gold_etf_High_min,ProShares UltraShort Gold_etf_High_volatility,ProShares UltraShort Gold_etf_High_change,ProShares UltraShort Gold_etf_Low_average,ProShares UltraShort Gold_etf_Low_max,ProShares UltraShort Gold_etf_Low_min,ProShares UltraShort Gold_etf_Low_volatility,ProShares UltraShort Gold_etf_Low_change,ProShares UltraShort Gold_etf_Close_average,ProShares UltraShort Gold_etf_Close_max,ProShares UltraShort Gold_etf_Close_min,ProShares UltraShort Gold_etf_Close_volatility,ProShares UltraShort Gold_etf_Close_change
2018-01-14,66.03,66.03,66.03,0.0,0.0,66.28,66.28,66.28,0.0,0.0,65.92,65.92,65.92,0.0,0.0,66.14,66.14,66.14,0.0,0.0
2018-01-21,64.35,64.35,64.35,0.0,0.0,64.57,64.57,64.57,0.0,0.0,64.06,64.06,64.06,0.0,0.0,64.51,64.51,64.51,0.0,0.0
2018-01-28,65.91,65.91,65.91,0.0,0.0,66.6,66.6,66.6,0.0,0.0,65.76,65.76,65.76,0.0,0.0,66.25,66.25,66.25,0.0,0.0
2018-02-04,68.15,68.15,68.15,0.0,0.0,68.34,68.34,68.34,0.0,0.0,67.6,67.6,67.6,0.0,0.0,68.04,68.04,68.04,0.0,0.0
2018-02-11,64.15,64.15,64.15,0.0,0.0,64.95,64.95,64.95,0.0,0.0,63.92,63.92,63.92,0.0,0.0,64.74,64.74,64.74,0.0,0.0
2018-02-18,66.59,66.59,66.59,0.0,0.0,66.73,66.73,66.73,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-02-25,66.85,66.85,66.85,0.0,0.0,67.66,67.66,67.66,0.0,0.0,66.85,66.85,66.85,0.0,0.0,67.29,67.29,67.29,0.0,0.0
2018-03-04,68.0,68.0,68.0,0.0,0.0,68.0,68.0,68.0,0.0,0.0,66.93,66.93,66.93,0.0,0.0,67.11,67.11,67.11,0.0,0.0
2018-03-11,67.9,67.9,67.9,0.0,0.0,68.55,68.55,68.55,0.0,0.0,67.81,67.81,67.81,0.0,0.0,68.27,68.27,68.27,0.0,0.0
2018-03-18,64.73,64.73,64.73,0.0,0.0,65.01,65.01,65.01,0.0,0.0,64.3,64.3,64.3,0.0,0.0,64.95,64.95,64.95,0.0,0.0
2018-03-25,67.25,67.25,67.25,0.0,0.0,67.28,67.28,67.28,0.0,0.0,66.91,66.91,66.91,0.0,0.0,66.98,66.98,66.98,0.0,0.0
2018-04-01,65.96,65.96,65.96,0.0,0.0,66.44,66.44,66.44,0.0,0.0,65.96,65.96,65.96,0.0,0.0,66.23,66.23,66.23,0.0,0.0
2018-04-08,65.4,65.4,65.4,0.0,0.0,65.48,65.48,65.48,0.0,0.0,64.92,64.92,64.92,0.0,0.0,65.11,65.11,65.11,0.0,0.0
2018-04-15,65.92,65.92,65.92,0.0,0.0,66.19,66.19,66.19,0.0,0.0,65.67,65.67,65.67,0.0,0.0,66.19,66.19,66.19,0.0,0.0
2018-04-22,67.4,67.4,67.4,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.12,67.12,67.12,0.0,0.0,67.24,67.24,67.24,0.0,0.0
2018-04-29,68.67,68.67,68.67,0.0,0.0,68.96,68.96,68.96,0.0,0.0,68.14,68.14,68.14,0.0,0.0,68.14,68.14,68.14,0.0,0.0
2018-05-06,67.2,67.2,67.2,0.0,0.0,67.97,67.97,67.97,0.0,0.0,67.11,67.11,67.11,0.0,0.0,67.71,67.71,67.71,0.0,0.0
2018-05-13,70.83,70.83,70.83,0.0,0.0,70.95,70.95,70.95,0.0,0.0,70.27,70.27,70.27,0.0,0.0,70.49,70.49,70.49,0.0,0.0
2018-05-20,69.16,69.16,69.16,0.0,0.0,69.68,69.68,69.68,0.0,0.0,69.16,69.16,69.16,0.0,0.0,69.65,69.65,69.65,0.0,0.0
2018-05-27,70.44,70.44,70.44,0.0,0.0,70.62,70.62,70.62,0.0,0.0,70.12,70.12,70.12,0.0,0.0,70.55,70.55,70.55,0.0,0.0
2018-06-03,69.89,69.89,69.89,0.0,0.0,70.06,70.06,70.06,0.0,0.0,69.87,69.87,69.87,0.0,0.0,70.03,70.03,70.03,0.0,0.0
2018-06-10,70.97,70.97,70.97,0.0,0.0,72.48,72.48,72.48,0.0,0.0,70.97,70.97,70.97,0.0,0.0,72.02,72.02,72.02,0.0,0.0
2018-06-17,73.32,73.32,73.32,0.0,0.0,73.49,73.49,73.49,0.0,0.0,72.96,72.96,72.96,0.0,0.0,73.29,73.29,73.29,0.0,0.0
2018-06-24,75.59,75.59,75.59,0.0,0.0,75.86,75.86,75.86,0.0,0.0,75.12,75.12,75.12,0.0,0.0,75.39,75.39,75.39,0.0,0.0
