Date,Proshares UltraPro NASDAQ Biotechnology_etf_Open_average,Proshares UltraPro NASDAQ Biotechnology_etf_Open_max,Proshares UltraPro NASDAQ Biotechnology_etf_Open_min,Proshares UltraPro NASDAQ Biotechnology_etf_Open_volatility,Proshares UltraPro NASDAQ Biotechnology_etf_Open_change,Proshares UltraPro NASDAQ Biotechnology_etf_High_average,Proshares UltraPro NASDAQ Biotechnology_etf_High_max,Proshares UltraPro NASDAQ Biotechnology_etf_High_min,Proshares UltraPro NASDAQ Biotechnology_etf_High_volatility,Proshares UltraPro NASDAQ Biotechnology_etf_High_change,Proshares UltraPro NASDAQ Biotechnology_etf_Low_average,Proshares UltraPro NASDAQ Biotechnology_etf_Low_max,Proshares UltraPro NASDAQ Biotechnology_etf_Low_min,Proshares UltraPro NASDAQ Biotechnology_etf_Low_volatility,Proshares UltraPro NASDAQ Biotechnology_etf_Low_change,Proshares UltraPro NASDAQ Biotechnology_etf_Close_average,Proshares UltraPro NASDAQ Biotechnology_etf_Close_max,Proshares UltraPro NASDAQ Biotechnology_etf_Close_min,Proshares UltraPro NASDAQ Biotechnology_etf_Close_volatility,Proshares UltraPro NASDAQ Biotechnology_etf_Close_change
2018-01-14,38.17,38.17,38.17,0.0,0.0,38.64,38.64,38.64,0.0,0.0,37.9,37.9,37.9,0.0,0.0,38.56,38.56,38.56,0.0,0.0
2018-01-21,43.6,43.6,43.6,0.0,0.0,45.34,45.34,45.34,0.0,0.0,43.6,43.6,43.6,0.0,0.0,45.0,45.0,45.0,0.0,0.0
2018-01-28,39.57,39.57,39.57,0.0,0.0,40.28,40.28,40.28,0.0,0.0,38.26,38.26,38.26,0.0,0.0,38.36,38.36,38.36,0.0,0.0
2018-02-04,31.33,31.33,31.33,0.0,0.0,32.41,32.41,32.41,0.0,0.0,27.59,27.59,27.59,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-02-11,35.85,35.85,35.85,0.0,0.0,37.13,37.13,37.13,0.0,0.0,35.68,35.68,35.68,0.0,0.0,35.93,35.93,35.93,0.0,0.0
2018-02-18,34.99,34.99,34.99,0.0,0.0,36.28,36.28,36.28,0.0,0.0,33.84,33.84,33.84,0.0,0.0,36.15,36.15,36.15,0.0,0.0
2018-02-25,31.19,31.19,31.19,0.0,0.0,35.27,35.27,35.27,0.0,0.0,31.19,31.19,31.19,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-03-04,38.3,38.3,38.3,0.0,0.0,39.7,39.7,39.7,0.0,0.0,38.12,38.12,38.12,0.0,0.0,39.4,39.4,39.4,0.0,0.0
2018-03-11,38.2,38.2,38.2,0.0,0.0,38.56,38.56,38.56,0.0,0.0,37.94,37.94,37.94,0.0,0.0,37.94,37.94,37.94,0.0,0.0
2018-03-18,33.16,33.16,33.16,0.0,0.0,33.6,33.6,33.6,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-03-25,31.52,31.52,31.52,0.0,0.0,32.77,32.77,32.77,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.83,31.83,31.83,0.0,0.0
2018-04-01,28.53,28.53,28.53,0.0,0.0,28.83,28.83,28.83,0.0,0.0,26.06,26.06,26.06,0.0,0.0,26.75,26.75,26.75,0.0,0.0
2018-04-08,31.93,31.93,31.93,0.0,0.0,31.93,31.93,31.93,0.0,0.0,30.19,30.19,30.19,0.0,0.0,30.59,30.59,30.59,0.0,0.0
2018-04-15,30.45,30.45,30.45,0.0,0.0,30.45,30.45,30.45,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.7,29.7,29.7,0.0,0.0
2018-04-22,30.1,30.1,30.1,0.0,0.0,30.25,30.25,30.25,0.0,0.0,29.32,29.32,29.32,0.0,0.0,30.19,30.19,30.19,0.0,0.0
2018-04-29,26.32,26.32,26.32,0.0,0.0,27.76,27.76,27.76,0.0,0.0,26.32,26.32,26.32,0.0,0.0,27.31,27.31,27.31,0.0,0.0
2018-05-06,28.35,28.35,28.35,0.0,0.0,31.0,31.0,31.0,0.0,0.0,28.35,28.35,28.35,0.0,0.0,30.73,30.73,30.73,0.0,0.0
2018-05-13,31.84,31.84,31.84,0.0,0.0,32.0,32.0,32.0,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.75,31.75,31.75,0.0,0.0
2018-05-20,31.33,31.33,31.33,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.43,31.43,31.43,0.0,0.0
2018-05-27,32.6,32.6,32.6,0.0,0.0,33.7,33.7,33.7,0.0,0.0,32.33,32.33,32.33,0.0,0.0,33.39,33.39,33.39,0.0,0.0
2018-06-03,33.5,33.5,33.5,0.0,0.0,33.93,33.93,33.93,0.0,0.0,32.9,32.9,32.9,0.0,0.0,33.76,33.76,33.76,0.0,0.0
2018-06-10,34.47,34.47,34.47,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.15,34.15,34.15,0.0,0.0,34.59,34.59,34.59,0.0,0.0
2018-06-17,35.33,35.33,35.33,0.0,0.0,35.8,35.8,35.8,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.45,35.45,35.45,0.0,0.0
2018-06-24,32.23,32.23,32.23,0.0,0.0,34.0,34.0,34.0,0.0,0.0,32.23,32.23,32.23,0.0,0.0,33.17,33.17,33.17,0.0,0.0
2018-07-01,36.37,36.37,36.37,0.0,0.0,39.17,39.17,39.17,0.0,0.0,36.37,36.37,36.37,0.0,0.0,39.17,39.17,39.17,0.0,0.0
2018-07-08,41.05,41.05,41.05,0.0,0.0,41.78,41.78,41.78,0.0,0.0,40.86,40.86,40.86,0.0,0.0,41.35,41.35,41.35,0.0,0.0
2018-07-15,41.2,41.2,41.2,0.0,0.0,41.68,41.68,41.68,0.0,0.0,41.13,41.13,41.13,0.0,0.0,41.19,41.19,41.19,0.0,0.0
2018-07-22,41.1,41.1,41.1,0.0,0.0,41.1,41.1,41.1,0.0,0.0,37.48,37.48,37.48,0.0,0.0,38.16,38.16,38.16,0.0,0.0
