Date,First Trust Morningstar Dividend Leaders_Open_average,First Trust Morningstar Dividend Leaders_Open_max,First Trust Morningstar Dividend Leaders_Open_min,First Trust Morningstar Dividend Leaders_Open_volatility,First Trust Morningstar Dividend Leaders_Open_change,First Trust Morningstar Dividend Leaders_High_average,First Trust Morningstar Dividend Leaders_High_max,First Trust Morningstar Dividend Leaders_High_min,First Trust Morningstar Dividend Leaders_High_volatility,First Trust Morningstar Dividend Leaders_High_change,First Trust Morningstar Dividend Leaders_Low_average,First Trust Morningstar Dividend Leaders_Low_max,First Trust Morningstar Dividend Leaders_Low_min,First Trust Morningstar Dividend Leaders_Low_volatility,First Trust Morningstar Dividend Leaders_Low_change,First Trust Morningstar Dividend Leaders_Close_average,First Trust Morningstar Dividend Leaders_Close_max,First Trust Morningstar Dividend Leaders_Close_min,First Trust Morningstar Dividend Leaders_Close_volatility,First Trust Morningstar Dividend Leaders_Close_change
2018-01-14,30.51,30.51,30.51,0.0,0.0,30.79,30.79,30.79,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-01-21,30.97,30.97,30.97,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.86,30.86,30.86,0.0,0.0
2018-01-28,29.59,29.59,29.59,0.0,0.0,29.72,29.72,29.72,0.0,0.0,28.44,28.44,28.44,0.0,0.0,28.53,28.53,28.53,0.0,0.0
2018-02-04,28.54,28.54,28.54,0.0,0.0,28.79,28.79,28.79,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.62,28.62,28.62,0.0,0.0
2018-02-11,29.06,29.06,29.06,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.06,29.06,29.06,0.0,0.0,29.21,29.21,29.21,0.0,0.0
2018-02-18,29.2,29.2,29.2,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.18,29.18,29.18,0.0,0.0,29.51,29.51,29.51,0.0,0.0
2018-02-25,28.61,28.61,28.61,0.0,0.0,29.14,29.14,29.14,0.0,0.0,28.61,28.61,28.61,0.0,0.0,29.08,29.08,29.08,0.0,0.0
2018-03-04,29.39,29.39,29.39,0.0,0.0,29.51,29.51,29.51,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.38,29.38,29.38,0.0,0.0
2018-03-11,29.01,29.01,29.01,0.0,0.0,29.01,29.01,29.01,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.73,28.73,28.73,0.0,0.0
2018-03-18,27.72,27.72,27.72,0.0,0.0,27.94,27.94,27.94,0.0,0.0,27.54,27.54,27.54,0.0,0.0,27.9,27.9,27.9,0.0,0.0
2018-03-25,28.17,28.17,28.17,0.0,0.0,28.2,28.2,28.2,0.0,0.0,27.41,27.41,27.41,0.0,0.0,27.65,27.65,27.65,0.0,0.0
2018-04-01,28.16,28.16,28.16,0.0,0.0,28.43,28.43,28.43,0.0,0.0,28.06,28.06,28.06,0.0,0.0,28.07,28.07,28.07,0.0,0.0
2018-04-08,28.7,28.7,28.7,0.0,0.0,28.89,28.89,28.89,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.83,28.83,28.83,0.0,0.0
2018-04-15,28.3,28.3,28.3,0.0,0.0,28.37,28.37,28.37,0.0,0.0,28.23,28.23,28.23,0.0,0.0,28.35,28.35,28.35,0.0,0.0
2018-04-22,28.57,28.57,28.57,0.0,0.0,28.61,28.61,28.61,0.0,0.0,28.2,28.2,28.2,0.0,0.0,28.2,28.2,28.2,0.0,0.0
2018-04-29,28.15,28.15,28.15,0.0,0.0,28.19,28.19,28.19,0.0,0.0,27.95,27.95,27.95,0.0,0.0,28.01,28.01,28.01,0.0,0.0
2018-05-06,28.59,28.59,28.59,0.0,0.0,28.66,28.66,28.66,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.55,28.55,28.55,0.0,0.0
2018-05-13,28.58,28.58,28.58,0.0,0.0,28.73,28.73,28.73,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.71,28.71,28.71,0.0,0.0
2018-05-20,28.55,28.55,28.55,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.4,28.4,28.4,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-05-27,28.67,28.67,28.67,0.0,0.0,28.81,28.81,28.81,0.0,0.0,28.59,28.59,28.59,0.0,0.0,28.59,28.59,28.59,0.0,0.0
2018-06-03,29.11,29.11,29.11,0.0,0.0,29.21,29.21,29.21,0.0,0.0,29.08,29.08,29.08,0.0,0.0,29.12,29.12,29.12,0.0,0.0
2018-06-10,28.78,28.78,28.78,0.0,0.0,28.78,28.78,28.78,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.64,28.64,28.64,0.0,0.0
2018-06-17,28.41,28.41,28.41,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.29,28.29,28.29,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2018-06-24,28.45,28.45,28.45,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.3,28.3,28.3,0.0,0.0,28.49,28.49,28.49,0.0,0.0
