Date,iShares US HealthcareEtf_Open_average,iShares US HealthcareEtf_Open_max,iShares US HealthcareEtf_Open_min,iShares US HealthcareEtf_Open_volatility,iShares US HealthcareEtf_Open_change,iShares US HealthcareEtf_High_average,iShares US HealthcareEtf_High_max,iShares US HealthcareEtf_High_min,iShares US HealthcareEtf_High_volatility,iShares US HealthcareEtf_High_change,iShares US HealthcareEtf_Low_average,iShares US HealthcareEtf_Low_max,iShares US HealthcareEtf_Low_min,iShares US HealthcareEtf_Low_volatility,iShares US HealthcareEtf_Low_change,iShares US HealthcareEtf_Close_average,iShares US HealthcareEtf_Close_max,iShares US HealthcareEtf_Close_min,iShares US HealthcareEtf_Close_volatility,iShares US HealthcareEtf_Close_change
2018-01-14,185.45,185.45,185.45,0.0,0.0,185.78,185.78,185.78,0.0,0.0,184.89,184.89,184.89,0.0,0.0,185.73,185.73,185.73,0.0,0.0
2018-01-21,189.72,189.72,189.72,0.0,0.0,192.8,192.8,192.8,0.0,0.0,189.72,189.72,189.72,0.0,0.0,192.78,192.78,192.78,0.0,0.0
2018-01-28,184.37,184.37,184.37,0.0,0.0,186.04,186.04,186.04,0.0,0.0,183.57,183.57,183.57,0.0,0.0,183.62,183.62,183.62,0.0,0.0
2018-02-04,172.4,172.4,172.4,0.0,0.0,174.71,174.71,174.71,0.0,0.0,168.11,168.11,168.11,0.0,0.0,173.15,173.15,173.15,0.0,0.0
2018-02-11,178.88,178.88,178.88,0.0,0.0,181.61,181.61,181.61,0.0,0.0,178.88,178.88,178.88,0.0,0.0,180.53,180.53,180.53,0.0,0.0
2018-02-18,178.3,178.3,178.3,0.0,0.0,180.14,180.14,180.14,0.0,0.0,177.66,177.66,177.66,0.0,0.0,180.07,180.07,180.07,0.0,0.0
2018-02-25,173.71,173.71,173.71,0.0,0.0,177.15,177.15,177.15,0.0,0.0,173.71,173.71,173.71,0.0,0.0,176.75,176.75,176.75,0.0,0.0
2018-03-04,181.77,181.77,181.77,0.0,0.0,183.28,183.28,183.28,0.0,0.0,181.13,181.13,181.13,0.0,0.0,183.28,183.28,183.28,0.0,0.0
2018-03-11,181.68,181.68,181.68,0.0,0.0,182.23,182.23,182.23,0.0,0.0,181.52,181.52,181.52,0.0,0.0,181.52,181.52,181.52,0.0,0.0
2018-03-18,172.85,172.85,172.85,0.0,0.0,173.22,173.22,173.22,0.0,0.0,169.06,169.06,169.06,0.0,0.0,169.12,169.12,169.12,0.0,0.0
2018-03-25,172.13,172.13,172.13,0.0,0.0,173.83,173.83,173.83,0.0,0.0,171.21,171.21,171.21,0.0,0.0,172.61,172.61,172.61,0.0,0.0
2018-04-01,171.76,171.76,171.76,0.0,0.0,172.42,172.42,172.42,0.0,0.0,167.59,167.59,167.59,0.0,0.0,168.94,168.94,168.94,0.0,0.0
2018-04-08,174.34,174.34,174.34,0.0,0.0,174.4,174.4,174.4,0.0,0.0,172.54,172.54,172.54,0.0,0.0,173.37,173.37,173.37,0.0,0.0
2018-04-15,175.13,175.13,175.13,0.0,0.0,175.33,175.33,175.33,0.0,0.0,173.46,173.46,173.46,0.0,0.0,173.92,173.92,173.92,0.0,0.0
2018-04-22,175.71,175.71,175.71,0.0,0.0,176.9,176.9,176.9,0.0,0.0,175.5,175.5,175.5,0.0,0.0,176.88,176.88,176.88,0.0,0.0
2018-04-29,170.28,170.28,170.28,0.0,0.0,172.65,172.65,172.65,0.0,0.0,169.68,169.68,169.68,0.0,0.0,171.98,171.98,171.98,0.0,0.0
2018-05-06,174.25,174.25,174.25,0.0,0.0,176.9,176.9,176.9,0.0,0.0,173.94,173.94,173.94,0.0,0.0,176.63,176.63,176.63,0.0,0.0
2018-05-13,176.73,176.73,176.73,0.0,0.0,177.34,177.34,177.34,0.0,0.0,176.2,176.2,176.2,0.0,0.0,177.27,177.27,177.27,0.0,0.0
2018-05-20,176.63,176.63,176.63,0.0,0.0,177.61,177.61,177.61,0.0,0.0,176.4,176.4,176.4,0.0,0.0,176.84,176.84,176.84,0.0,0.0
2018-05-27,176.6,176.6,176.6,0.0,0.0,177.8,177.8,177.8,0.0,0.0,176.6,176.6,176.6,0.0,0.0,177.77,177.77,177.77,0.0,0.0
2018-06-03,180.16,180.16,180.16,0.0,0.0,181.47,181.47,181.47,0.0,0.0,180.16,180.16,180.16,0.0,0.0,181.42,181.42,181.42,0.0,0.0
2018-06-10,182.27,182.27,182.27,0.0,0.0,183.16,183.16,183.16,0.0,0.0,181.94,181.94,181.94,0.0,0.0,183.1,183.1,183.1,0.0,0.0
