Date,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Open_average,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Open_max,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Open_min,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Open_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Open_change,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_High_average,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_High_max,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_High_min,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_High_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_High_change,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Low_average,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Low_max,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Low_min,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Low_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Low_change,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Close_average,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Close_max,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Close_min,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Close_volatility,Credit Suisse X-Links Monthly Pay 2xLeveraged MortEtf_Close_change
2018-01-14,26.99,26.99,26.99,0.0,0.0,27.48,27.48,27.48,0.0,0.0,26.99,26.99,26.99,0.0,0.0,27.48,27.48,27.48,0.0,0.0
2018-01-21,27.42,27.42,27.42,0.0,0.0,27.42,27.42,27.42,0.0,0.0,26.72,26.72,26.72,0.0,0.0,26.86,26.86,26.86,0.0,0.0
2018-01-28,25.51,25.51,25.51,0.0,0.0,25.51,25.51,25.51,0.0,0.0,24.3,24.3,24.3,0.0,0.0,24.55,24.55,24.55,0.0,0.0
2018-02-04,23.63,23.63,23.63,0.0,0.0,23.78,23.78,23.78,0.0,0.0,23.0,23.0,23.0,0.0,0.0,23.78,23.78,23.78,0.0,0.0
2018-02-11,25.7,25.7,25.7,0.0,0.0,26.2,26.2,26.2,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.93,25.93,25.93,0.0,0.0
2018-02-18,24.11,24.11,24.11,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.11,24.11,24.11,0.0,0.0,24.68,24.68,24.68,0.0,0.0
2018-02-25,23.5,23.5,23.5,0.0,0.0,23.99,23.99,23.99,0.0,0.0,23.25,23.25,23.25,0.0,0.0,23.79,23.79,23.79,0.0,0.0
2018-03-04,25.16,25.16,25.16,0.0,0.0,25.4,25.4,25.4,0.0,0.0,24.72,24.72,24.72,0.0,0.0,25.4,25.4,25.4,0.0,0.0
2018-03-11,25.6,25.6,25.6,0.0,0.0,26.13,26.13,26.13,0.0,0.0,25.6,25.6,25.6,0.0,0.0,26.02,26.02,26.02,0.0,0.0
2018-03-18,25.87,25.87,25.87,0.0,0.0,25.87,25.87,25.87,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.2,25.2,25.2,0.0,0.0
