Date,iShares Currency Hdg JPX Nikkei 400_Open_average,iShares Currency Hdg JPX Nikkei 400_Open_max,iShares Currency Hdg JPX Nikkei 400_Open_min,iShares Currency Hdg JPX Nikkei 400_Open_volatility,iShares Currency Hdg JPX Nikkei 400_Open_change,iShares Currency Hdg JPX Nikkei 400_High_average,iShares Currency Hdg JPX Nikkei 400_High_max,iShares Currency Hdg JPX Nikkei 400_High_min,iShares Currency Hdg JPX Nikkei 400_High_volatility,iShares Currency Hdg JPX Nikkei 400_High_change,iShares Currency Hdg JPX Nikkei 400_Low_average,iShares Currency Hdg JPX Nikkei 400_Low_max,iShares Currency Hdg JPX Nikkei 400_Low_min,iShares Currency Hdg JPX Nikkei 400_Low_volatility,iShares Currency Hdg JPX Nikkei 400_Low_change,iShares Currency Hdg JPX Nikkei 400_Close_average,iShares Currency Hdg JPX Nikkei 400_Close_max,iShares Currency Hdg JPX Nikkei 400_Close_min,iShares Currency Hdg JPX Nikkei 400_Close_volatility,iShares Currency Hdg JPX Nikkei 400_Close_change
2018-01-14,31.63,31.63,31.63,0.0,0.0,31.63,31.63,31.63,0.0,0.0,31.31,31.31,31.31,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-01-21,31.61,31.61,31.61,0.0,0.0,31.64,31.64,31.64,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.62,31.62,31.62,0.0,0.0
2018-01-28,31.25,31.25,31.25,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.02,31.02,31.02,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-02-04,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0,29.29,29.29,29.29,0.0,0.0
2018-02-11,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0,28.97,28.97,28.97,0.0,0.0
2018-02-18,29.95,29.95,29.95,0.0,0.0,29.95,29.95,29.95,0.0,0.0,29.89,29.89,29.89,0.0,0.0,29.89,29.89,29.89,0.0,0.0
2018-02-25,28.22,28.22,28.22,0.0,0.0,28.35,28.35,28.35,0.0,0.0,28.22,28.22,28.22,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-03-04,29.14,29.14,29.14,0.0,0.0,29.24,29.24,29.24,0.0,0.0,29.14,29.14,29.14,0.0,0.0,29.24,29.24,29.24,0.0,0.0
2018-03-11,28.53,28.53,28.53,0.0,0.0,28.53,28.53,28.53,0.0,0.0,28.51,28.51,28.51,0.0,0.0,28.51,28.51,28.51,0.0,0.0
2018-03-18,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0,28.33,28.33,28.33,0.0,0.0
2018-03-25,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0,28.48,28.48,28.48,0.0,0.0
2018-04-01,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0,29.56,29.56,29.56,0.0,0.0
2018-04-08,30.09,30.09,30.09,0.0,0.0,30.09,30.09,30.09,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.52,29.52,29.52,0.0,0.0
2018-04-15,29.72,29.72,29.72,0.0,0.0,29.72,29.72,29.72,0.0,0.0,29.71,29.71,29.71,0.0,0.0,29.71,29.71,29.71,0.0,0.0
2018-04-22,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0,29.9,29.9,29.9,0.0,0.0
2018-04-29,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0,29.87,29.87,29.87,0.0,0.0
2018-05-06,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0,29.46,29.46,29.46,0.0,0.0
2018-05-13,30.08,30.08,30.08,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.93,29.93,29.93,0.0,0.0,30.07,30.07,30.07,0.0,0.0
2018-05-20,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0,30.17,30.17,30.17,0.0,0.0
2018-05-27,29.76,29.76,29.76,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.63,29.63,29.63,0.0,0.0,29.63,29.63,29.63,0.0,0.0
2018-06-03,28.52,28.52,28.52,0.0,0.0,28.63,28.63,28.63,0.0,0.0,28.5,28.5,28.5,0.0,0.0,28.52,28.52,28.52,0.0,0.0
2018-06-10,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0,29.25,29.25,29.25,0.0,0.0
2018-06-17,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0,29.39,29.39,29.39,0.0,0.0
