Date,SPDR Gold SharesEtf_Open_average,SPDR Gold SharesEtf_Open_max,SPDR Gold SharesEtf_Open_min,SPDR Gold SharesEtf_Open_volatility,SPDR Gold SharesEtf_Open_change,SPDR Gold SharesEtf_High_average,SPDR Gold SharesEtf_High_max,SPDR Gold SharesEtf_High_min,SPDR Gold SharesEtf_High_volatility,SPDR Gold SharesEtf_High_change,SPDR Gold SharesEtf_Low_average,SPDR Gold SharesEtf_Low_max,SPDR Gold SharesEtf_Low_min,SPDR Gold SharesEtf_Low_volatility,SPDR Gold SharesEtf_Low_change,SPDR Gold SharesEtf_Close_average,SPDR Gold SharesEtf_Close_max,SPDR Gold SharesEtf_Close_min,SPDR Gold SharesEtf_Close_volatility,SPDR Gold SharesEtf_Close_change
2018-01-14,126.57,126.57,126.57,0.0,0.0,126.73,126.73,126.73,0.0,0.0,126.41,126.41,126.41,0.0,0.0,126.42,126.42,126.42,0.0,0.0
2018-01-21,128.24,128.24,128.24,0.0,0.0,128.52,128.52,128.52,0.0,0.0,127.97,127.97,127.97,0.0,0.0,128.07,128.07,128.07,0.0,0.0
2018-01-28,126.81,126.81,126.81,0.0,0.0,126.85,126.85,126.85,0.0,0.0,125.95,125.95,125.95,0.0,0.0,126.39,126.39,126.39,0.0,0.0
2018-02-04,124.65,124.65,124.65,0.0,0.0,125.14,125.14,125.14,0.0,0.0,124.39,124.39,124.39,0.0,0.0,124.77,124.77,124.77,0.0,0.0
2018-02-11,128.3,128.3,128.3,0.0,0.0,128.7,128.7,128.7,0.0,0.0,127.57,127.57,127.57,0.0,0.0,127.96,127.96,127.96,0.0,0.0
2018-02-18,126.06,126.06,126.06,0.0,0.0,126.3,126.3,126.3,0.0,0.0,125.85,125.85,125.85,0.0,0.0,126.14,126.14,126.14,0.0,0.0
2018-02-25,125.67,125.67,125.67,0.0,0.0,125.69,125.69,125.69,0.0,0.0,124.97,124.97,124.97,0.0,0.0,125.39,125.39,125.39,0.0,0.0
2018-03-04,124.94,124.94,124.94,0.0,0.0,125.69,125.69,125.69,0.0,0.0,124.78,124.78,124.78,0.0,0.0,125.54,125.54,125.54,0.0,0.0
2018-03-11,124.84,124.84,124.84,0.0,0.0,124.87,124.87,124.87,0.0,0.0,124.21,124.21,124.21,0.0,0.0,124.6,124.6,124.6,0.0,0.0
2018-03-18,127.82,127.82,127.82,0.0,0.0,128.06,128.06,128.06,0.0,0.0,127.41,127.41,127.41,0.0,0.0,127.61,127.61,127.61,0.0,0.0
2018-03-25,125.42,125.42,125.42,0.0,0.0,125.81,125.81,125.81,0.0,0.0,125.31,125.31,125.31,0.0,0.0,125.79,125.79,125.79,0.0,0.0
2018-04-01,126.57,126.57,126.57,0.0,0.0,126.6,126.6,126.6,0.0,0.0,126.12,126.12,126.12,0.0,0.0,126.39,126.39,126.39,0.0,0.0
2018-04-08,127.07,127.07,127.07,0.0,0.0,127.75,127.75,127.75,0.0,0.0,127.03,127.03,127.03,0.0,0.0,127.45,127.45,127.45,0.0,0.0
2018-04-15,126.69,126.69,126.69,0.0,0.0,126.97,126.97,126.97,0.0,0.0,126.55,126.55,126.55,0.0,0.0,126.63,126.63,126.63,0.0,0.0
2018-04-22,125.2,125.2,125.2,0.0,0.0,125.62,125.62,125.62,0.0,0.0,125.17,125.17,125.17,0.0,0.0,125.5,125.5,125.5,0.0,0.0
2018-04-29,124.1,124.1,124.1,0.0,0.0,124.65,124.65,124.65,0.0,0.0,124.0,124.0,124.0,0.0,0.0,124.54,124.54,124.54,0.0,0.0
2018-05-06,125.57,125.57,125.57,0.0,0.0,125.59,125.59,125.59,0.0,0.0,124.94,124.94,124.94,0.0,0.0,125.0,125.0,125.0,0.0,0.0
2018-05-13,122.05,122.05,122.05,0.0,0.0,122.65,122.65,122.65,0.0,0.0,122.01,122.01,122.01,0.0,0.0,122.41,122.41,122.41,0.0,0.0
2018-05-20,123.66,123.66,123.66,0.0,0.0,123.7,123.7,123.7,0.0,0.0,123.21,123.21,123.21,0.0,0.0,123.21,123.21,123.21,0.0,0.0
2018-05-27,122.58,122.58,122.58,0.0,0.0,123.09,123.09,123.09,0.0,0.0,122.44,122.44,122.44,0.0,0.0,122.49,122.49,122.49,0.0,0.0
2018-06-03,123.08,123.08,123.08,0.0,0.0,123.12,123.12,123.12,0.0,0.0,122.91,122.91,122.91,0.0,0.0,123.01,123.01,123.01,0.0,0.0
2018-06-10,122.18,122.18,122.18,0.0,0.0,122.2,122.2,122.2,0.0,0.0,120.83,120.83,120.83,0.0,0.0,121.34,121.34,121.34,0.0,0.0
2018-06-17,120.21,120.21,120.21,0.0,0.0,120.4,120.4,120.4,0.0,0.0,120.1,120.1,120.1,0.0,0.0,120.34,120.34,120.34,0.0,0.0
2018-06-24,118.43,118.43,118.43,0.0,0.0,118.94,118.94,118.94,0.0,0.0,118.26,118.26,118.26,0.0,0.0,118.65,118.65,118.65,0.0,0.0
2018-07-01,118.97,118.97,118.97,0.0,0.0,119.03,119.03,119.03,0.0,0.0,118.73,118.73,118.73,0.0,0.0,118.86,118.86,118.86,0.0,0.0
2018-07-08,117.62,117.62,117.62,0.0,0.0,117.75,117.75,117.75,0.0,0.0,117.45,117.45,117.45,0.0,0.0,117.61,117.61,117.61,0.0,0.0
2018-07-15,116.4,116.4,116.4,0.0,0.0,116.71,116.71,116.71,0.0,0.0,116.24,116.24,116.24,0.0,0.0,116.56,116.56,116.56,0.0,0.0
2018-07-22,115.92,115.92,115.92,0.0,0.0,116.24,116.24,116.24,0.0,0.0,115.77,115.77,115.77,0.0,0.0,115.83,115.83,115.83,0.0,0.0
2018-07-29,115.09,115.09,115.09,0.0,0.0,115.53,115.53,115.53,0.0,0.0,114.86,114.86,114.86,0.0,0.0,114.92,114.92,114.92,0.0,0.0
2018-08-05,114.81,114.81,114.81,0.0,0.0,115.23,115.23,115.23,0.0,0.0,114.61,114.61,114.61,0.0,0.0,114.69,114.69,114.69,0.0,0.0
2018-08-12,111.69,111.69,111.69,0.0,0.0,112.15,112.15,112.15,0.0,0.0,111.38,111.38,111.38,0.0,0.0,112.13,112.13,112.13,0.0,0.0
2018-08-19,113.25,113.25,113.25,0.0,0.0,114.42,114.42,114.42,0.0,0.0,113.21,113.21,113.21,0.0,0.0,114.16,114.16,114.16,0.0,0.0
