Date,iShares US TelecommunicationsEtf_Open_average,iShares US TelecommunicationsEtf_Open_max,iShares US TelecommunicationsEtf_Open_min,iShares US TelecommunicationsEtf_Open_volatility,iShares US TelecommunicationsEtf_Open_change,iShares US TelecommunicationsEtf_High_average,iShares US TelecommunicationsEtf_High_max,iShares US TelecommunicationsEtf_High_min,iShares US TelecommunicationsEtf_High_volatility,iShares US TelecommunicationsEtf_High_change,iShares US TelecommunicationsEtf_Low_average,iShares US TelecommunicationsEtf_Low_max,iShares US TelecommunicationsEtf_Low_min,iShares US TelecommunicationsEtf_Low_volatility,iShares US TelecommunicationsEtf_Low_change,iShares US TelecommunicationsEtf_Close_average,iShares US TelecommunicationsEtf_Close_max,iShares US TelecommunicationsEtf_Close_min,iShares US TelecommunicationsEtf_Close_volatility,iShares US TelecommunicationsEtf_Close_change
2018-01-14,29.01,29.01,29.01,0.0,0.0,29.25,29.25,29.25,0.0,0.0,28.87,28.87,28.87,0.0,0.0,29.2,29.2,29.2,0.0,0.0
2018-01-21,29.52,29.52,29.52,0.0,0.0,29.76,29.76,29.76,0.0,0.0,29.48,29.48,29.48,0.0,0.0,29.73,29.73,29.73,0.0,0.0
2018-01-28,29.24,29.24,29.24,0.0,0.0,29.55,29.55,29.55,0.0,0.0,28.92,28.92,28.92,0.0,0.0,29.02,29.02,29.02,0.0,0.0
2018-02-04,27.49,27.49,27.49,0.0,0.0,27.49,27.49,27.49,0.0,0.0,26.56,26.56,26.56,0.0,0.0,27.18,27.18,27.18,0.0,0.0
2018-02-11,28.12,28.12,28.12,0.0,0.0,28.58,28.58,28.58,0.0,0.0,28.12,28.12,28.12,0.0,0.0,28.42,28.42,28.42,0.0,0.0
2018-02-18,27.39,27.39,27.39,0.0,0.0,28.28,28.28,28.28,0.0,0.0,27.13,27.13,27.13,0.0,0.0,28.28,28.28,28.28,0.0,0.0
2018-02-25,27.83,27.83,27.83,0.0,0.0,28.21,28.21,28.21,0.0,0.0,27.66,27.66,27.66,0.0,0.0,28.05,28.05,28.05,0.0,0.0
2018-03-04,28.86,28.86,28.86,0.0,0.0,28.86,28.86,28.86,0.0,0.0,28.57,28.57,28.57,0.0,0.0,28.67,28.67,28.67,0.0,0.0
2018-03-11,28.01,28.01,28.01,0.0,0.0,28.55,28.55,28.55,0.0,0.0,27.9,27.9,27.9,0.0,0.0,28.5,28.5,28.5,0.0,0.0
2018-03-18,27.03,27.03,27.03,0.0,0.0,27.38,27.38,27.38,0.0,0.0,26.73,26.73,26.73,0.0,0.0,26.73,26.73,26.73,0.0,0.0
