Date,BGFV_stock_Open_average,BGFV_stock_Open_max,BGFV_stock_Open_min,BGFV_stock_Open_volatility,BGFV_stock_Open_change,BGFV_stock_High_average,BGFV_stock_High_max,BGFV_stock_High_min,BGFV_stock_High_volatility,BGFV_stock_High_change,BGFV_stock_Low_average,BGFV_stock_Low_max,BGFV_stock_Low_min,BGFV_stock_Low_volatility,BGFV_stock_Low_change,BGFV_stock_Close_average,BGFV_stock_Close_max,BGFV_stock_Close_min,BGFV_stock_Close_volatility,BGFV_stock_Close_change,BGFV_stock_Volume_average,BGFV_stock_Volume_max,BGFV_stock_Volume_min,BGFV_stock_Volume_volatility,BGFV_stock_Volume_change
2018-01-14,6.225,6.35,6.1,0.25,0.0,6.3875,6.5,6.2,0.2999999999999998,-0.2999999999999998,6.125,6.25,6.05,0.20000000000000018,-0.04999999999999982,6.2375,6.35,6.1,0.25,-0.25,1762906,2219329,1121216,1098113,-725000
2018-01-21,6.17,6.2,6.1,0.10000000000000053,-0.10000000000000053,6.252,6.3,6.2,0.09999999999999964,0.04999999999999982,6.05,6.1,6.0,0.09999999999999964,-0.04999999999999982,6.16,6.2,6.1,0.10000000000000053,0.0,1047657,1231743,793644,438099,352535
2018-01-28,5.8500000000000005,6.2,5.65,0.5499999999999998,-0.5,5.9399999999999995,6.25,5.75,0.5,-0.5,5.656,6.0,5.5,0.5,-0.5,5.72,6.05,5.5,0.5499999999999998,-0.5499999999999998,1176879,2284223,744270,1539953,265892
2018-02-04,5.394,5.65,5.2,0.4500000000000002,0.20000000000000018,5.632,5.8,5.47,0.33000000000000007,0.29000000000000004,5.17,5.3,5.05,0.25,0.20000000000000018,5.4,5.65,5.2,0.4500000000000002,0.2999999999999998,1506382,2071166,902404,1168762,-874088
2018-02-11,5.62,6.0,5.35,0.6500000000000004,0.4500000000000002,5.84,6.2,5.55,0.6500000000000004,0.6000000000000005,5.468,5.94,5.25,0.6900000000000004,0.6900000000000004,5.74,6.2,5.35,0.8500000000000005,0.7000000000000002,825591,1028598,608744,419854,-27838
2018-02-18,6.025,6.15,5.9,0.25,-0.10000000000000053,6.25,6.45,6.15,0.2999999999999998,0.25,5.915,6.05,5.83,0.21999999999999975,0.21999999999999975,6.0425,6.35,5.9,0.4499999999999993,0.4499999999999993,816611,1098900,636651,462249,215573
2018-02-25,6.11,6.35,5.6,0.75,-0.14999999999999947,6.404,6.5,6.25,0.25,0.019999999999999574,5.934,6.15,5.6,0.5500000000000007,-0.03000000000000025,6.2,6.4,5.95,0.4500000000000002,0.10000000000000053,1093401,1419321,659385,759936,523884
2018-03-04,6.47,6.75,6.15,0.5999999999999996,-0.2999999999999998,6.652,6.9,6.3,0.6000000000000005,-0.5,6.274,6.6,5.95,0.6499999999999995,-0.4500000000000002,6.44,6.8,6.05,0.75,-0.6499999999999995,1174272,1577075,741686,835389,-571729
2018-03-11,6.63,6.85,6.25,0.5999999999999996,0.5999999999999996,6.884,7.1,6.65,0.4499999999999993,0.4499999999999993,6.55,6.75,6.25,0.5,0.5,6.78,6.9,6.6,0.3000000000000007,0.3000000000000007,823109,1166249,600946,565303,359280
2018-03-18,6.7700000000000005,6.95,6.65,0.2999999999999998,-0.20000000000000018,6.898,7.01,6.8,0.20999999999999996,-0.20999999999999996,6.59,6.65,6.5,0.15000000000000036,-0.10000000000000053,6.71,6.8,6.6,0.20000000000000018,-0.20000000000000018,535295,896992,342848,554144,-304739
2018-03-25,6.95,7.3,6.7,0.5999999999999996,0.5999999999999996,7.220000000000001,7.4,7.0,0.40000000000000036,0.40000000000000036,6.88,7.2,6.6,0.6000000000000005,0.6000000000000005,7.05,7.25,6.8,0.4500000000000002,0.4500000000000002,794368,1339811,408781,931030,-264752
2018-04-01,7.25,7.5,7.05,0.4500000000000002,0.2999999999999998,7.42,7.6,7.25,0.34999999999999964,0.2999999999999998,7.08,7.25,6.8,0.4500000000000002,0.40000000000000036,7.28,7.5,7.0,0.5,0.2999999999999998,509976,739692,418054,321638,-318037
2018-04-08,7.53,7.9,7.35,0.5500000000000007,0.5500000000000007,7.75,7.95,7.45,0.5,0.5,7.430000000000001,7.65,7.2,0.4500000000000002,0.4500000000000002,7.63,7.9,7.25,0.6500000000000004,0.5499999999999998,522263,855673,392596,463077,102204
2018-04-15,8.1,8.4,7.85,0.5500000000000007,0.5500000000000007,8.28,8.5,8.0,0.5,0.5,8.004,8.3,7.71,0.5900000000000007,0.5000000000000009,8.25,8.5,7.9,0.5999999999999996,0.5999999999999996,508519,572750,425212,147538,51036
2018-04-22,8.77,9.05,8.55,0.5,0.1999999999999993,8.946,9.1,8.78,0.3200000000000003,0.16999999999999993,8.586,8.7,8.4,0.29999999999999893,0.29999999999999893,8.83,9.0,8.75,0.25,0.15000000000000036,708138,881904,404503,477401,-442458
2018-04-29,8.610000000000001,8.9,8.05,0.8499999999999996,-0.75,8.81,9.0,8.45,0.5500000000000007,-0.45000000000000107,8.21,8.55,7.95,0.6000000000000005,-0.34999999999999964,8.5,9.0,8.0,1.0,0.049999999999998934,697066,967854,254371,713483,-387058
2018-05-06,7.9,8.5,7.65,0.8499999999999996,-0.75,8.033999999999999,8.7,7.75,0.9499999999999993,-0.7299999999999995,7.55,7.9,7.3,0.6000000000000005,-0.15000000000000036,7.76,8.0,7.6,0.40000000000000036,-0.15000000000000036,636531,1102651,289542,813109,-666262
2018-05-13,7.91,8.05,7.8,0.2500000000000009,0.15000000000000036,8.05,8.2,7.95,0.2499999999999991,-0.14999999999999858,7.766,7.83,7.7,0.1299999999999999,0.04999999999999982,7.9,8.05,7.75,0.3000000000000007,0.05000000000000071,336551,560522,239326,321196,-285490
2018-05-20,7.98,8.3,7.75,0.5500000000000007,0.40000000000000036,8.18,8.5,7.95,0.5499999999999998,0.5499999999999998,7.862,8.15,7.67,0.4800000000000004,0.40000000000000036,8.1,8.4,7.8,0.6000000000000005,0.5,530252,1122943,198089,924854,224352
2018-05-27,8.2125,8.35,7.95,0.39999999999999947,-0.049999999999998934,8.425,8.55,8.3,0.25,-0.25,7.9750000000000005,8.05,7.85,0.20000000000000107,0.20000000000000107,8.145,8.45,7.88,0.5699999999999994,0.17000000000000082,440469,651685,227097,424588,-424588
2018-06-03,8.31,8.5,8.15,0.34999999999999964,0.1999999999999993,8.52,8.65,8.35,0.3000000000000007,0.25,8.196,8.35,8.03,0.3200000000000003,0.3200000000000003,8.379999999999999,8.6,8.2,0.40000000000000036,0.34999999999999964,273728,401142,127278,273864,-181351
2018-06-10,9.02,9.4,8.6,0.8000000000000007,0.40000000000000036,9.38,9.75,8.9,0.8499999999999996,0.25,8.79,9.2,8.6,0.5999999999999996,0.09999999999999964,9.040000000000001,9.4,8.75,0.6500000000000004,0.05000000000000071,920068,1294722,429526,865196,358894
2018-06-17,8.44,8.7,8.25,0.4499999999999993,-0.25,8.576,8.93,8.35,0.5800000000000001,-0.40000000000000036,8.18,8.4,8.0,0.40000000000000036,-0.40000000000000036,8.35,8.45,8.2,0.25,-0.14999999999999858,467901,731514,268424,463090,114453
2018-06-24,8.05,8.3,7.75,0.5500000000000007,-0.5500000000000007,8.124,8.35,7.85,0.5,-0.5,7.7700000000000005,8.05,7.3,0.7500000000000009,-0.7500000000000009,7.88,8.2,7.6,0.5999999999999996,-0.5999999999999996,362912,452824,334803,118021,98998
2018-07-01,7.425,7.55,7.3,0.25,-0.25,7.525,7.65,7.45,0.20000000000000018,-0.09999999999999964,7.2875,7.35,7.25,0.09999999999999964,-0.04999999999999982,7.3625,7.5,7.25,0.25,-0.15000000000000036,189531,293096,105965,187131,-187131
2018-07-08,7.0,7.3,6.75,0.5499999999999998,-0.5499999999999998,7.114,7.4,6.9,0.5,-0.5,6.7700000000000005,7.15,6.5,0.6500000000000004,-0.4500000000000002,6.9,7.2,6.75,0.4500000000000002,-0.4500000000000002,307119,434373,208873,225500,-8364
2018-07-15,6.71,6.9,6.55,0.35000000000000053,0.15000000000000036,6.84,6.95,6.75,0.20000000000000018,0.10000000000000053,6.58,6.65,6.5,0.15000000000000036,-0.09999999999999964,6.66,6.85,6.5,0.34999999999999964,-0.15000000000000036,245703,411754,135139,276615,258994
2018-07-22,6.4399999999999995,6.6,6.35,0.25,-0.20000000000000018,6.5600000000000005,6.7,6.45,0.25,-0.25,6.296,6.5,6.15,0.34999999999999964,-0.34999999999999964,6.41,6.6,6.35,0.25,-0.25,208497,221829,197160,24669,-24656
2018-07-29,6.07,6.55,5.5,1.0499999999999998,-0.34999999999999964,6.34,6.7,6.0,0.7000000000000002,-0.5500000000000007,5.92,6.35,5.5,0.8499999999999996,-0.6999999999999993,6.104,6.5,5.7,0.7999999999999998,-0.7999999999999998,479903,912116,250390,661726,203679
2018-08-05,5.73,5.8,5.65,0.14999999999999947,-0.14999999999999947,5.836,5.95,5.75,0.20000000000000018,-0.15000000000000036,5.66,5.7,5.6,0.10000000000000053,-0.04999999999999982,5.71,5.75,5.65,0.09999999999999964,0.0,200439,263114,130448,132666,-92269
2018-08-12,5.85,6.0,5.75,0.25,0.0,5.996,6.05,5.95,0.09999999999999964,-0.09999999999999964,5.76,5.95,5.65,0.2999999999999998,-0.04999999999999982,5.86,5.95,5.7,0.25,-0.10000000000000053,291773,631334,161944,469390,-445068
2018-08-19,5.84,5.95,5.6,0.35000000000000053,-0.05000000000000071,6.0200000000000005,6.2,5.95,0.25,-0.09999999999999964,5.71,5.85,5.6,0.25,-0.09999999999999964,5.82,5.95,5.65,0.2999999999999998,-0.09999999999999964,319104,559090,198988,360102,116649
2018-08-26,5.72,5.8,5.65,0.14999999999999947,-0.09999999999999964,5.78,5.85,5.75,0.09999999999999964,-0.04999999999999982,5.59,5.65,5.5,0.15000000000000036,0.05000000000000071,5.71,5.75,5.7,0.04999999999999982,0.0,448685,573846,220740,353106,-353106
2018-09-02,5.5625,5.65,5.35,0.3000000000000007,-0.3000000000000007,5.645,5.78,5.45,0.33000000000000007,-0.33000000000000007,5.4399999999999995,5.6,5.21,0.3899999999999997,-0.3899999999999997,5.4925,5.7,5.3,0.40000000000000036,-0.40000000000000036,330816,403240,257404,145836,-65146
2018-09-09,5.35,5.45,5.2,0.25,-0.14999999999999947,5.454,5.55,5.4,0.14999999999999947,-0.14999999999999947,5.27,5.35,5.15,0.1999999999999993,-0.14999999999999947,5.33,5.45,5.2,0.25,-0.20000000000000018,232708,336436,104630,231806,76472
2018-09-16,4.99,5.2,4.8,0.40000000000000036,-0.10000000000000053,5.12,5.3,4.9,0.39999999999999947,0.09999999999999964,4.84,5.05,4.65,0.39999999999999947,0.09999999999999964,4.95,5.1,4.8,0.2999999999999998,0.09999999999999964,789402,1267637,270131,997506,433031
2018-09-23,5.08,5.2,5.0,0.20000000000000018,0.15000000000000036,5.2,5.3,5.1,0.20000000000000018,0.15000000000000036,5.01,5.15,4.9,0.25,0.09999999999999964,5.1,5.2,5.0,0.20000000000000018,0.04999999999999982,229662,340159,171749,168410,-168410
2018-09-30,5.112,5.21,5.05,0.16000000000000014,-0.040000000000000036,5.208,5.31,5.14,0.16999999999999993,-0.16999999999999993,5.026,5.09,4.96,0.1299999999999999,-0.1299999999999999,5.108,5.19,5.06,0.13000000000000078,-0.08000000000000007,408697,550970,281094,269876,94
