Date,iShares MSCI Brazil CappedEtf_Open_average,iShares MSCI Brazil CappedEtf_Open_max,iShares MSCI Brazil CappedEtf_Open_min,iShares MSCI Brazil CappedEtf_Open_volatility,iShares MSCI Brazil CappedEtf_Open_change,iShares MSCI Brazil CappedEtf_High_average,iShares MSCI Brazil CappedEtf_High_max,iShares MSCI Brazil CappedEtf_High_min,iShares MSCI Brazil CappedEtf_High_volatility,iShares MSCI Brazil CappedEtf_High_change,iShares MSCI Brazil CappedEtf_Low_average,iShares MSCI Brazil CappedEtf_Low_max,iShares MSCI Brazil CappedEtf_Low_min,iShares MSCI Brazil CappedEtf_Low_volatility,iShares MSCI Brazil CappedEtf_Low_change,iShares MSCI Brazil CappedEtf_Close_average,iShares MSCI Brazil CappedEtf_Close_max,iShares MSCI Brazil CappedEtf_Close_min,iShares MSCI Brazil CappedEtf_Close_volatility,iShares MSCI Brazil CappedEtf_Close_change
2018-01-14,44.2,44.2,44.2,0.0,0.0,44.49,44.49,44.49,0.0,0.0,43.95,43.95,43.95,0.0,0.0,44.47,44.47,44.47,0.0,0.0
2018-01-21,46.54,46.54,46.54,0.0,0.0,47.45,47.45,47.45,0.0,0.0,46.47,46.47,46.47,0.0,0.0,47.33,47.33,47.33,0.0,0.0
2018-01-28,45.66,45.66,45.66,0.0,0.0,45.81,45.81,45.81,0.0,0.0,44.97,44.97,44.97,0.0,0.0,45.06,45.06,45.06,0.0,0.0
2018-02-04,43.26,43.26,43.26,0.0,0.0,43.47,43.47,43.47,0.0,0.0,41.84,41.84,41.84,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2018-02-11,45.05,45.05,45.05,0.0,0.0,46.0,46.0,46.0,0.0,0.0,45.0,45.0,45.0,0.0,0.0,45.54,45.54,45.54,0.0,0.0
2018-02-18,46.57,46.57,46.57,0.0,0.0,46.76,46.76,46.76,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.74,46.74,46.74,0.0,0.0
2018-02-25,45.0,45.0,45.0,0.0,0.0,45.63,45.63,45.63,0.0,0.0,44.49,44.49,44.49,0.0,0.0,45.6,45.6,45.6,0.0,0.0
2018-03-04,45.75,45.75,45.75,0.0,0.0,46.13,46.13,46.13,0.0,0.0,45.7,45.7,45.7,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2018-03-11,44.5,44.5,44.5,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.46,44.46,44.46,0.0,0.0,44.61,44.61,44.61,0.0,0.0
2018-03-18,44.16,44.16,44.16,0.0,0.0,44.68,44.68,44.68,0.0,0.0,43.83,43.83,43.83,0.0,0.0,43.86,43.86,43.86,0.0,0.0
