Date,MGLN_Open_average,MGLN_Open_max,MGLN_Open_min,MGLN_Open_volatility,MGLN_Open_change,MGLN_High_average,MGLN_High_max,MGLN_High_min,MGLN_High_volatility,MGLN_High_change,MGLN_Low_average,MGLN_Low_max,MGLN_Low_min,MGLN_Low_volatility,MGLN_Low_change,MGLN_Close_average,MGLN_Close_max,MGLN_Close_min,MGLN_Close_volatility,MGLN_Close_change,MGLN_Volume_average,MGLN_Volume_max,MGLN_Volume_min,MGLN_Volume_volatility,MGLN_Volume_change
2018-01-14,99.26,100.8,98.0,2.799999999999997,2.799999999999997,100.37,102.1,99.3,2.799999999999997,2.1499999999999915,98.644,100.17,97.95,2.219999999999999,2.1700000000000017,99.94,102.05,98.15,3.8999999999999915,2.3999999999999915,116056,154076,75454,78622,-60464
2018-01-21,101.56,102.05,101.15,0.8999999999999915,-0.6499999999999915,102.214,102.7,101.7,1.0,-0.21999999999999886,100.42399999999999,100.85,99.88,0.9699999999999989,0.29999999999999716,101.29,101.65,100.75,0.9000000000000057,0.25,137168,208563,53607,154956,77082
2018-01-28,99.44,100.45,97.8,2.6500000000000057,-2.6500000000000057,100.484,101.55,98.45,3.0999999999999943,-2.799999999999997,97.21600000000001,99.45,94.25,5.200000000000003,-5.200000000000003,98.55,100.3,94.3,6.0,-5.700000000000003,164898,207706,105649,102057,-65725
2018-02-04,94.77,97.05,92.45,4.599999999999994,1.3499999999999943,96.68,97.55,95.4,2.1499999999999915,-0.5999999999999943,93.202,94.9,91.66,3.240000000000009,1.490000000000009,94.9,96.75,93.45,3.299999999999997,-1.25,119483,163786,84743,79043,-19809
2018-02-11,94.6875,95.75,93.6,2.1500000000000057,1.75,96.05,97.95,94.45,3.5,3.5,94.1125,95.75,93.2,2.549999999999997,2.549999999999997,95.625,97.6,94.1,3.5,3.5,145505,196772,103397,93375,-2687
2018-02-18,96.17,97.2,95.2,2.0,-0.7999999999999972,97.35,97.8,96.55,1.25,0.0,95.1,96.0,94.5,1.5,1.4000000000000057,95.89,96.95,94.65,2.299999999999997,1.9500000000000028,97028,149785,60472,89313,-69690
2018-02-25,100.98,101.45,100.5,0.9500000000000028,-0.4000000000000057,102.78999999999999,105.25,101.22,4.030000000000001,-4.030000000000001,98.32,100.3,95.55,4.75,2.700000000000003,100.64,101.75,99.45,2.299999999999997,-0.7999999999999972,224389,332261,130806,201455,-40057
2018-03-04,104.39999999999999,108.75,100.0,8.75,5.099999999999994,107.87,109.8,106.0,3.799999999999997,0.9500000000000028,103.076,104.82,99.85,4.969999999999999,4.969999999999999,105.91,108.75,104.0,4.75,0.9500000000000028,373277,558669,161658,397011,-397011
2018-03-11,106.71,108.45,104.05,4.400000000000006,1.6500000000000057,107.724,109.2,105.12,4.079999999999998,1.8499999999999943,105.17999999999999,107.1,103.05,4.049999999999997,3.6000000000000085,106.5,108.45,103.5,4.950000000000003,4.450000000000003,158685,285926,90713,195213,-14461
2018-03-18,105.67,107.05,104.6,2.450000000000003,-1.75,107.19200000000001,107.65,106.5,1.1500000000000057,-0.730000000000004,104.56,105.25,104.2,1.0499999999999972,0.04999999999999716,105.51,106.85,104.35,2.5,1.2000000000000028,137554,208589,75141,133448,-133448
2018-03-25,106.6375,107.35,106.2,1.1499999999999915,-0.29999999999999716,107.35,107.85,106.4,1.4499999999999886,-0.8999999999999915,105.0,106.3,102.05,4.25,-3.6500000000000057,105.8625,107.1,102.85,4.25,-3.6500000000000057,191124,214599,163075,51524,12420
2018-04-01,106.79,109.2,103.5,5.700000000000003,3.950000000000003,109.01,110.4,106.55,3.8500000000000085,3.8500000000000085,105.65,107.75,103.5,4.25,2.549999999999997,107.58,109.7,106.0,3.700000000000003,1.25,137250,184904,111990,72914,-54921
2018-04-08,108.28,108.85,107.5,1.3499999999999943,-0.29999999999999716,109.424,111.1,107.87,3.2299999999999898,0.0,107.13199999999999,108.1,106.6,1.5,0.6099999999999994,108.31,108.8,107.7,1.0999999999999943,0.8499999999999943,110270,137015,77034,59981,-13777
2018-04-15,110.36,111.15,109.05,2.1000000000000085,1.4500000000000028,111.38,112.25,110.7,1.5499999999999972,0.25,109.352,110.3,108.2,2.0999999999999943,0.7099999999999937,110.46,111.0,110.05,0.9500000000000028,-0.5,95937,109366,84091,25275,-4598
2018-04-22,92.23,110.3,81.9,28.39999999999999,-28.39999999999999,94.148,112.14,83.55,28.590000000000003,-27.89,87.996,109.9,76.83,33.07000000000001,-28.5,90.12,111.1,81.4,29.69999999999999,-27.25,458757,1083668,109101,974567,214984
2018-04-29,86.27,87.8,85.4,2.3999999999999915,0.5499999999999972,88.04,89.1,87.05,2.049999999999997,-0.3500000000000085,85.44,86.15,84.65,1.5,0.9499999999999886,86.67,88.95,85.8,3.1500000000000057,-0.8500000000000085,269235,307298,206462,100836,-94386
2018-05-06,86.28,87.5,84.95,2.549999999999997,0.7000000000000028,87.23,88.55,85.9,2.6499999999999915,1.75,85.33,87.25,84.55,2.700000000000003,1.8499999999999943,86.3,87.45,84.95,2.5,1.75,269860,377792,198859,178933,-39849
2018-05-13,89.94,91.6,87.8,3.799999999999997,3.5,91.13,92.4,89.75,2.6500000000000057,2.25,88.79,90.95,85.5,5.450000000000003,4.450000000000003,90.3,91.55,89.05,2.5,0.6000000000000085,194540,222250,154590,67660,37696
2018-05-20,89.1,89.7,88.65,1.0499999999999972,-0.6000000000000085,90.265,90.65,89.78,0.8700000000000045,-0.30000000000001137,88.5675,89.1,87.5,1.5999999999999943,0.14999999999999147,89.5,90.35,89.05,1.2999999999999972,0.8999999999999915,201551,284936,105961,178975,-178975
2018-05-27,91.35,92.85,89.75,3.0999999999999943,2.8499999999999943,92.53,93.2,91.3,1.9000000000000057,1.7000000000000028,90.58,91.55,89.45,2.0999999999999943,2.0999999999999943,91.75,92.85,89.8,3.049999999999997,3.049999999999997,154458,184099,96674,87425,-80952
2018-06-03,92.99,94.1,91.55,2.549999999999997,1.5,94.52,95.8,93.75,2.049999999999997,2.049999999999997,92.32,94.1,91.2,2.8999999999999915,2.8999999999999915,93.52,95.55,91.25,4.299999999999997,4.299999999999997,151004,237727,96385,141342,-117182
2018-06-10,93.48,95.4,92.7,2.700000000000003,-1.8500000000000085,94.47,95.9,93.25,2.6500000000000057,0.5,92.67,93.0,92.3,0.7000000000000028,0.04999999999999716,93.59,95.75,92.55,3.200000000000003,2.799999999999997,223791,294690,126233,168457,140550
2018-06-17,98.19,99.9,95.65,4.25,3.4499999999999886,99.37,99.9,98.0,1.9000000000000057,1.3499999999999943,97.19,98.35,95.15,3.1999999999999886,2.799999999999997,98.65,99.6,97.9,1.6999999999999886,0.3499999999999943,299245,513932,183181,330751,-50003
2018-06-24,96.91,98.25,95.45,2.799999999999997,-2.549999999999997,97.734,98.97,96.5,2.469999999999999,-2.299999999999997,95.76,97.5,94.55,2.950000000000003,-2.799999999999997,96.8,98.1,95.95,2.1499999999999915,-1.5999999999999943,159802,218742,97730,121012,-43230
2018-07-01,97.7375,98.4,96.55,1.8500000000000085,1.8500000000000085,98.7625,99.55,97.85,1.7000000000000028,1.6500000000000057,97.32,98.06,96.55,1.5100000000000051,1.5100000000000051,98.1875,98.95,97.55,1.4000000000000057,1.4000000000000057,107518,162325,64234,98091,98091
2018-07-08,98.84,99.2,98.5,0.7000000000000028,-0.4000000000000057,99.636,99.78,99.25,0.5300000000000011,-0.04999999999999716,98.01,98.45,96.7,1.75,-1.7000000000000028,98.52,99.1,96.9,2.1999999999999886,-2.1499999999999915,143465,187575,117439,70136,-22421
2018-07-15,95.01,96.65,92.0,4.650000000000006,-4.650000000000006,96.506,97.78,94.95,2.8299999999999983,-2.8299999999999983,93.11,94.75,90.7,4.049999999999997,-4.049999999999997,94.18,95.45,91.9,3.549999999999997,-1.6000000000000085,523678,683107,333917,349190,296351
2018-07-22,84.83,93.25,72.0,21.25,-21.25,86.414,93.62,73.3,20.320000000000007,-20.320000000000007,82.892,90.95,71.2,19.75,-19.299999999999997,83.51,91.3,72.0,19.299999999999997,-19.299999999999997,557556,1196443,270780,925663,359492
2018-07-29,74.17,76.25,71.6,4.650000000000006,3.4000000000000057,75.25,76.3,72.95,3.3499999999999943,2.450000000000003,72.938,74.85,71.03,3.819999999999993,3.3700000000000045,74.81,75.9,72.75,3.1500000000000057,2.0999999999999943,358043,443916,289011,154905,-113777
