Date,Fidelity MSCI Information TechnologyEtf_Open_average,Fidelity MSCI Information TechnologyEtf_Open_max,Fidelity MSCI Information TechnologyEtf_Open_min,Fidelity MSCI Information TechnologyEtf_Open_volatility,Fidelity MSCI Information TechnologyEtf_Open_change,Fidelity MSCI Information TechnologyEtf_High_average,Fidelity MSCI Information TechnologyEtf_High_max,Fidelity MSCI Information TechnologyEtf_High_min,Fidelity MSCI Information TechnologyEtf_High_volatility,Fidelity MSCI Information TechnologyEtf_High_change,Fidelity MSCI Information TechnologyEtf_Low_average,Fidelity MSCI Information TechnologyEtf_Low_max,Fidelity MSCI Information TechnologyEtf_Low_min,Fidelity MSCI Information TechnologyEtf_Low_volatility,Fidelity MSCI Information TechnologyEtf_Low_change,Fidelity MSCI Information TechnologyEtf_Close_average,Fidelity MSCI Information TechnologyEtf_Close_max,Fidelity MSCI Information TechnologyEtf_Close_min,Fidelity MSCI Information TechnologyEtf_Close_volatility,Fidelity MSCI Information TechnologyEtf_Close_change
2018-01-14,53.42,53.42,53.42,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.19,53.19,53.19,0.0,0.0,53.44,53.44,53.44,0.0,0.0
2018-01-21,53.92,53.92,53.92,0.0,0.0,54.4,54.4,54.4,0.0,0.0,53.8,53.8,53.8,0.0,0.0,54.39,54.39,54.39,0.0,0.0
2018-01-28,53.16,53.16,53.16,0.0,0.0,53.22,53.22,53.22,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-02-04,49.47,49.47,49.47,0.0,0.0,50.25,50.25,50.25,0.0,0.0,47.94,47.94,47.94,0.0,0.0,49.87,49.87,49.87,0.0,0.0
2018-02-11,52.87,52.87,52.87,0.0,0.0,53.43,53.43,53.43,0.0,0.0,52.66,52.66,52.66,0.0,0.0,52.89,52.89,52.89,0.0,0.0
2018-02-18,53.19,53.19,53.19,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.1,53.1,53.1,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-02-25,52.38,52.38,52.38,0.0,0.0,53.64,53.64,53.64,0.0,0.0,52.17,52.17,52.17,0.0,0.0,53.55,53.55,53.55,0.0,0.0
2018-03-04,55.23,55.23,55.23,0.0,0.0,55.91,55.91,55.91,0.0,0.0,55.16,55.16,55.16,0.0,0.0,55.91,55.91,55.91,0.0,0.0
2018-03-11,55.46,55.46,55.46,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.22,55.22,55.22,0.0,0.0,55.29,55.29,55.29,0.0,0.0
2018-03-18,52.55,52.55,52.55,0.0,0.0,52.75,52.75,52.75,0.0,0.0,51.13,51.13,51.13,0.0,0.0,51.15,51.15,51.15,0.0,0.0
2018-03-25,51.15,51.15,51.15,0.0,0.0,52.39,52.39,52.39,0.0,0.0,50.77,50.77,50.77,0.0,0.0,51.87,51.87,51.87,0.0,0.0
2018-04-01,51.44,51.44,51.44,0.0,0.0,51.91,51.91,51.91,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-04-08,53.12,53.12,53.12,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.56,52.56,52.56,0.0,0.0
2018-04-15,53.18,53.18,53.18,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.54,52.54,52.54,0.0,0.0
2018-04-22,52.81,52.81,52.81,0.0,0.0,52.81,52.81,52.81,0.0,0.0,51.8,51.8,51.8,0.0,0.0,52.09,52.09,52.09,0.0,0.0
2018-04-29,52.47,52.47,52.47,0.0,0.0,53.76,53.76,53.76,0.0,0.0,52.39,52.39,52.39,0.0,0.0,53.66,53.66,53.66,0.0,0.0
2018-05-06,55.62,55.62,55.62,0.0,0.0,55.78,55.78,55.78,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.57,55.57,55.57,0.0,0.0
2018-05-13,54.87,54.87,54.87,0.0,0.0,55.11,55.11,55.11,0.0,0.0,54.76,54.76,54.76,0.0,0.0,54.82,54.82,54.82,0.0,0.0
2018-05-20,55.46,55.46,55.46,0.0,0.0,55.66,55.66,55.66,0.0,0.0,55.33,55.33,55.33,0.0,0.0,55.47,55.47,55.47,0.0,0.0
2018-05-27,55.92,55.92,55.92,0.0,0.0,56.57,56.57,56.57,0.0,0.0,55.88,55.88,55.88,0.0,0.0,56.57,56.57,56.57,0.0,0.0
2018-06-03,56.69,56.69,56.69,0.0,0.0,57.1,57.1,57.1,0.0,0.0,56.54,56.54,56.54,0.0,0.0,57.04,57.04,57.04,0.0,0.0
2018-06-10,57.41,57.41,57.41,0.0,0.0,57.42,57.42,57.42,0.0,0.0,56.96,56.96,56.96,0.0,0.0,57.38,57.38,57.38,0.0,0.0
2018-06-17,56.94,56.94,56.94,0.0,0.0,56.95,56.95,56.95,0.0,0.0,56.32,56.32,56.32,0.0,0.0,56.52,56.52,56.52,0.0,0.0
2018-06-24,55.48,55.48,55.48,0.0,0.0,55.75,55.75,55.75,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.27,55.27,55.27,0.0,0.0
2018-07-01,56.04,56.04,56.04,0.0,0.0,56.74,56.74,56.74,0.0,0.0,55.87,55.87,55.87,0.0,0.0,56.68,56.68,56.68,0.0,0.0
2018-07-08,57.99,57.99,57.99,0.0,0.0,58.06,58.06,58.06,0.0,0.0,57.72,57.72,57.72,0.0,0.0,57.92,57.92,57.92,0.0,0.0
2018-07-15,58.23,58.23,58.23,0.0,0.0,58.35,58.35,58.35,0.0,0.0,57.96,57.96,57.96,0.0,0.0,58.04,58.04,58.04,0.0,0.0
2018-07-22,58.56,58.56,58.56,0.0,0.0,58.57,58.57,58.57,0.0,0.0,56.9,56.9,56.9,0.0,0.0,57.25,57.25,57.25,0.0,0.0
2018-07-29,57.83,57.83,57.83,0.0,0.0,57.86,57.86,57.86,0.0,0.0,57.44,57.44,57.44,0.0,0.0,57.86,57.86,57.86,0.0,0.0
2018-08-05,58.26,58.26,58.26,0.0,0.0,58.55,58.55,58.55,0.0,0.0,58.1,58.1,58.1,0.0,0.0,58.3,58.3,58.3,0.0,0.0
2018-08-12,57.91,57.91,57.91,0.0,0.0,58.32,58.32,58.32,0.0,0.0,57.71,57.71,57.71,0.0,0.0,58.2,58.2,58.2,0.0,0.0
2018-08-19,58.91,58.91,58.91,0.0,0.0,59.4,59.4,59.4,0.0,0.0,58.91,58.91,58.91,0.0,0.0,59.4,59.4,59.4,0.0,0.0
2018-08-26,60.43,60.43,60.43,0.0,0.0,60.72,60.72,60.72,0.0,0.0,60.39,60.39,60.39,0.0,0.0,60.56,60.56,60.56,0.0,0.0
2018-09-02,58.72,58.72,58.72,0.0,0.0,59.43,59.43,59.43,0.0,0.0,58.45,58.45,58.45,0.0,0.0,58.9,58.9,58.9,0.0,0.0
2018-09-09,60.04,60.04,60.04,0.0,0.0,60.27,60.27,60.27,0.0,0.0,59.73,59.73,59.73,0.0,0.0,60.0,60.0,60.0,0.0,0.0
2018-09-16,60.08,60.08,60.08,0.0,0.0,60.14,60.14,60.14,0.0,0.0,59.53,59.53,59.53,0.0,0.0,59.59,59.59,59.59,0.0,0.0
2018-09-23,60.0,60.0,60.0,0.0,0.0,60.37,60.37,60.37,0.0,0.0,59.93,59.93,59.93,0.0,0.0,60.24,60.24,60.24,0.0,0.0
2018-09-30,59.28,59.28,59.28,0.0,0.0,59.51,59.51,59.51,0.0,0.0,58.01,58.01,58.01,0.0,0.0,58.59,58.59,58.59,0.0,0.0
2018-10-07,56.05,56.05,56.05,0.0,0.0,56.43,56.43,56.43,0.0,0.0,55.16,55.16,55.16,0.0,0.0,56.26,56.26,56.26,0.0,0.0
2018-10-14,56.07,56.07,56.07,0.0,0.0,56.57,56.57,56.57,0.0,0.0,55.4,55.4,55.4,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-10-21,53.59,53.59,53.59,0.0,0.0,54.93,54.93,54.93,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.87,53.87,53.87,0.0,0.0
2018-10-28,55.36,55.36,55.36,0.0,0.0,55.68,55.68,55.68,0.0,0.0,54.24,54.24,54.24,0.0,0.0,54.66,54.66,54.66,0.0,0.0
2018-11-04,55.54,55.54,55.54,0.0,0.0,55.55,55.55,55.55,0.0,0.0,54.55,54.55,54.55,0.0,0.0,55.05,55.05,55.05,0.0,0.0
2018-11-11,53.44,53.44,53.44,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.86,53.86,53.86,0.0,0.0
2018-11-18,50.86,50.86,50.86,0.0,0.0,51.43,51.43,51.43,0.0,0.0,50.85,50.85,50.85,0.0,0.0,50.88,50.88,50.88,0.0,0.0
2018-11-25,53.58,53.58,53.58,0.0,0.0,54.04,54.04,54.04,0.0,0.0,53.3,53.3,53.3,0.0,0.0,54.04,54.04,54.04,0.0,0.0
2018-12-02,52.97,52.97,52.97,0.0,0.0,53.23,53.23,53.23,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.36,51.36,51.36,0.0,0.0
2018-12-09,51.9,51.9,51.9,0.0,0.0,52.19,52.19,52.19,0.0,0.0,51.25,51.25,51.25,0.0,0.0,51.31,51.31,51.31,0.0,0.0
2018-12-16,48.5,48.5,48.5,0.0,0.0,48.95,48.95,48.95,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.97,46.97,46.97,0.0,0.0
2018-12-23,49.19,49.19,49.19,0.0,0.0,49.6,49.6,49.6,0.0,0.0,48.36,48.36,48.36,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-12-30,47.72,47.72,47.72,0.0,0.0,49.19,49.19,49.19,0.0,0.0,47.54,47.54,47.54,0.0,0.0,48.95,48.95,48.95,0.0,0.0
2019-01-06,50.59,50.59,50.59,0.0,0.0,50.84,50.84,50.84,0.0,0.0,50.48,50.48,50.48,0.0,0.0,50.82,50.82,50.82,0.0,0.0
2019-01-13,51.91,51.91,51.91,0.0,0.0,52.39,52.39,52.39,0.0,0.0,51.67,51.67,51.67,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2019-01-20,52.45,52.45,52.45,0.0,0.0,52.96,52.96,52.96,0.0,0.0,52.28,52.28,52.28,0.0,0.0,52.85,52.85,52.85,0.0,0.0
2019-01-27,53.26,53.26,53.26,0.0,0.0,53.84,53.84,53.84,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.59,53.59,53.59,0.0,0.0
2019-02-03,53.89,53.89,53.89,0.0,0.0,54.7,54.7,54.7,0.0,0.0,53.87,53.87,53.87,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2019-02-10,56.14,56.14,56.14,0.0,0.0,56.16,56.16,56.16,0.0,0.0,55.8,55.8,55.8,0.0,0.0,56.14,56.14,56.14,0.0,0.0
2019-02-17,56.52,56.52,56.52,0.0,0.0,56.97,56.97,56.97,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.97,56.97,56.97,0.0,0.0
2019-02-24,57.59,57.59,57.59,0.0,0.0,57.65,57.65,57.65,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.53,57.53,57.53,0.0,0.0
2019-03-03,55.44,55.44,55.44,0.0,0.0,56.16,56.16,56.16,0.0,0.0,55.32,55.32,55.32,0.0,0.0,56.14,56.14,56.14,0.0,0.0
2019-03-10,58.13,58.13,58.13,0.0,0.0,58.86,58.86,58.86,0.0,0.0,58.12,58.12,58.12,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2019-03-17,59.98,59.98,59.98,0.0,0.0,60.17,60.17,60.17,0.0,0.0,58.71,58.71,58.71,0.0,0.0,58.73,58.73,58.73,0.0,0.0
2019-03-24,59.18,59.18,59.18,0.0,0.0,59.33,59.33,59.33,0.0,0.0,58.95,58.95,58.95,0.0,0.0,59.28,59.28,59.28,0.0,0.0
2019-03-31,60.69,60.69,60.69,0.0,0.0,60.84,60.84,60.84,0.0,0.0,60.6,60.6,60.6,0.0,0.0,60.78,60.78,60.78,0.0,0.0
2019-04-07,61.51,61.51,61.51,0.0,0.0,61.6,61.6,61.6,0.0,0.0,61.22,61.22,61.22,0.0,0.0,61.6,61.6,61.6,0.0,0.0
2019-04-14,62.15,62.15,62.15,0.0,0.0,62.21,62.21,62.21,0.0,0.0,61.74,61.74,61.74,0.0,0.0,62.18,62.18,62.18,0.0,0.0
