Date,OMCL_Open_average,OMCL_Open_max,OMCL_Open_min,OMCL_Open_volatility,OMCL_Open_change,OMCL_High_average,OMCL_High_max,OMCL_High_min,OMCL_High_volatility,OMCL_High_change,OMCL_Low_average,OMCL_Low_max,OMCL_Low_min,OMCL_Low_volatility,OMCL_Low_change,OMCL_Close_average,OMCL_Close_max,OMCL_Close_min,OMCL_Close_volatility,OMCL_Close_change,OMCL_Volume_average,OMCL_Volume_max,OMCL_Volume_min,OMCL_Volume_volatility,OMCL_Volume_change
2018-01-14,50.89,51.45,50.5,0.9500000000000028,0.4000000000000057,51.5,51.7,51.2,0.5,0.5,50.32,50.9,49.7,1.1999999999999957,0.75,51.01,51.7,50.4,1.3000000000000043,1.1000000000000014,175791,233426,139984,93442,-43098
2018-01-21,51.78,52.25,51.35,0.8999999999999986,0.8000000000000043,52.31,52.65,52.15,0.5,0.0,51.02,51.25,50.45,0.7999999999999972,-0.6999999999999957,51.54,52.45,50.8,1.6500000000000057,-1.1000000000000014,212886,416103,106474,309629,309629
2018-01-28,47.8,50.2,45.0,5.200000000000003,-4.75,48.44,50.7,45.9,4.800000000000004,-4.800000000000004,46.6,49.35,42.75,6.600000000000001,-5.300000000000004,47.486,49.4,44.08,5.32,-5.32,618169,1534762,332904,1201858,101108
2018-02-04,42.26,43.9,40.4,3.5,-2.0500000000000043,43.18,44.45,41.4,3.0500000000000043,-2.200000000000003,41.050000000000004,42.6,39.75,2.8500000000000014,-2.1000000000000014,42.01,44.25,40.1,4.149999999999999,-2.25,471519,593548,351770,241778,-197987
2018-02-11,42.7125,44.0,41.55,2.450000000000003,2.450000000000003,43.6325,44.58,42.4,2.1799999999999997,2.1799999999999997,42.2775,43.41,41.0,2.4099999999999966,2.4099999999999966,43.325,44.25,42.0,2.25,2.049999999999997,336375,367032,305707,61325,61325
2018-02-18,43.97,44.6,43.6,1.0,0.5500000000000043,44.78,45.3,44.45,0.8499999999999943,0.5499999999999972,43.8,44.15,43.55,0.6000000000000014,0.6000000000000014,44.18,45.1,43.55,1.5500000000000043,1.25,303260,370315,251990,118325,-109462
2018-02-25,43.75,45.25,42.1,3.1499999999999986,-2.700000000000003,44.42,45.5,42.9,2.6000000000000014,-1.4500000000000028,42.81,44.8,41.25,3.549999999999997,-2.299999999999997,43.5,44.8,42.45,2.3499999999999943,-0.8999999999999986,337714,435162,206097,229065,-107708
2018-03-04,44.23,44.5,43.95,0.5499999999999972,0.30000000000000426,45.014,45.7,44.7,1.0,0.75,43.769999999999996,44.3,43.05,1.25,0.5,44.57,45.55,43.7,1.8499999999999943,0.7999999999999972,236466,362321,123900,238421,-96137
2018-03-11,44.56,45.75,43.95,1.7999999999999972,-1.7999999999999972,44.76,45.75,44.15,1.6000000000000014,-1.6000000000000014,43.64,44.4,42.45,1.9499999999999957,-1.9499999999999957,44.11,44.55,43.35,1.1999999999999957,-1.1999999999999957,279558,574053,149034,425019,-63136
2018-03-18,42.79,43.3,42.3,1.0,-0.3499999999999943,43.17,43.6,42.75,0.8500000000000014,-0.45000000000000284,42.246,42.65,42.0,0.6499999999999986,-0.5,42.62,42.95,42.15,0.8000000000000043,-0.05000000000000426,176742,277151,123008,154143,64020
