Date,SOHU_stock_Open_average,SOHU_stock_Open_max,SOHU_stock_Open_min,SOHU_stock_Open_volatility,SOHU_stock_Open_change,SOHU_stock_High_average,SOHU_stock_High_max,SOHU_stock_High_min,SOHU_stock_High_volatility,SOHU_stock_High_change,SOHU_stock_Low_average,SOHU_stock_Low_max,SOHU_stock_Low_min,SOHU_stock_Low_volatility,SOHU_stock_Low_change,SOHU_stock_Close_average,SOHU_stock_Close_max,SOHU_stock_Close_min,SOHU_stock_Close_volatility,SOHU_stock_Close_change,SOHU_stock_Volume_average,SOHU_stock_Volume_max,SOHU_stock_Volume_min,SOHU_stock_Volume_volatility,SOHU_stock_Volume_change
2018-01-14,45.1175,45.53,44.65,0.8800000000000026,0.75,45.665,46.08,45.34,0.7399999999999949,0.30999999999999517,44.4375,45.15,44.06,1.0899999999999963,0.35999999999999943,44.879999999999995,45.51,44.12,1.3900000000000006,0.5200000000000031,338966,415889,194820,221069,-176395
2018-01-21,44.796,45.28,44.52,0.759999999999998,0.3999999999999986,45.466,46.37,44.73,1.6400000000000006,1.6400000000000006,44.258,44.48,44.09,0.38999999999999346,0.23000000000000398,45.046,46.31,44.37,1.9400000000000048,1.9400000000000048,295136,433539,180904,252635,252635
2018-01-28,38.872,40.81,38.11,2.700000000000003,-2.6400000000000006,39.65,41.69,38.46,3.229999999999997,-3.229999999999997,38.0,38.5,37.06,1.4399999999999977,-1.4399999999999977,38.316,39.01,37.14,1.8699999999999974,-1.8699999999999974,1238352,3448996,414093,3034903,-3034903
2018-02-04,35.012,36.74,33.21,3.530000000000001,-3.530000000000001,35.646,36.99,33.66,3.3300000000000054,-3.3300000000000054,33.736,34.83,32.3,2.530000000000001,-2.530000000000001,34.448,36.03,33.02,3.009999999999998,-1.6400000000000006,827238,1082558,567521,515037,515037
2018-02-11,34.22,34.86,33.28,1.5799999999999983,0.970000000000006,34.75,35.2,34.0,1.2000000000000028,1.0700000000000003,33.782000000000004,34.32,33.03,1.2899999999999991,1.2199999999999989,34.264,34.87,33.29,1.5799999999999983,1.2100000000000009,407940,474578,305238,169340,-169340
2018-02-18,34.44,35.09,34.08,1.0100000000000051,0.10999999999999943,34.787499999999994,35.37,34.4,0.9699999999999989,-0.28000000000000114,34.015,34.27,33.77,0.5,-0.14000000000000057,34.2825,34.78,34.0,0.7800000000000011,-0.7800000000000011,395755,500055,259580,240475,237370
2018-02-25,34.022,34.5,33.28,1.2199999999999989,-1.0600000000000023,34.804,35.54,34.1,1.4399999999999977,0.6099999999999994,33.604,34.16,33.1,1.0599999999999952,-0.9099999999999966,34.26,35.35,33.46,1.8900000000000006,0.740000000000002,572346,753330,425660,327670,-212059
2018-03-04,36.856,37.93,35.0,2.9299999999999997,2.8999999999999986,37.61,38.45,36.33,2.1200000000000045,1.5700000000000003,36.528,37.39,34.75,2.6400000000000006,2.6199999999999974,37.266,37.68,36.2,1.4799999999999969,1.4799999999999969,444013,602770,295436,307334,-307334
2018-03-11,37.436,37.93,36.88,1.0499999999999972,-1.0499999999999972,37.592,37.97,36.88,1.0899999999999963,-1.0899999999999963,36.784,37.38,36.04,1.3400000000000034,-1.3400000000000034,37.056,37.5,36.16,1.3400000000000034,-1.3400000000000034,584068,1853015,205076,1647939,-1597185
2018-03-18,34.776,36.0,33.21,2.789999999999999,-2.789999999999999,34.982,36.09,33.62,2.470000000000006,-2.470000000000006,34.126,34.95,32.9,2.0500000000000043,-2.020000000000003,34.212,35.09,32.9,2.190000000000005,-2.1099999999999994,395203,492495,290571,201924,75279
