Date,FFGStock_Open_average,FFGStock_Open_max,FFGStock_Open_min,FFGStock_Open_volatility,FFGStock_Open_change,FFGStock_High_average,FFGStock_High_max,FFGStock_High_min,FFGStock_High_volatility,FFGStock_High_change,FFGStock_Low_average,FFGStock_Low_max,FFGStock_Low_min,FFGStock_Low_volatility,FFGStock_Low_change,FFGStock_Close_average,FFGStock_Close_max,FFGStock_Close_min,FFGStock_Close_volatility,FFGStock_Close_change,FFGStock_Volume_average,FFGStock_Volume_max,FFGStock_Volume_min,FFGStock_Volume_volatility,FFGStock_Volume_change
2018-01-14,73.2625,74.7,72.2,2.5,-2.5,74.2875,75.5,73.65,1.8499999999999943,-1.25,71.875,72.2,71.7,0.5,0.45000000000000284,72.8,73.6,71.75,1.8499999999999943,1.8499999999999943,24727,43395,11803,31592,-31592
2018-01-21,72.92,73.95,72.4,1.5499999999999972,-0.3499999999999943,73.264,73.95,72.4,1.5499999999999972,-1.0999999999999943,72.07,72.45,71.55,0.9000000000000057,-0.5499999999999972,72.43,73.5,71.9,1.5999999999999943,-0.75,8729,13123,5861,7262,-1697
2018-01-28,70.41,71.85,69.25,2.5999999999999943,-1.1499999999999915,70.92999999999999,71.85,70.05,1.7999999999999972,-0.6499999999999915,69.76,70.9,69.15,1.75,-1.1500000000000057,70.31,71.2,69.6,1.6000000000000085,-0.9000000000000057,14721,20187,5792,14395,7163
2018-02-04,67.72,69.25,65.75,3.5,-3.5,68.774,69.85,67.0,2.8499999999999943,-2.8499999999999943,66.14,67.7,64.55,3.1500000000000057,-2.4000000000000057,67.05,69.25,64.75,4.5,-2.799999999999997,24178,37857,17406,20451,1288
2018-02-11,67.32000000000001,69.4,65.3,4.1000000000000085,3.549999999999997,68.97,70.95,67.55,3.4000000000000057,3.4000000000000057,66.94,68.85,64.5,4.349999999999994,4.349999999999994,68.51,70.7,66.5,4.200000000000003,4.200000000000003,17593,23247,14218,9029,-9029
2018-02-18,70.8375,71.25,70.55,0.7000000000000028,0.14999999999999147,71.575,71.85,71.25,0.5999999999999943,0.20000000000000284,70.065,70.35,69.86,0.4899999999999949,0.3999999999999915,70.6625,71.55,70.15,1.3999999999999915,1.3999999999999915,17637,18654,16422,2232,-1818
2018-02-25,68.69,71.7,64.7,7.0,-7.0,69.996,71.85,66.4,5.449999999999989,-2.5,66.68,70.95,64.0,6.950000000000003,-6.950000000000003,68.15,71.3,64.9,6.3999999999999915,-1.9500000000000028,32969,86376,12564,73812,15102
2018-03-04,69.428,71.36,67.44,3.9200000000000017,3.9200000000000017,70.65599999999999,72.0,69.2,2.799999999999997,2.799999999999997,68.824,69.99,67.05,2.9399999999999977,2.9399999999999977,70.244,71.31,68.96,2.3500000000000085,2.3500000000000085,21399,37975,14236,23739,21981
2018-03-11,71.358,72.78,70.3,2.480000000000004,-1.1599999999999966,71.872,73.07,70.9,2.1699999999999875,-1.039999999999992,70.126,71.6,69.3,2.299999999999997,-0.730000000000004,70.91799999999999,72.24,70.0,2.239999999999995,-2.239999999999995,39714,65242,24980,40262,39743
2018-03-18,69.57000000000001,70.3,68.4,1.8999999999999915,-1.3999999999999915,70.536,71.0,70.0,1.0,0.29999999999999716,69.086,69.9,68.15,1.75,-1.1299999999999955,69.88,70.65,68.6,2.0500000000000114,0.6000000000000085,27154,72526,8334,64192,49644
2018-03-25,69.7125,71.65,67.8,3.8500000000000085,-1.5500000000000114,70.5125,71.65,69.95,1.7000000000000028,-1.25,68.1625,69.1,67.25,1.8499999999999943,-0.29999999999999716,68.975,69.6,67.75,1.8499999999999943,0.14999999999999147,67236,164966,23335,141631,137489
2018-04-01,68.94,70.5,67.75,2.75,1.0999999999999943,70.10000000000001,70.95,69.15,1.7999999999999972,1.75,68.16,69.85,66.45,3.3999999999999915,2.6499999999999915,69.36,70.4,67.35,3.0500000000000114,2.700000000000003,22872,33257,12611,20646,-5913
2018-04-08,70.99,71.85,70.45,1.3999999999999915,1.3499999999999943,71.544,72.22,71.05,1.1700000000000017,1.1200000000000045,70.5,71.25,69.65,1.5999999999999943,1.5999999999999943,70.89,71.55,69.75,1.7999999999999972,1.5999999999999943,12698,22823,7175,15648,-15648
2018-04-15,73.54,75.15,71.95,3.200000000000003,3.200000000000003,74.63,76.3,73.3,3.0,3.0,73.3,75.15,71.95,3.200000000000003,3.200000000000003,74.21000000000001,75.4,73.15,2.25,2.1999999999999886,21155,32622,12785,19837,10901
2018-04-22,77.29,78.5,75.65,2.8499999999999943,2.0999999999999943,78.0,78.5,77.15,1.3499999999999943,0.8499999999999943,76.67399999999999,77.6,75.55,2.049999999999997,2.049999999999997,77.58,78.1,76.75,1.3499999999999943,1.2000000000000028,16216,23489,10432,13057,-3610
2018-04-29,78.17,79.0,77.5,1.5,0.75,79.16,81.75,78.25,3.5,3.5,77.416,78.85,76.75,2.0999999999999943,1.5999999999999943,78.71,81.3,77.75,3.549999999999997,3.549999999999997,19134,28655,12926,15729,2771
2018-05-06,78.92,81.25,77.65,3.5999999999999943,-2.0999999999999943,79.64,81.25,78.5,2.75,-1.5,77.65,78.85,76.8,2.049999999999997,0.20000000000000284,78.29,79.4,77.65,1.75,0.25,32867,98068,6251,91817,-14964
2018-05-13,77.97,79.45,76.65,2.799999999999997,1.4500000000000028,78.786,79.78,78.1,1.6800000000000068,1.5799999999999983,77.41,78.45,76.65,1.7999999999999972,1.75,78.01,79.05,76.7,2.3499999999999943,2.299999999999997,16445,32626,9291,23335,-17194
2018-05-20,79.12,79.35,78.9,0.44999999999998863,-0.3999999999999915,80.006,80.75,79.75,1.0,0.09999999999999432,78.74,79.25,77.85,1.4000000000000057,-0.9000000000000057,79.5,79.75,79.2,0.5499999999999972,0.5499999999999972,12088,17625,7826,9799,-2468
2018-05-27,79.45,80.6,78.7,1.8999999999999915,0.5499999999999972,80.7375,81.8,79.3,2.5,1.2000000000000028,78.88,79.25,78.47,0.7800000000000011,0.7800000000000011,79.65,80.95,78.6,2.3500000000000085,0.75,20491,37724,13079,24645,2254
2018-06-03,81.5,82.6,80.15,2.4499999999999886,2.25,82.45,83.65,81.4,2.25,1.4499999999999886,80.98,81.95,79.9,2.049999999999997,1.5,81.83,82.5,80.95,1.5499999999999972,0.7999999999999972,11526,12970,9577,3393,-171
2018-06-10,81.39,81.95,80.6,1.3500000000000085,-0.15000000000000568,82.23,83.65,81.4,2.25,1.4500000000000028,80.54599999999999,81.35,79.88,1.4699999999999989,0.0,81.7,83.1,80.65,2.4499999999999886,1.3499999999999943,20812,42141,11962,30179,28864
2018-06-17,83.33,85.0,82.05,2.950000000000003,-0.9000000000000057,83.89,85.0,82.2,2.799999999999997,-1.8999999999999915,81.96600000000001,83.25,80.9,2.3499999999999943,-0.09999999999999432,83.09,84.95,81.65,3.299999999999997,-2.25,30097,43953,19452,24501,-4476
